,매입채무회전율(비율),부채총계(천원),유동비율(비율),Free Cash Flow2(천원),당기순이익(천원),ROE(지배)(비율),현금배당성향(%)(%),비유동자산(천원),EBITDA2증가율(YoY)(연도),부채비율(비율),순이익증가율(YoY)(연도),"회사채(3년,AA-)(%)",매출총이익(천원),원_미국달러(매매기준율)(원),경제활동인구_고용률(원지수)(%),  순부채(천원),원_유로(원),BPS증가율(YoY)(비율),영업이익증가율(YoY)(연도),이자보상배율(배),EBITDA2마진율(비율),자본금(천원),재고자산회전율(비율),비유동비율(비율),원_일본엔(100엔)(원),매출액증가율(YoY)(연도),EBITDA2(천원),매출액(천원),매출원가(천원),매출총이익률(비율),EPS증가율(YoY)(비율),  이자발생부채(천원),한국은행 기준금리(%),영업이익(천원),영업이익률(비율),매출채권회전율(비율),"BPS(지배, Adj.)(원/주)",이익잉여금(천원),자기자본비율(비율),순이익률(비율),    CAPEX(천원),ROIC(%),유동자산(천원),ROA(비율),자산총계(천원),국고채(3년)(%),총자산회전율(비율),"EPS(지배, Adj.)(원/주)",    운전자본증감(천원),y,Close,Date_quarter,Close_kospi
0,3.78174,246482461.0,178.84799999999996,14407360.0,6883711.0,1.997,0.0,249281565.0,50.78100000000001,102.154,2.977,2.2524576271186443,28225050.0,1125.084745762712,59.66666666666666,-58170531.0,1277.878305084746,-12.093,14.298,6.34495,5.932,76017365.0,247.92245,73.822,1021.9893220338984,10.314,21497275.0,221407374.0,193182324.0,12.748,-10.863,4126675.0,1.75,10672862.0,4.82,1.30645,2220.60267,40023755.0,57.806,3.109,1834172.0,3.4591,334879485.0,1.043,584161050.0,1.7993728813559329,0.37074,436.37729,1245424.0,0.3477783226517576,85400,201903,2176.11
1,3.88856,272265773.63,184.468,40991397.5,15915220.38,3.636,0.0,238518851.61,50.78100000000001,105.766,2.977,2.126822580645161,31498307.9,1165.9145161290319,61.3,-90194843.91,1309.912258064516,2.2880000000000003,14.298,6.34495,7.441,76017364.5,179.92006,67.434,1060.3525806451612,10.314,35069031.23,230182321.79,198684013.89,13.684,136.65200000000002,4354774.7,1.75,14873441.54,6.4620000000000015,1.4863300000000002,2325.20624,56300051.38,56.505,6.914,1186047.89,6.2975,387455520.88,1.8,625974372.49,1.6432903225806446,0.38042,809.2053,13958464.0,0.20254932475745646,68750,201906,2125.2
2,3.40716,267177836.84,198.065,20480466.14,7901118.51,3.049,0.0,228140192.39,50.78100000000001,102.087,2.977,1.791380952380952,35185582.77,1193.2380952380956,61.46666666666667,-113350232.64,1327.8560317460315,2.6830000000000003,14.298,6.34495,4.501,76017364.5,191.23234,62.825,1112.0722222222225,10.314,33381325.14,237745351.78,202559769.01,14.8,1.618,4156677.8,1.5515873015873016,8456465.44,3.557,1.27689,2385.12077,65551985.78,57.612,3.323,931582.91,2.8574,402175575.85,1.515,630315768.24,1.280444444444444,0.3784900000000001,703.23141,110187.0,0.08995340522771468,53200,201909,2049.2
3,3.28126,309150208.22,169.00099999999995,-16694338.47,8975318.03,3.023,98.47031,221590394.11,50.78100000000001,99.354,2.977,1.9372222222222213,36829174.18,1175.8095238095239,61.4,-104640303.66,1301.974126984127,7.843,14.298,6.34495,5.835,76017364.5,234.43472000000003,60.499,1081.4261904761909,10.314,37929688.87,280451961.96,243622787.78,13.132,240.797,3436720.72,1.2857142857142858,14098456.02,5.027,1.22172,2405.545710000001,68712826.85,54.228,3.2,697947.21,4.2584,453829005.44,1.492,675419399.55,1.4126984126984132,0.42957,721.02953,-45294763.0,0.02890988457801646,51500,201912,2101.08
4,3.16942,258424768.47,191.038,-6292373.57,8577342.87,1.734,0.0,221694316.46,12.89,105.943,6.881,1.8789677419354835,31088399.52,1193.6,59.83333333333334,-99841926.91,1316.5848387096773,7.53,8.23,6.707839999999999,4.971,76017364.5,107.36493,61.005,1096.2629032258067,-0.5870000000000001,25252399.64,267994488.61,236906089.08,11.6,25.163,3232605.82,1.1612903225806452,11174823.0,4.17,1.10314,2387.80556,64781919.91,58.441,3.201,1681928.71,2.4281,400136239.41,0.86,621830555.87,1.2340161290322578,0.41317,418.76001,-23291970.0,-0.11098727731774444,42775,202003,2153.19
5,3.61221,263778843.23,191.093,36144696.28,10226396.55,3.661,0.0,223671585.67,12.89,98.711,6.881,2.181803278688525,32813256.03,1220.8114754098358,60.0,-124253443.08,1344.7378688524589,5.066,8.23,6.707839999999999,6.999,76017364.5,71.30524,60.109,1134.6981967213114,-0.5870000000000001,40995135.6,223819572.27,191006316.24,14.661,-36.428,8477897.32,0.6576923076923077,13457677.0,6.013,1.00927,2442.99393,72621783.37,58.518,4.569,520307.89,2.8203,412216466.8,1.831,635888052.47,0.9159672131147542,0.35591,896.0256800000003,12585835.0,0.0,39450,202006,1970.13
6,3.83932,251780271.0,208.795,35604872.8,8688005.72,2.7760000000000002,0.0,219863985.41,12.89,95.755,6.881,2.2172500000000004,31428997.72,1188.5375,60.4,-159342308.59,1388.3926562499994,5.385,8.23,6.707839999999999,5.751,76017364.5,68.20025,57.433,1119.3910937499998,-0.5870000000000001,37018073.71,233866079.03,202437081.31,13.439,13.133,2736445.08,0.5,11349276.0,4.853,1.19727,2513.56922,83450211.8,60.324,3.715,519058.57,3.7381,414733185.26,1.4280000000000002,634597170.67,0.8537656249999998,0.36815,700.6865700000003,12049907.0,-0.2710601914541858,41050,202009,2327.03
7,3.52063,314481678.47,166.30900000000003,-3346205.48,-18494839.53,3.053,94.46698,204678845.15,12.89,91.512,6.881,2.231854838709677,17870017.03,1117.6435483870966,60.06666666666666,-159483254.48,1332.8369354838712,0.9540000000000001,8.23,6.707839999999999,-3.263,76017364.5,52.72846,55.324,1069.9480645161286,-0.5870000000000001,41095253.85,238522200.23,220652183.21,7.492000000000001,-308.325,2059052.0,0.5,-9894309.0,-4.148,1.23579,2428.49672,71702076.9,54.053,-7.754,722526.05,-0.932,479765665.59,1.641,684444510.74,0.9498064516129032,0.36166,793.92825,-21230034.33,-0.024340062287967926,78700,202012,2543.03
8,3.06065,256300305.59,175.84,-24069992.88,-14049194.59,1.577,0.0,202243903.22,27.88300000000001,104.725,17.409000000000002,2.0973,15358697.91,1114.0516666666667,58.6,-134343287.0,1342.6224999999995,-4.8210000000000015,10.704,4.98116,-6.05,76017364.5,56.51541,58.4,1051.0308333333335,32.497,26065376.92,191746601.02,176387903.11,8.01,-263.768,2708863.84,0.5,-13559632.0,-7.072,1.04703,2272.6914,47496525.49,57.468,-7.327000000000001,166861.44,-6.0504,400366831.0,0.807,602610734.22,1.0389166666666672,0.29796,414.88039,-22030712.0,0.10983405462958816,128750,202103,3069.525
9,3.2019900000000003,219802514.9,180.07,-9397210.69,-9242700.61,2.414,0.0,205143481.67,27.88300000000001,57.926,17.409000000000002,1.930809523809524,25663404.47,1121.2349206349206,60.96666666666666,-84998413.14,1350.845873015873,-7.4289999999999985,10.704,4.98116,-10.368,76017364.5,109.36541,59.512,1024.3182539682539,32.497,57286683.16,185623169.94,159959765.47,13.826,-193.159,2409976.2,0.5,-21162537.02,-11.401,1.23386,2261.5016,46699295.96,61.063,-4.979,192647.05,-7.7119,359369575.87,1.4269999999999998,564513057.54,1.1939841269841271,0.31809000000000004,822.2651599999997,-7021832.0,-0.13399609909440302,116000,202106,3194.33
