,    CAPEX(천원),    감가상각비(현금흐름표)(천원),    운전자본증감(천원),  당기순이익(비지배)(천원),  당기순이익(지배)(천원),  순부채(천원),  이자발생부채(천원),1개월 초과 수익율,3개월 초과 수익율,6개월 초과 수익율,"BPS(지배, Adj.)(원/주)",BPS증가율(QoQ)(비율),BPS증가율(YoY)(비율),CEPS(Adj.)(원/주),CPS(Adj.)(원/주),EBIT(천원),EBITDA2(천원),EBITDA2PS(Adj.)(원/주),EBITDA2마진율(비율),EBITDA2증가율(QoQ)(분기),EBITDA2증가율(YoY)(분기),EBITDA2증가율(YoY)(연도),EBITPS(Adj.)(원/주),EBIT증가율(QoQ)(비율),EBIT증가율(YoY)(비율),"EPS(Adj., 어닝서프라이즈)(비율)","EPS(Adj., 잠정치)(원/주)","EPS(지배, Adj.)(원/주)","EPS(지배, Adj., 어닝서프라이즈)(비율)","EPS(지배, Adj., 잠정치)(원/주)",EPS증가율(QoQ)(비율),EPS증가율(YoY)(비율),EV(천원),EV/EBIT(배),EV/EBITDA2(배),EV/Sales(배),EV2(천원),Free Cash Flow2(천원),IC(천원),Net Debt/Share(Adj.)(원/주),NOPLAT(천원),"P/B(Adj., FY End)(배)","P/C(Adj., FY End)(배)","P/CE(Adj., FY End)(배)","P/E(Adj., FY End)(배)","P/FCF2(Adj., FY End)(배)","P/S(Adj., FY End)(배)",ROA(비율),ROE(지배)(비율),ROIC(%),SPS(Adj.)(원/주),"SPS(Adj., 잠정치)(원/주)",감가상각비(판관비)(천원),금융비용(천원),금융수익(천원),기타영업외비용(천원),기타영업외수익(천원),당기순이익(어닝서프라이즈)(비율),당기순이익(잠정치)(천원),"당기순이익(지배, 어닝서프라이즈)(비율)","당기순이익(지배, 잠정치)(천원)",당기순이익(천원),매입채무회전율(비율),매출액(어닝서프라이즈)(비율),매출액(잠정치)(천원),매출액(천원),매출액증가율(QoQ)(분기),매출액증가율(YoY)(분기),매출액증가율(YoY)(연도),매출원가(천원),매출채권회전율(비율),매출총이익(천원),매출총이익률(비율),부채비율(비율),부채총계(천원),비유동부채(천원),비유동비율(비율),비유동자산(천원),비지배주주지분(천원),세전계속사업이익(잠정치)(천원),세전계속사업이익(천원),"수정DPS(보통주, 기말현금)(원/주)",순부채비율(비율),순이익률(비율),순이익증가율(QoQ)(분기),순이익증가율(YoY)(분기),순이익증가율(YoY)(연도),"순이익증가율(지배, QoQ)(비율)","순이익증가율(지배, YoY)(비율)","시가배당률(보통주, 기말, KRX기준)(%)",영업이익(어닝서프라이즈)(비율),영업이익(잠정치)(천원),영업이익(천원),영업이익률(비율),영업이익증가율(QoQ)(분기),영업이익증가율(YoY)(분기),영업이익증가율(YoY)(연도),영업활동으로인한현금흐름(천원),유동부채(천원),유동비율(비율),유동성,유동자산(천원),이익잉여금(천원),이자보상배율(배),자기자본비율(비율),자기자본회전율(비율),자본금(천원),자본금회전율(비율),자본유보율(비율),자본잉여금(천원),자본총계(지배)(천원),자본총계(천원),자산총계(천원),재고자산회전율(비율),재무활동으로인한현금흐름(천원),차입금비율(비율),총자산회전율(비율),타인자본회전율(비율),투자활동으로인한현금흐름(천원),판매비와관리비(천원),"현금배당률(보통주, 기말, 액면가)(%)",현금배당성향(%)(%),현금의증가(천원),CD(91일)(%),CP(91일)(%),경제활동인구_고용률(원지수)(%),경제활동인구_실업률(원지수)(%),국고채(3년)(%),원_미국달러(매매기준율)(원),원_유로(원),원_일본엔(100엔)(원),생산자물가지수(2010=100),수입물가지수(2010=100),수출물가지수(2010=100),한국은행 기준금리(%),"회사채(3년,AA-)(%)",Close,Close_kospi,Date_quarter,y
0,3863593.0,3726261.0,7148774.0,346128.0,14892248.0,-254792594.0,5527438.0,-0.02547240128420558,0.2379877986034616,0.4601699188532261,21130.8558,3.298,,918.276793,1465.6393779999999,19972662.0,7342501.0,1130.618881,6.732,244.61700000000002,149.457,602.054,967.085794,,,,737.8494139999997,348.78427,,721.1,,,,,,,,26405407.0,198813615.0,-12337.178597,15104494.229489999,1.60962,,,110.09671000000002,,2.67881,1.2009999999999998,2.7960000000000003,7.5973,16794.415424000006,16794.4,343600.0,61502.0,929204.0,1564141.0,1840735.0,,15238376.0,,14892248.0,15238377.0,1.80387,,346845321.0,346845321.0,22.729,58.106,444.366,308392131.0,1.10142,38453190.0,11.087,84.796,353624990.0,8767160.0,29.27,129244510.0,5157878.0,20840364.0,20840364.0,0.0,-57.703,4.393,87.695,235.949,854.326,,,,,19623755.0,19623755.0,5.6579999999999995,129.093,219.702,640.808,30269000.0,344857830.0,193.106,2.7214406222656074e-07,665941667.0,416061218.0,8.681519999999999,55.528999999999996,0.7983899999999999,10326210.0,33.58883,4176.824000000001,15246403.0,436403310.0,441561187.0,795186177.0,590.07922,-378522.0,1.252,0.43942,0.97734,-6864606.0,18829435.0,0.0,0.0,22181304.0,1.6500000000000017,1.8144262295081977,61.13333333333333,3.766666666666667,2.0287049180327865,1121.5918032786883,1304.2455737704918,1007.1195081967212,104.26333333333332,111.90333333333336,106.17666666666668,1.5,2.6192950819672127,29275,2289.06,201809,-0.2582335056617369
1,-3633362.84,4258295.0,-44497589.0,299022.72,14840583.85,-244355966.22,5075705.64,0.05061774852985285,0.2379877986034616,0.4601699188532261,21601.8305,2.229,8.404,939.2556199999999,-809.03598,20830373.64,25303490.46,1229.1056199999996,5.926,244.61700000000002,149.457,602.054,1008.6166,4.294,,,733.06697,674.83625,,719.0,-0.34700000000000003,,,,,,,-13075187.96,205255190.36,-11831.83211,17687496.648870002,1.4497200000000001,,,52.45717,,2.14509,1.2009999999999998,2.7960000000000003,8.6173,20742.02642,20742.0,409742.0,57479.64,1190714.3,802649.39,724481.61,,15139607.0,,14840584.0,15139606.57,2.07934,,428373041.0,428373041.21,22.729,58.106,444.366,387129654.65,1.26232,41243386.57,9.628,92.059,377482747.6,9497932.67,30.906,139567586.57,5458367.16,21963608.0,21963607.64,690.0,-54.11,3.534,87.695,235.949,854.326,-0.34700000000000003,,,,21125710.0,21125710.44,4.9319999999999995,129.093,219.702,640.808,-16708550.8,367984814.92,187.373,1.2935872052586622e-07,689503604.38,425679102.81,38.8203,54.468999999999994,0.95924,10326210.0,41.48405,4269.965,15246402.98,446130076.2,451588443.35,829071190.95,743.71329,-424144.71,1.124,0.52747,1.17185,6198802.89,20117676.13,13.0,96.31966,-10847969.39,1.7607936507936537,1.8766666666666665,60.9,3.3666666666666667,1.9268730158730158,1127.5206349206353,1286.4179365079362,999.3495238095239,103.60666666666668,109.89666666666666,103.63666666666668,1.5833333333333333,2.387920634920636,34200,2084.5550000000007,201812,0.1863883811874272
2,4922920.0,9780187.0,8565488.0,186090.0,9029100.0,-209300885.0,71363354.0,0.14004982504002372,0.1975082821245222,0.4601699188532261,21823.793380000006,1.0270000000000001,,918.04844,1607.04788,13040514.0,14925114.0,1038.96542,7.0070000000000014,-41.01600000000001,13.437999999999999,10.415,630.24933,-37.397,,,445.36186,342.41411,,436.0,-39.273,,1514799115.0,116.161,70.4647,4.9371100000000006,1520455296.0,28328572.0,246245898.0,-9966.70881,7512642.61432,2.04441,51.08746,89.42883,144.12373,59.96541,3.78063,0.487,1.41,3.0508,14828.5916,14829.0,694081.0,396138.0,1367468.0,1206123.0,1558219.0,,9215000.0,,9029000.0,9215190.0,1.40913,,306819000.0,306818982.0,-20.901999999999997,1.425,4.18,275946513.0,0.8796600000000001,30872469.0,10.062000000000001,83.415,473950384.0,55484060.0,44.925,208430341.0,5656181.0,13041000.0,13040514.0,0.0,-45.111999999999995,3.003,-59.544,-26.725,126.792,-39.159,,,,11717000.0,11717088.0,3.819,-66.456,-1.652,5.482,33251492.0,418466324.0,174.321,1.724661158950734e-07,729475886.0,420402733.0,9.00145,49.467,0.6702400000000001,10500000.0,29.4647,4303.998,31517102.0,458299662.0,463955842.0,937906227.0,38.7452,11227905.0,15.380999999999998,0.34728000000000003,0.7207100000000001,-13886114.0,19155381.0,0.0,0.0,31232568.0,1.878305084745764,1.9723728813559325,59.66666666666666,4.5,1.7993728813559329,1125.084745762712,1277.878305084746,1021.9893220338984,103.10666666666668,107.29666666666668,99.57333333333334,1.75,2.2524576271186443,40850,2176.11,201903,0.4890280173181749
3,6582664.88,12245603.0,-7033822.0,364774.41,16993311.2,-178820454.93,101382351.66,-0.005526621208430228,0.1842840699189774,0.3817536469772093,22688.3725,3.9610000000000003,10.912,1409.69946,1232.62535,24056253.94,23488556.0,1669.9538699999994,8.588,57.37600000000001,98.979,10.415,1145.5359,84.473,,,826.57143,2176.98864,,809.0,85.43700000000003,,1104279545.07,45.90405,31.488740000000004,2.7042,1109497734.96,19302467.51,301480784.81,-8515.259759999999,14530378.9412,1.58321,49.568999999999996,43.34257,18.85632,66.47336999999999,2.71211,4.477,8.696,4.8196,19445.5387,19446.0,3513608.0,706815.32,1369519.75,857843.94,1427965.23,,17358000.0,,16993000.0,17358085.61,1.90437,,408356000.0,408356312.68,15.953,6.76,4.18,364066680.71,1.20986,44289631.97,10.845999999999998,91.147,509446506.83,81680773.7,50.821999999999996,244794953.46,5218189.89,24056000.0,24056253.94,0.0,-37.125,4.251,833.668,27.747,126.792,88.206,,,,22824000.0,22823428.23,5.5889999999999995,142.233,-25.163,5.482,25885132.39,427765733.13,174.47099999999998,7.37447200105914e-08,746325565.69,437344277.82,19.75341,48.599,0.86367,10500000.0,38.89108,4465.346,31517101.7,476455822.43,481674012.32,991120519.15,41.31073,-23632296.71,21.048000000000002,0.42338,0.8305,-2852799.97,21466203.75,0.0,0.0,-11433.26,1.835806451612904,1.951935483870969,61.3,4.133333333333334,1.6432903225806446,1165.9145161290319,1309.912258064516,1060.3525806451612,103.65666666666668,111.38,101.45666666666666,1.75,2.126822580645161,46925,2125.2,201906,0.8744418219579047
4,4178741.34,12732747.0,4760044.0,366800.9,14767859.61,-199136299.16,105706023.59,0.015540319684499647,-0.054267837025814385,0.04167391113587149,23446.8902,3.343,10.96,1327.0194099999999,1817.86038,22037311.87,14610027.0,1589.58691,8.66,-37.799,98.979,10.415,1049.3958,-8.392999999999999,10.337,,720.71429,364.24147,-1.541,703.0,-13.095999999999998,-2.477,936963700.84,42.51715,28.0685,2.43082,942549522.45,33996326.7,297874342.86,-9482.68091,14918541.45685,1.81642,29.76026,40.76805,124.64258999999998,33.41832,3.40301,0.792,1.496,5.0083,18354.81455,18355.0,2036970.0,673097.82,1273479.94,765125.6,1553477.2,,15135000.0,-1.5470000000000002,14768000.0,15134660.51,1.85835,-2.459,385451000.0,385451105.62,-5.1560000000000015,6.76,4.18,344091522.64,1.15132,41359582.98,10.73,82.03299999999999,508365162.09,87137857.29,49.58,246892839.42,5585821.61,22037000.0,22037311.87,0.0,-39.99,3.926,-81.98100000000002,27.747,126.792,-13.095999999999998,-0.835,,-2.4459999999999997,20649000.0,20648578.14,5.357,-59.797,-25.163,5.482,38175068.04,421227304.8,180.293,6.146446661397919e-08,759442838.5,452098143.14,64.3341,49.483999999999995,0.7869200000000001,10500000.0,36.70963,4605.859,31517101.7,492384694.23,497970515.83,1006335677.92,55.155409999999996,-7824655.56,21.226999999999997,0.38594,0.75741,-6707622.35,20711004.83,0.0,0.0,24639516.15,1.5739682539682545,1.774761904761904,61.46666666666667,3.333333333333333,1.280444444444444,1193.2380952380956,1327.8560317460315,1112.0722222222225,103.68,110.65666666666668,101.07,1.5515873015873016,1.7913809523809519,41650,2049.2,201909,0.6371111857618661
5,765169.77,12906448.0,-57141670.0,22956.18,15141620.06,-140753928.61,133928769.86,-0.02953047876370873,0.003111159647799289,-0.031610420118525884,24259.35528,3.465,12.302,1336.71544,-814.73083,22906377.3,25605616.8,1806.17566,8.05,75.26100000000002,1.194,10.415,1090.7798699999996,3.944,9.966000000000001,-19.778,722.0,844.27212,-24.265,721.0,2.531,0.34,917646071.39,40.06072,24.19335,1.9475,923210411.1,-17874517.29,378960188.44,-6702.5680299999985,16473976.32015,1.59854,-61.86091999999999,37.70436,48.85865,-59.21279000000001,2.6699900000000003,1.877,3.383,4.3471,22437.68925,22438.0,2291282.0,2167752.49,1411651.34,824898.38,772917.89,-19.762,15165000.0,-24.29,15142000.0,15164576.24,2.42296,-0.603,471191000.0,471191474.32,15.985,0.894,4.18,424057679.45,1.38005,47133794.87,10.003,78.449,511685705.36,112891899.48,55.852,287644046.88,5564339.71,24221000.0,24221233.3,710.0,-27.33,3.218,132.153,58.005,126.792,2.531,2.028,1.44221,0.293,25023000.0,25023240.87,5.311,196.80599999999998,-3.0439999999999996,5.482,-17109347.52,398793805.87,185.322,4.927693836434496e-08,739052459.11,470769856.94,209.50592,50.162,0.93031,10500000.0,44.87538,4783.685,31517101.7,509446460.93,515010800.63,1026696505.99,65.86796,-6999610.97,26.005,0.4635300000000001,0.92386,-204715415.67,22110554.0,14.0,81.47400999999998,-230159624.28,1.5019047619047627,1.6680952380952376,61.4,3.1666666666666665,1.4126984126984132,1175.8095238095239,1301.974126984127,1081.4261904761909,103.55666666666669,108.02666666666666,97.67333333333332,1.2857142857142858,1.9372222222222213,44000,2101.08,201912,0.7282490951201939
6,6376999.54,13840041.0,22867888.0,138122.23,8793960.24,-161343262.76,134920213.2,-0.10061674070666476,-0.1991469454178116,-0.21868524758332752,24038.6867,-0.91,10.149,1084.3868300000001,2212.89142,12830711.87,15108647.0,1202.49522,7.675,-40.995,1.23,-2.838,610.98628,-43.986000000000004,-1.609,-33.904,425.33333,318.66594,9.974,419.0,-41.922,-4.037,499106737.24,38.89938,19.76472,1.51695,503869187.12,40093720.23,343237271.03,-7683.01251,7355715.85431,1.05195,14.21217,29.002570000000002,84.10061,16.47265,2.08895,0.7490000000000001,1.265,2.1430000000000002,15667.639630000001,15668.0,2375441.0,1023457.48,1209121.27,2322287.13,3521147.4,-33.836999999999996,8932000.0,9.925,8794000.0,8932082.47,1.6614799999999998,-6.7139999999999995,329020000.0,329020432.29,-16.959,5.922999999999999,0.46,296961990.51,0.93658,32058441.79,9.744,59.027,539859366.3,109749899.2,56.458,287693746.81,4762449.88,12831000.0,12830711.87,0.0,-31.662,2.715,-62.256,47.416000000000004,-43.636,-41.922,-2.6039999999999996,,-24.673,11412000.0,11412358.64,3.469,-63.206,6.353,-5.749,46470719.77,430109467.1,177.104,8.499520288114871e-08,761740489.96,464650566.75,130.62726999999998,48.556999999999995,0.6422500000000001,10500000.0,31.335279999999997,4725.406,31517101.7,504812420.6,509574870.48,1049434236.78,68.64258000000001,-10395030.02,26.476999999999997,0.31695,0.62578,-35416341.24,20646083.15,0.0,0.0,1580777.49,1.3659677419354834,1.6630645161290318,59.83333333333334,4.133333333333333,1.2340161290322578,1193.6,1316.5848387096773,1096.2629032258067,103.54666666666668,105.01,96.82,1.1612903225806452,1.8789677419354835,37200,2153.19,202003,0.3007871787126335
7,2433605.1,14471935.0,-11888453.0,399282.64,18816539.21,-171533365.31,128576941.21,0.06522188349098479,0.14403079320722256,-0.09055073260435598,24911.09019,3.6289999999999996,9.797,1604.1789,1256.9220599999999,26314484.76,21339663.0,1952.1493100000002,10.491,41.24100000000001,-9.149,-2.838,1253.0707,105.09,9.387,28.151,915.0476199999999,628.7226900000003,25.49,896.0,113.971,10.729000000000001,617016634.69,23.447789999999998,15.050970000000001,1.57894,622173982.49,23961758.07,358587637.12,-8168.2554900000005,18831594.47961,1.40374,29.874570000000002,23.407610000000002,58.45184,32.90869,2.57848,1.565,2.477,5.2516,18608.46312,18608.0,2464441.0,1009250.47,916534.91,1059440.96,940434.38,28.107,19216000.0,25.44,18816000.0,19215821.85,1.87484,-3.7969999999999997,390778000.0,390777725.45,11.093,1.483,0.46,345302640.93,1.1048,45475084.51,11.637,57.538,521482084.67,104231940.96,50.931999999999995,269068780.06,5157347.8,26314000.0,26314484.76,0.0,-32.47,4.917,97.29799999999999,-68.84899999999999,-43.636,113.971,10.729000000000001,,29.070999999999998,26524000.0,26523200.6,6.787000000000001,101.551,-11.509,-5.749,26395363.17,417250143.71,187.107,1.1804531798727856e-07,780703546.39,483461178.87,203.61722,50.324,0.7530399999999999,10500000.0,37.21693,4904.555,31517101.7,523132893.98,528290241.78,1049772326.45,82.71548,-24899305.57,24.338,0.37231,0.73638,22802695.39,18951883.91,0.0,0.0,23146830.56,0.9650819672131152,1.85377049180328,60.0,4.333333333333333,0.9159672131147542,1220.8114754098358,1344.7378688524589,1134.6981967213114,102.12333333333332,98.36333333333332,94.49,0.6576923076923077,2.181803278688525,36400,1970.13,202006,0.4036827195467423
8,3167400.96,14668725.0,-26425819.0,368631.66,14714418.05,-170902787.34,121101152.19,-0.08246299736114954,-0.1955445763475652,-0.10680536731748147,25572.64693000001,2.655,9.066,1416.75118,265.09522000000004,21706609.47,20238515.0,1762.7654100000002,9.326,-5.16,38.525,-2.838,1033.64807,-17.511,-1.501,-13.806,718.2381,538.9951599999998,-11.602,701.0,-21.801,-0.36200000000000004,1128997212.66,52.01168,30.498540000000002,2.84436,1134527539.92,2399598.66,373612189.87,-8138.22797,13402809.181839999,1.32116,233.50099999999998,43.69151,65.21394000000001,541.71559,2.45008,1.349,2.0780000000000003,3.5873,18901.20129,18901.0,2482867.0,999234.83,838165.18,1066531.12,570575.67,-13.811,15083000.0,-11.622,14715000.0,15083049.71,1.95117,1.472,396925000.0,396925227.04,0.659,7.705,0.46,353328126.1,1.07675,43597100.94,10.984000000000002,50.583,519524754.36,99730777.83,47.875,259747382.0,5530327.26,21707000.0,21706609.47,0.0,-31.5,3.8,-14.270999999999999,48.21,-43.636,-21.801,-0.36200000000000004,,-4.898,22349000.0,22349348.71,5.631,-12.065999999999999,93.551,-5.749,5566999.62,419793976.53,191.125,8.354592070752832e-08,802333285.53,498170783.64,162.12332,51.083999999999996,0.74133,10500000.0,37.8024,5044.647,31517101.7,537025585.44,542555912.7,1062080667.06,86.23649,-9873966.18,22.32,0.3759,0.76258,-3119148.68,21247752.22,0.0,0.0,-8106366.99,0.7021875000000007,1.37515625,60.4,3.5666666666666664,0.8537656249999998,1188.5375,1388.3926562499994,1119.3910937499998,103.11666666666667,99.33,95.03333333333336,0.5,2.2172500000000004,34575,2327.03,202009,0.01130596140611595
9,4645478.87,14566167.0,-57002.0,882585.41,16672493.21,-181594029.72,118035177.8,-0.02900620019557665,-0.0317738014436888,-0.27423155259205045,26429.861240000002,3.352,8.947000000000003,1529.58313,1770.64474,24088664.68,19711343.31,1956.91685,9.217,-2.605,-23.019000000000002,-2.838,1147.07927,10.974,5.1610000000000005,-17.797,836.0,453.89091,-12.747,794.0,13.307,10.11,2411905970.28,100.12618,58.690619999999996,5.40945,2419260114.46,32538060.76,369307197.16,-8647.33475,23886037.09678,1.46956,69.7486,80.74095,88.45738,79.70666,2.92,1.113,1.713,6.4677,21231.86494,21232.0,2706905.0,953609.11,536075.45,3297629.68,825277.9,-17.839000000000006,17555000.0,-12.712,16672000.0,17555078.63,2.16748,-9.748,445869000.0,445869163.73,-4.158,-11.0,0.46,396629582.29,1.20882,49239581.43,11.044,57.131,514645776.8,97261740.19,49.743,279747373.93,7354144.18,23554000.0,23553843.68,750.0,-32.29,3.937,-15.789000000000001,-46.239,-43.636,13.307,10.11,0.649351,-3.619,26529000.0,26529086.85,5.95,-5.7920000000000025,-38.566,-5.749,37183539.63,417384036.61,191.018,6.79972781924822e-08,797279633.01,519919101.43,293.34337,52.216,0.80705,10500000.0,42.46373,5251.773,31517101.7,555027085.96,562381230.13,1077027006.93,100.22027,-5111928.49,20.988000000000003,0.41686999999999996,0.8622700000000001,-15556052.74,22710494.59,14.0,151.54795,12625267.99,0.650645161290322,1.100161290322582,60.06666666666666,3.733333333333333,0.9498064516129032,1117.6435483870966,1332.8369354838712,1069.9480645161286,103.33333333333331,96.71,92.62333333333332,0.5,2.231854838709677,36350,2543.03,202012,-0.06301987918298724
