,회사,Date,지표,lag_0,lag_0_reverse,corr,index,영문명,구분,단위
0,accenture,2011-11-01,BPS,0.211608666,0.466189473,-0.37662179,3,주가순자산비율_from_BPS,안정성,"지배, Adj._원/주"
24,accenture,2011-11-01,비유동자산,0.353712375,0.019314564,0.881076601,2,,안정성,천원
25,accenture,2011-11-01,순부채,0.019213492,0.089858756,-0.877868053,1,BS_Net Debt Incl. Pref.Stock & Min.Interest,안정성,천원
26,accenture,2011-11-01,순이익률,0.947618522,0.000114168,0.608187846,2,Net Margin - %,수익성,비율
27,accenture,2011-11-01,순이익증가율,0.020110489,0.18243853,-0.166173751,1,,성장성,YoY_연도
28,accenture,2011-11-01,영업이익,0.614064901,1.48529E-06,0.703940188,2,IS_Operating Income,수익성,천원
29,accenture,2011-11-01,영업이익률,0.802663159,0.1592786,0.292689319,3,Operating Margin - %,수익성,비율
30,accenture,2011-11-01,영업이익증가율,0.95871344,0.877470463,0.216081282,3,,성장성,YoY_연도
32,accenture,2011-11-01,유동비율,0.370907927,0.976206553,0.256867274,3,Current Ratio,안정성,비율
23,accenture,2011-11-01,비유동비율,0.824392528,0.626741594,-0.513853085,3,,안정성,비율
33,accenture,2011-11-01,유동자산,0.010336995,0.047570336,0.919524243,0,BS_Total Current Assets,안정성,천원
35,accenture,2011-11-01,이자발생부채,0.798756147,0.354603547,-0.635636969,3,,안정성,천원
36,accenture,2011-11-01,이자보상율,0.053984852,0.321792623,-0.067800796,3,이자보상율,안정성,배
37,accenture,2011-11-01,자기자본비율,0.232897622,0.244555143,0.76442706,3,자기자본비율,안정성,비율
38,accenture,2011-11-01,자본,0.02875027,0.059529626,0.897591565,1,BS_Common Stock,안정성,천원
39,accenture,2011-11-01,자산총계,0.024513007,0.046356113,0.921447237,0,BS_Total Assets,안정성,천원
40,accenture,2011-11-01,재고자산회전율,0.077706025,0.126533043,-0.715571283,3,,활동성,비율
41,accenture,2011-11-01,총자산회전율,0.063015155,0.879625335,0.197472724,3,"Asset Turnover, TTM",활동성,비율
42,accenture,2011-11-01,현금배당성향,0.609406626,0.010323205,0.337921323,2,Dividend Payout Ratio - %,수익성,%
34,accenture,2011-11-01,이익잉여금,0.014418642,0.903096847,0.921583687,1,BS_Retained Earnings (Accumulated Deficit),수익성,천원
22,accenture,2011-11-01,부채총계,0.034876733,0.0215091,0.923221216,0,BS_Total Liabilities,안정성,천원
31,accenture,2011-11-01,운전자본증감,0.188532517,0.07121327,-0.411144284,3,CF_Changes in Working Capital,안정성,천원
20,accenture,2011-11-01,매출총이익률,0.311750353,0.408841172,-0.338514861,3,Gross Profit Margin - %,수익성,비율
21,accenture,2011-11-01,부채비율,0.94358456,0.405994449,-0.570802629,3,부채비율,안정성,비율
2,accenture,2011-11-01,CAPEX,0.482646488,0.059000823,-0.08737362,3,Capital Expenditures - Net - Cash Flow,성장성,천원
3,accenture,2011-11-01,EBITDA2,0.524266152,3.69609E-06,0.783843564,2,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",수익성,천원
4,accenture,2011-11-01,EBITDA2마진율,0.898696767,0.095040054,0.314018613,3,EBITDA Margin - %,수익성,비율
5,accenture,2011-11-01,EBITDA2증가율,0.276508249,0.636897075,0.202989245,3,,성장성,YoY_연도
