date,acn_Multiple10,acn_Multiple15,acn_Multiple20,acn_Multiple25,acn_Multiple30,acn_Multiple35,acn_Multiple40,acn_¡÷∞°
2011-02-28,29.5,44.25,59,73.75,88.5,103.25,118,51.48
2011-05-31,31.5,47.25,63,78.75,94.5,110.25,126,57.39
2011-08-31,34,51,68,85,102,119,136,53.59
2011-11-30,35.5,53.25,71,88.75,106.5,124.25,142,57.93
2012-02-29,37.7,56.55,75.4,94.25,113.1,131.95,150.8,59.54
2012-05-31,38.7,58.05,77.4,96.75,116.1,135.45,154.8,57.1
2012-08-31,38.4,57.6,76.8,96,115.2,134.4,153.6,61.6
2012-11-30,39.4,59.1,78.8,98.5,118.2,137.9,157.6,67.92
2013-02-28,44.3,66.45,88.6,110.75,132.9,155.05,177.2,74.36
2013-05-31,45.3,67.95,90.6,113.25,135.9,158.55,181.2,82.11
2013-08-31,46.6,69.9,93.2,116.5,139.8,163.1,186.4,72.25
2013-11-30,46.8,70.2,93.6,117,140.4,163.8,187.2,77.47
2014-02-28,41.9,62.85,83.8,104.75,125.7,146.65,167.6,83.35
2014-05-31,42.4,63.6,84.8,106,127.2,148.4,169.6,81.45
2014-08-31,45.2,67.8,90.4,113,135.6,158.2,180.8,81.06
2014-11-30,47.3,70.95,94.6,118.25,141.9,165.55,189.2,86.33
2015-02-28,48.4,72.6,96.8,121,145.2,169.4,193.6,90.03
2015-05-31,49,73.5,98,122.5,147,171.5,196,96.04
2015-08-31,47.6,71.4,95.2,119,142.8,166.6,190.4,94.27
2015-11-30,47.5,71.25,95,118.75,142.5,166.25,190,107.22
2016-02-29,57.5,86.25,115,143.75,172.5,201.25,230,100.26
2016-05-31,59.2,88.8,118.4,148,177.6,207.2,236.8,118.97
2016-08-31,64.5,96.75,129,161.25,193.5,225.75,258,115
2016-11-30,67.5,101.25,135,168.75,202.5,236.25,270,119.43
2017-02-28,60,90,120,150,180,210,240,122.5
2017-05-31,56.4,84.6,112.8,141,169.2,197.4,225.6,124.47
2017-08-31,54.4,81.6,108.8,136,163.2,190.4,217.6,130.76
2017-11-30,56.5,84.75,113,141.25,169.5,197.75,226,148.01
2018-02-28,59,88.5,118,147.5,177,206.5,236,161.01
2018-05-31,65.2,97.8,130.4,163,195.6,228.2,260.8,155.74
2018-08-31,66.2,99.3,132.4,165.5,198.6,231.7,264.8,169.07
2018-11-30,67.9,101.85,135.8,169.75,203.7,237.65,271.6,164.52
2019-02-28,69.4,104.1,138.8,173.5,208.2,242.9,277.6,161.38
2019-05-31,72,108,144,180,216,252,288,178.07
2019-08-31,73.6,110.4,147.2,184,220.8,257.6,294.4,198.17
2019-11-30,74.9,112.35,149.8,187.25,224.7,262.15,299.6,201.16
2020-02-29,77,115.5,154,192.5,231,269.5,308,180.59
2020-05-31,76.7,115.05,153.4,191.75,230.1,268.45,306.8,201.62
2020-08-31,79.2,118.8,158.4,198,237.6,277.2,316.8,239.93
2020-11-30,81.5,122.25,163,203.75,244.5,285.25,326,249.09
2021-02-28,84.4,126.6,168.8,211,253.2,295.4,337.6,250.9
2021-05-31,89.4,134.1,178.8,223.5,268.2,312.9,357.6,282.16
2021-08-31,91.5,137.25,183,228.75,274.5,320.25,366,336.56
2021-11-30,96.1,144.15,192.2,240.25,288.3,336.35,384.4,357.4
2022-02-28,99.2,148.8,198.4,248,297.6,347.2,396.8,316.02
