date,sds_Multiple10,sds_Multiple20,sds_Multiple30,sds_Multiple40,sds_Multiple50,sds_Multiple60,sds_¡÷∞°
2014-12-31,53368.4,106736.8,160105.2,213473.6,266842,320210.4,293500
2015-03-31,55505,111010,166515,222020,277525,333030,267500
2015-06-30,55421.2,110842.4,166263.6,221684.8,277106,332527.2,259500
2015-09-30,56618.7,113237.4,169856.1,226474.8,283093.5,339712.2,288000
2015-12-31,56757.5,113515,170272.5,227030,283787.5,340545,254000
2016-03-31,61857.9,123715.8,185573.7,247431.6,309289.5,371147.4,175000
2016-06-30,62221.7,124443.4,186665.1,248886.8,311108.5,373330.2,143500
2016-09-30,61794.9,123589.8,185384.7,247179.6,308974.5,370769.4,154000
2016-12-31,59968.6,119937.2,179905.8,239874.4,299843,359811.6,139500
2017-03-31,55040,110080,165120,220160,275200,330240,133500
2017-06-30,57318.3,114636.6,171954.9,229273.2,286591.5,343909.8,184500
2017-09-30,63626.5,127253,190879.5,254506,318132.5,381759,168500
2017-12-31,68564.5,137129,205693.5,274258,342822.5,411387,200000
2018-03-31,74374.8,148749.6,223124.4,297499.2,371874,446248.8,255500
2018-06-30,79965.8,159931.6,239897.4,319863.2,399829,479794.8,200500
2018-09-30,79076.8,158153.6,237230.4,316307.2,395384,474460.8,231000
2018-12-31,81370.1,162740.2,244110.3,325480.4,406850.5,488220.6,204000
2019-03-31,82059.4,164118.8,246178.2,328237.6,410297,492356.4,235000
2019-06-30,82899.6,165799.2,248698.8,331598.4,414498,497397.6,215000
2019-09-30,84904.1,169808.2,254712.3,339616.4,424520.5,509424.6,190500
2019-12-31,95210.6,190421.2,285631.8,380842.4,476053,571263.6,194500
2020-03-31,73255,146510,219765,293020,366275,439530,149500
2020-06-30,67384.8,134769.6,202154.4,269539.2,336924,404308.8,168500
2020-09-30,67761,135522,203283,271044,338805,406566,169500
2020-12-31,57329.6,114659.2,171988.8,229318.4,286648,343977.6,178500
2021-03-31,81357.3,162714.6,244071.9,325429.2,406786.5,488143.8,193500
2021-06-30,83297.7,166595.4,249893.1,333190.8,416488.5,499786.2,185000
2021-09-30,87856.4,175712.8,263569.2,351425.6,439282,527138.4,160500
2021-12-31,79013.5,158027,237040.5,316054,395067.5,474081,156500
2022-03-31,84382,168764,253146,337528,421910,506292,138500
