,    CAPEX(천원),    감가상각비(현금흐름표)(천원),    운전자본증감(천원),  당기순이익(비지배)(천원),  당기순이익(지배)(천원),  순부채(천원),  이자발생부채(천원),1개월 초과 수익율,3개월 초과 수익율,6개월 초과 수익율,"BPS(지배, Adj.)(원/주)",BPS증가율(QoQ)(비율),BPS증가율(YoY)(비율),CEPS(Adj.)(원/주),CPS(Adj.)(원/주),EBIT(천원),EBITDA2(천원),EBITDA2PS(Adj.)(원/주),EBITDA2마진율(비율),EBITDA2증가율(QoQ)(분기),EBITDA2증가율(YoY)(분기),EBITDA2증가율(YoY)(연도),EBITPS(Adj.)(원/주),EBIT증가율(QoQ)(비율),EBIT증가율(YoY)(비율),"EPS(Adj., 어닝서프라이즈)(비율)","EPS(Adj., 잠정치)(원/주)","EPS(지배, Adj.)(원/주)","EPS(지배, Adj., 어닝서프라이즈)(비율)","EPS(지배, Adj., 잠정치)(원/주)",EPS증가율(QoQ)(비율),EPS증가율(YoY)(비율),EV(천원),EV/EBIT(배),EV/EBITDA2(배),EV/Sales(배),EV2(천원),Free Cash Flow2(천원),IC(천원),Net Debt/Share(Adj.)(원/주),NOPLAT(천원),"P/B(Adj., FY End)(배)","P/C(Adj., FY End)(배)","P/CE(Adj., FY End)(배)","P/E(Adj., FY End)(배)","P/FCF2(Adj., FY End)(배)","P/S(Adj., FY End)(배)",ROA(비율),ROE(지배)(비율),ROIC(%),SPS(Adj.)(원/주),"SPS(Adj., 잠정치)(원/주)",감가상각비(판관비)(천원),금융비용(천원),금융수익(천원),기타영업외비용(천원),기타영업외수익(천원),당기순이익(어닝서프라이즈)(비율),당기순이익(잠정치)(천원),"당기순이익(지배, 어닝서프라이즈)(비율)","당기순이익(지배, 잠정치)(천원)",당기순이익(천원),매입채무회전율(비율),매출액(어닝서프라이즈)(비율),매출액(잠정치)(천원),매출액(천원),매출액증가율(QoQ)(분기),매출액증가율(YoY)(분기),매출액증가율(YoY)(연도),매출원가(천원),매출채권회전율(비율),매출총이익(천원),매출총이익률(비율),부채비율(비율),부채총계(천원),비유동부채(천원),비유동비율(비율),비유동자산(천원),비지배주주지분(천원),세전계속사업이익(잠정치)(천원),세전계속사업이익(천원),"수정DPS(보통주, 기말현금)(원/주)",순부채비율(비율),순이익률(비율),순이익증가율(QoQ)(분기),순이익증가율(YoY)(분기),순이익증가율(YoY)(연도),"순이익증가율(지배, QoQ)(비율)","순이익증가율(지배, YoY)(비율)","시가배당률(보통주, 기말, KRX기준)(%)",영업이익(어닝서프라이즈)(비율),영업이익(잠정치)(천원),영업이익(천원),영업이익률(비율),영업이익증가율(QoQ)(분기),영업이익증가율(YoY)(분기),영업이익증가율(YoY)(연도),영업활동으로인한현금흐름(천원),유동부채(천원),유동비율(비율),유동성,유동자산(천원),이익잉여금(천원),이자보상배율(배),자기자본비율(비율),자기자본회전율(비율),자본금(천원),자본금회전율(비율),자본유보율(비율),자본잉여금(천원),자본총계(지배)(천원),자본총계(천원),자산총계(천원),재고자산회전율(비율),재무활동으로인한현금흐름(천원),차입금비율(비율),총자산회전율(비율),타인자본회전율(비율),투자활동으로인한현금흐름(천원),판매비와관리비(천원),"현금배당률(보통주, 기말, 액면가)(%)",현금배당성향(%)(%),현금의증가(천원),CD(91일)(%),CP(91일)(%),경제활동인구_고용률(원지수)(%),경제활동인구_실업률(원지수)(%),국고채(3년)(%),원_미국달러(매매기준율)(원),원_유로(원),원_일본엔(100엔)(원),생산자물가지수(2010=100),수입물가지수(2010=100),수출물가지수(2010=100),한국은행 기준금리(%),"회사채(3년,AA-)(%)",Close,Close_kospi,Date_quarter,y
0,1834172.0,2459975,1245424.0,17825.0,6865886.0,-58170531.0,4126675.0,-0.0777826394580402,-0.2379358651414005,-0.2457930993189994,2220.6026699999998,-0.449,-12.093,61.45758000000001,106.82778,8237848.0,21497275.0,86.38051,5.932,-15.312000000000001,42.96100000000001,50.78100000000001,54.18399,238.15900000000002,-13.433,,45.0,436.37729,,45.0,208.52700000000002,-10.863,835793675.52,101.45777,63.64151999999999,3.7749099999999998,836368087.52,14407360.0,255433538.0,-382.61343999999997,8835804.99085,3.76195,55.04186,95.67575,188.13995,62.04913000000001,5.5366,1.043,1.9969999999999999,3.4591,1456.29473,1456.0,592916,367050.0,1820495.0,3399060.0,201919.0,,6884000.0,,6866000.0,6883711.0,3.78174,-21.154,221407000.0,221407374.0,-28.375999999999998,11.130999999999998,10.314,193182324.0,1.30645,28225050.0,12.748,102.154,246482461.0,59239444.0,73.822,249281565.0,574412.0,8929000.0,8929165.0,0.0,-17.227,3.109,-39.132,-0.6809999999999999,2.977,208.52700000000002,-10.863,,-45.435,10673000.0,10672862.0,4.82,-44.536,5.222,14.298,16241532.0,187243017.0,178.84799999999996,1.4478113574868438e-06,334879485.0,40023755.0,6.34495,57.806000000000004,0.6542100000000001,76017365.0,2.91259,347.86800000000005,224416562.0,337104178.0,337678589.0,584161050.0,247.92245,-262617.0,1.222,0.37074,0.8556400000000001,-5269134.0,17552189.0,0.0,0.0,10892309.0,1.878305084745764,1.9723728813559325,59.66666666666666,4.5,1.7993728813559329,1125.084745762712,1277.878305084746,1021.9893220338984,103.10666666666668,107.29666666666668,99.57333333333334,1.75,2.2524576271186443,85400,2176.11,201903,0.3477783226517576
1,1186047.89,2254594,13958464.0,133008.85,15782211.52,-90194843.91,4354774.7,-0.0777826394580402,-0.2379358651414005,-0.2457930993189994,2325.20624,4.71,2.2880000000000003,119.51095,277.41981,18910802.45,35069031.23,112.6587,7.441,63.132,42.96100000000001,50.78100000000001,124.38475,129.56,133.541,,105.0,809.2053,,104.0,129.864,136.65200000000002,779443805.97,41.21686,45.5069,3.3862,780168619.59,40991397.5,242353440.34,-593.25158,15262351.44489,2.69301,20.618570000000002,47.86172,75.50618,21.21515,3.14211,1.8,3.636,6.2975,1514.01146,1514.0,613790,657224.77,1941360.15,-1128262.58,2395555.96,,15915000.0,,15782000.0,15915220.38,3.88856,-8.092,230183000.0,230182321.79,33.094,11.130999999999998,10.314,198684013.89,1.4863300000000002,31498307.9,13.684000000000001,105.766,272265773.63,62226714.52,67.434,238518851.61,724813.62,19682000.0,19681396.45,0.0,-25.5,6.914,88.36399999999998,-0.6809999999999999,2.977,129.864,136.65200000000002,,-4.66,14873000.0,14873441.54,6.4620000000000015,94.788,5.222,14.298,42177445.39,210039059.11,184.468,3.3838096535680496e-08,387455520.88,56300051.38,6.34495,56.505,0.66586,76017364.5,3.02802,369.28,224416562.15,352983785.24,353708598.86,625974372.49,179.92006,-8161603.41,1.2309999999999999,0.38042,0.8874500000000001,-8323449.33,16624865.36,0.0,0.0,25459777.15,1.835806451612904,1.951935483870969,61.3,4.133333333333334,1.6432903225806446,1165.9145161290319,1309.912258064516,1060.3525806451612,103.65666666666668,111.38,101.45666666666666,1.75,2.126822580645161,68750,2125.2,201906,0.20254932475745646
2,931582.91,2243274,110187.0,296117.59,7605000.93,-113350232.64,4156677.8,-0.07257443919215179,-0.1880917554042124,-0.2457930993189994,2385.12077,2.577,2.6830000000000003,66.72418,140.83657,9955421.42,33381325.14,70.37694,4.501,-4.813,42.96100000000001,50.78100000000001,65.48123000000001,-47.356,-12.234000000000002,,52.0,703.23141,,50.0,-51.813,1.618,654425148.81,65.73555,61.16271999999999,2.75263,655483818.29,20480466.14,273690382.83,-745.55487,7820553.22303,2.30734,35.85717,75.68471,76.93058,37.48818,2.94746,1.515,3.049,2.8574,1563.75687,1564.0,572638,709980.46,1845407.14,-82468.08,1110542.21,,7901000.0,,7605000.0,7901118.51,3.4071599999999997,-7.276,237745000.0,237745351.78,-5.609,11.130999999999998,10.314,202559769.01,1.2768899999999999,35185582.77,14.8,102.087,267177836.84,64125340.62,62.825,228140192.39,1058669.48,10785000.0,10784902.42,0.0,-31.214000000000002,3.323,-12.809000000000001,-0.6809999999999999,2.977,-51.813,1.618,,-42.865,8456000.0,8456465.44,3.557,-9.529,5.222,14.298,21412049.05,203052496.22,198.065,2.347701943446624e-08,402175575.85,65551985.78,6.34495,57.611999999999995,0.6633100000000001,76017364.5,3.12751,381.45,224416562.15,362079261.92,363137931.4,630315768.24,191.23234,-175107.08,1.145,0.3784900000000001,0.8814500000000001,-4024966.63,26729117.33,0.0,0.0,17540689.83,1.5739682539682545,1.774761904761904,61.46666666666667,3.333333333333333,1.280444444444444,1193.2380952380956,1327.8560317460315,1112.0722222222225,103.68,110.65666666666668,101.07,1.5515873015873016,1.7913809523809519,53200,2049.2,201909,0.08995340522771468
3,697947.21,2265796,-45294763.0,67841.35,8907476.68,-104640303.66,3436720.72,-0.04680062021643022,-0.092986112654314,-0.2398762313449408,2405.545710000001,0.856,7.843,73.9378,-105.21538000000001,12517517.81,37929688.87,107.63496,5.835,13.625,49.424,50.78100000000001,82.33328,25.736,309.934,,59.0,721.02953,,59.0,17.127,240.797,699623412.75,55.89155,42.75315,2.49463,700712682.48,-16694338.47,274553438.22,-688.2658,11691596.435080001,2.07755,-50.27782,71.54661999999998,69.90005,-48.17584,2.24622,1.492,3.023,4.2584,1844.65723,1845.0,534286,3569912.49,1377888.87,7853069.66,9112882.52,,8975000.0,,8907000.0,8975318.03,3.28126,-1.8880000000000001,280452000.0,280451961.96,22.244,9.996,10.314,243622787.78,1.2217200000000001,36829174.18,13.132,99.354,309150208.22,40613731.03,60.498999999999995,221590394.11,1089269.73,13410000.0,13410180.81,50.0,-28.56900000000001,3.2,0.198,0.165,2.977,17.127,240.797,0.9571209999999999,-16.58,14098000.0,14098456.02,5.027,21.186,18.449,14.298,-15996391.26,268536477.19,169.00099999999995,2.4746052807087742e-08,453829005.44,68712826.85,6.34495,54.228,0.7689900000000001,76017364.5,3.68931,385.608,224416562.15,365179921.6,366269191.33,675419399.55,234.43472000000003,-672329.6,0.938,0.42957,0.97324,9866289.35,22730718.31,142.0,98.47031,-7161109.06,1.5019047619047627,1.6680952380952376,61.4,3.1666666666666665,1.4126984126984132,1175.8095238095239,1301.974126984127,1081.4261904761909,103.55666666666669,108.02666666666666,97.67333333333332,1.2857142857142858,1.9372222222222213,51500,2101.08,201912,0.02890988457801646
4,1681928.71,2146690,-23291970.0,-16197.85,8593540.72,-99841926.91,3232605.82,-0.07011084777138754,-0.18716529035726304,-0.2656694826934809,2387.8055600000002,-0.737,7.53,70.53673,-30.32495,10355650.1,25252399.64,87.62151,4.971,-33.423,17.468,12.89,68.11371,-17.271,25.708000000000002,,56.0,418.76001,,57.0,-3.5239999999999996,25.163,480930737.87,46.44138,36.10181,1.79455,481849691.54,-6292373.57,270535752.99,-656.70474,6568880.36385,1.30831,-125.9689,54.156180000000006,75.10268,-92.29786999999999,2.00732,0.86,1.734,2.4281,1762.7188899999999,1763.0,436184,2273873.44,2204236.08,942642.48,1011849.16,,8577000.0,,8594000.0,8577342.87,3.16942,11.339,267994000.0,267994488.61,-30.173000000000002,7.2360000000000015,-0.5870000000000001,236906089.08,1.10314,31088399.52,11.6,105.943,258424768.47,48970693.31,61.005,221694316.46,918953.67,11137000.0,11137444.1,0.0,-27.474,3.201,-41.099,-3.072,6.881,-3.5239999999999996,25.163,,3.953,11175000.0,11174823.0,4.17,-54.393,-2.6010000000000004,8.23,-4610444.86,209454075.17,191.03799999999998,4.4205539358600584e-08,400136239.41,64781919.91,6.707839999999999,58.441,0.7345600000000001,76017364.5,3.52544,380.43699999999995,224416562.15,362486833.73,363405787.4,621830555.87,107.36493,-332860.47,0.89,0.41317,0.94435,924587.98,19913577.39,0.0,0.0,-4210401.65,1.3659677419354834,1.6630645161290318,59.83333333333334,4.133333333333333,1.2340161290322578,1193.6,1316.5848387096773,1096.2629032258067,103.54666666666668,105.01,96.82,1.1612903225806452,1.8789677419354835,42775,2153.19,202003,-0.11098727731774444
5,520307.89,2207542,12585835.0,193339.34,10033057.22,-124253443.08,8477897.32,0.07565632177627446,0.0652271068774497,-0.16699248336096573,2442.99393,2.311,5.066,81.78354,241.16203,12681118.63,40995135.6,103.03711,6.999,62.342,16.898,12.89,83.40935,22.456,-32.942,,67.0,896.0256800000003,,66.0,16.750999999999998,-36.428000000000004,521894155.17,41.15521,33.31547,2.33176,523138521.29,36144696.28,261875633.59,-817.27013,7385868.9381800005,1.50736,17.62301,51.96645,41.90728,17.87669,2.0179,1.831,3.661,2.8203,1472.16083,1472.0,496935,637448.69,1206664.87,629763.13,94790.76,,10226000.0,,10033000.0,10226396.55,3.6122099999999997,,223820000.0,223819572.27,18.77,-4.305,-0.5870000000000001,191006316.24,1.0092700000000001,32813256.03,14.661,98.711,263778843.23,48063272.47,60.108999999999995,223671585.67,1244366.12,13458000.0,13457902.63,0.0,-33.391999999999996,4.569,115.133,10.702,6.881,16.750999999999998,-36.428000000000004,,,13458000.0,13457677.0,6.013,132.408,16.21,8.23,36665004.17,215715570.77,191.093,4.766466238164352e-08,412216466.8,72621783.37,6.707839999999999,58.518,0.6086100000000001,76017364.5,2.9443200000000003,390.751,224416562.15,370864843.12,372109209.24,635888052.47,71.30524,-2364205.59,2.278,0.35591,0.85721,-12210181.68,19355578.94,0.0,0.0,22197371.68,0.9650819672131152,1.85377049180328,60.0,4.333333333333333,0.9159672131147542,1220.8114754098358,1344.7378688524589,1134.6981967213114,102.12333333333332,98.36333333333332,94.49,0.6576923076923077,2.181803278688525,39450,1970.13,202006,0.0
6,519058.57,2100192,12049907.0,84202.62,8603803.09,-159342308.59,2736445.08,-0.00011094240119224907,-0.1398320894399459,-0.09696199763464076,2513.56922,2.889,5.385,70.95877,237.60316,10633251.3,37018073.71,88.46313,5.751,-9.701,10.895,12.89,69.93961999999999,-16.149,6.809,,57.0,700.6865700000003,1.786,57.0,-14.245,13.133,895778710.67,84.24316,66.60328,3.83031,897016908.0,35604872.8,245036465.62,-1048.0652,9159842.70075,2.42056,29.208370000000002,97.80327,88.34192,29.63417,3.2749200000000003,1.4280000000000002,2.776,3.7381,1538.24117,1538.0,380822,2035841.15,1946928.99,773623.23,996526.82,,8688000.0,1.224,8604000.0,8688005.72,3.83932,-2.987,233866000.0,233866079.03,1.5730000000000002,2.977,-0.5870000000000001,202437081.31,1.19727,31428997.72,13.439,95.755,251780271.0,53148730.93,57.433,219863985.41,1238197.33,11420000.0,11419947.3,0.0,-41.623999999999995,3.715,-21.506999999999998,-0.341,6.881,-14.245,13.133,,1.633,11349000.0,11349276.0,4.853,-15.737,8.237,8.23,36123931.37,198631540.07,208.795,6.55604858104858e-08,414733185.26,83450211.8,6.707839999999999,60.324,0.6195700000000001,76017364.5,3.07648,404.995,224416562.0,381578702.35,382816899.68,634597170.67,68.20025,-5854969.82,0.715,0.36815,0.90723,-22637650.21,20079720.82,0.0,0.0,7533969.26,0.7021875000000007,1.37515625,60.4,3.5666666666666664,0.8537656249999998,1188.5375,1388.3926562499994,1119.3910937499998,103.11666666666667,99.33,95.03333333333336,0.5,2.2172500000000004,41050,2327.03,202009,-0.2710601914541858
7,722526.05,2111398,-21230034.33,61652.8,-18556492.33,-159483254.48,2059052.0,0.18888222714445446,0.7120453747191295,0.5558528465512464,2428.49672,-3.384,0.954,-107.76118000000001,-17.25711,-20321736.48,41095253.85,-51.19167,-3.263,11.014000000000001,8.346,12.89,-133.66509,-291.115,-262.346,-276.812,-122.0,793.92825,-303.33299999999997,-122.0,-315.678,-308.325,1018785895.27,-50.13282,-130.90036,4.27124,1020084669.77,-3346205.48,251662471.92,-1048.99226,-2345620.66819,4.67274,-449.09036,-71.91829,155.55562,-352.12098,5.8167300000000015,1.641,3.053,-0.932,1568.86655,1569.0,423317,9605431.04,1585068.14,2226801.16,414143.59,-276.986,-18495000.0,-303.9120000000001,-18556000.0,-18494839.53,3.52063,-16.132,238522000.0,238522200.23,12.331,-5.374,-0.5870000000000001,220652183.21,1.23579,17870017.03,7.492000000000001,91.512,314481678.47,26003564.72,55.324,204678845.15,1298774.5,-19678000.0,-19677885.48,50.0,-43.108000000000004,-7.754,16.389,15.764000000000001,6.881,-315.678,-308.325,0.688516,-168.708,-9894000.0,-9894309.0,-4.148,18.702,6.018,8.23,-2623679.43,288478113.75,166.30900000000003,1.2119223985890653e-07,479765665.59,71702076.9,6.707839999999999,54.053000000000004,0.6337100000000001,76017364.5,3.13773,389.541,224416562.15,368664057.77,369962832.27,684444510.74,52.72846,-643316.83,0.557,0.36166,0.8424400000000001,17443280.14,27764325.85,150.0,94.46698,14030260.82,0.650645161290322,1.100161290322582,60.06666666666666,3.733333333333333,0.9498064516129032,1117.6435483870966,1332.8369354838712,1069.9480645161286,103.33333333333331,96.71,92.62333333333332,0.5,2.231854838709677,78700,2543.03,202012,-0.024340062287967926
8,166861.44,1958482,-22030712.0,24315.25,-14073509.84,-134343287.0,2708863.84,-0.0161407897544239,0.4626866566664439,1.764424799535634,2272.6914,-6.416,-4.8210000000000015,-79.52599000000002,-157.22152,-14611744.41,26065376.92,-76.30592,-6.05,-36.573,3.219,27.88300000000001,-96.10794,28.09800000000001,-241.09900000000002,,-92.0,414.88039,,-93.0,24.158,-263.768,983111971.15,-67.28231,-84.74263,5.12714,984410762.09,-24069992.88,233399224.85,-883.6355199999997,-14121708.35245,4.50536,-46.749320000000004,-92.42260999999999,284.41933,-46.42524,6.9489100000000015,0.807,1.577,-6.0504,1261.20264,1261.0,341882,748912.59,1541773.12,1669588.82,531167.56,,-14049000.0,,-14074000.0,-14049194.59,3.06065,-25.331999999999997,191747000.0,191746601.02,-20.021,8.383,32.497,176387903.11,1.04703,15358697.91,8.01,104.725,256300305.59,28612719.17,58.4,202243903.22,1298790.94,-14055000.0,-14055447.41,0.0,-38.793,-7.327000000000001,-49.013999999999996,0.207,17.409000000000002,24.159000000000002,-263.768,,-197.554,-13560000.0,-13559632.0,-7.072,-56.646,0.78,10.704,-23903131.44,227687586.43,175.84,4.350608165296484e-08,400366831.0,47496525.49,4.98116,57.468,0.5354,76017364.5,2.52241,357.699,224416562.15,345011637.69,346310428.63,602610734.22,56.515409999999996,-208111.02,0.782,0.29796,0.6718700000000001,22381918.63,28918330.04,0.0,0.0,-1597670.64,0.7201666666666663,1.0105,58.6,4.966666666666668,1.0389166666666672,1114.0516666666667,1342.6224999999995,1051.0308333333335,106.0,105.85666666666668,98.3,0.5,2.0973,128750,3069.525,202103,0.10983405462958816
9,192647.05,1917495,-7021832.0,104023.02,-9346723.63,-84998413.14,2409976.2,-0.03380885971928105,-0.1531299657774342,0.132830437865463,2261.5016,-0.4920000000000001,-7.4289999999999985,-48.181129999999996,-60.54251,-11877669.46,57286683.16,-126.5832,-10.368,119.781,39.74,27.88300000000001,-78.12471,18.711,-193.66400000000002,,-61.0,822.2651599999997,,-61.0,33.586,-193.15900000000002,1216418867.1,-102.41225,-63.206869999999995,6.55316,1217816466.38,-9397210.69,220585979.06,-559.07235,-17011472.26501,2.81944,-141.38826,-177.6629,164.78869,-138.48973999999998,7.220169999999999,1.4269999999999998,2.414,-7.7119,1220.9261099999999,1221.0,287427,32544.64,20455081.94,-1075243.88,56261.91,,-9243000.0,,-9347000.0,-9242700.61,3.2019900000000003,-14.538,185623000.0,185623169.94,44.324,31.701999999999998,32.497,159959765.47,1.23386,25663404.47,13.825999999999999,57.926,219802514.9,20230051.64,59.512,205143481.67,1397599.28,-11292000.0,-11291838.46,0.0,-24.658,-4.979,157.844,20.102,17.409000000000002,33.586,-193.15900000000002,,-3123.2859999999996,-21163000.0,-21162537.02,-11.401,191.792,26.531,10.704,-9204563.64,199572463.26,180.07,2.6463060252820958e-08,359369575.87,46699295.96,4.98116,61.063,0.5372399999999999,76017364.5,2.44185,356.65,224416562.15,343312943.36,344710542.64,564513057.54,109.36541000000001,-7828172.4,0.6990000000000001,0.31809000000000004,0.77976,-86523451.39,46825941.36,0.0,0.0,-103555417.5,0.6947619047619045,0.974761904761904,60.96666666666666,3.9333333333333336,1.1939841269841271,1121.2349206349206,1350.845873015873,1024.3182539682539,108.64333333333332,112.75,106.08333333333331,0.5,1.9308095238095242,116000,3194.33,202106,-0.13399609909440302
