Date_x,이자보상율,"EPS(지배, Adj.)(원/주)",매입채무회전율,재고자산회전율(비율),당기순이익(천원),유동자산(천원),매출총이익(천원),유동비율(비율),인당매출s,Opex Margin,이익잉여금(천원),매출액(천원),부채총계(천원),매출액증가율(YoY)(연도),영업이익증가율(YoY)(연도),매출액이익률(비율),채무총계,EBITDA2증가율(YoY)(비율),순이익률(비율),순이익증가율(YoY)(비율),ROA(비율),유형자산감상비 누계,영업이익(천원),매출채권회전율,운전자본증감(천원),순부채(천원),ROE(지배)(비율),SG&A,인당순이익s,무형자산회전율s,매출원가(천원),부채비율(비율),EBIT(천원),EPS증가율(YoY)(비율),투자비 대비 매출 (Rev/GI)s,자산총계(천원),영업이익률(비율),Gross Investment (GI),비유동자산(천원),단기투자자산,ROGI(%),무형자산,총자산회전율(비율),비유동비율(천원),자본금(천원),"BPS(지배, Adj.)(원/주)",Free Cash Flow2(천원),인당영업이익s,무형자산감상비 누계,EBITDA2(천원),현금배당성향(%),자기자본비율,EBITDA2마진율(비율),CAPEX(천원),BPS증가율(YoY)(비율),close,close_weighted,EV_EBITDA,PBR
2003-06-01,1911.764705882353,0.89,123.4,0.3872093023255814,59.4,602,109.7,5.05,0.06383765249786234,0.3204633204633205,670,233.1,119,0.4904092071611252,0.3626834381551363,42.93,0,0.332737988926594,25.48,0.346938775510204,30.87,-134,65.0,-23.31,-6.3,-288,37.47,35.0,0.0164125706296812,83.08,123.4,17.29651162790698,65.0,0.3484848484848484,1.818456245657813,807,27.89,523,205,299,0.5303964757709251,10,1.2,0.2983988355167395,7,11.12928277291613,57.8,0.01864258137462334,0,74.62,0.0,85.25402726146221,32.02,12.96,-0.1025340956751291,1.805883619756203,1.552499105211155,13.21,0.16
2003-09-01,2035.294117647059,0.98,129.6,0.4076422764227642,65.5,615,121.1,3.89,0.06272619482869685,0.3310729956122856,724,250.7,158,0.381267217630854,0.2226148409893993,42.81,0,0.2536231884057973,26.13,0.4146868250539957,30.02,-151,69.2,-15.76729559748428,-17.9,-293,37.91,38.1,0.01622650508849056,90.0,129.6,21.29380053908356,69.2,0.4202898550724639,1.798146972037844,900,27.61,589,285,304,0.5088353413654618,10,1.16,0.3840970350404312,7,10.30659964554522,117.6,0.01773036173762566,0,83.04,0.3190839694656488,82.44444444444444,33.12,15.82,0.2678926037443052,1.803654937970414,1.89156602691378,17.93,3.07
2003-12-01,2261.764705882353,1.07,144.5,0.4021802325581395,72.3,688,132.1,3.73,0.06150163769211388,0.3285146367907481,810,276.7,185,0.3814278582126809,0.3100511073253833,42.69,0,0.3166811468288446,26.13,0.3667296786389413,29.02,-164,76.9,-7.149870801033591,-2.4,-344,36.35,41.2,0.015854119425548,97.64,144.5,22.37001209189843,76.9,0.3544303797468356,1.78511143111513,1012,27.79,636,324,355,0.5015697137580795,10,1.13,0.391304347826087,7,10.54977570468004,207.4,0.01710758377425044,0,90.93,0.0,81.7193675889328,32.86,19.91,0.1298050095616876,2.053828744767042,1.876017848844975,21.11,3.86
2004-03-01,2505.882352941177,1.09,156.5,0.4177622377622378,74.2,715,142.2,1.75,0.05955498711408831,0.3327753598928691,743,298.7,408,0.383510884668828,0.4082644628099175,42.83,0,0.3876639687412784,24.84,0.3614678899082568,28.51,-187,85.2,-10.3356401384083,0.7,-376,40.73,42.8,0.01531585792073166,105.92,156.5,52.84974093264248,85.2,0.345679012345679,1.838839529893445,1180,28.51,561,465,398,0.5855731225296443,10,1.11,0.6023316062176166,8,14.69983373046662,261.1,0.01662051089829301,0,99.44,2.287061994609164,65.42372881355932,33.28,44.37,0.5715822369516186,2.660790536909784,1.92551009495511,19.62,3.61
2004-06-01,2870.588235294118,1.28,179.9,0.5824742268041238,86.8,582,159.1,2.99,0.05809707097840046,0.3224188790560472,802,339.0,195,0.4543114543114544,0.5015384615384615,43.47,0,0.4652908067542214,25.59,0.4612794612794613,32.04,-188,97.6,-8.18840579710145,-64.4,-214,39.47,49.8,0.01496048912110913,116.51,179.9,23.52231604342581,97.6,0.4382022471910112,1.826091824714804,1024,28.78,783,442,234,0.5036753445635528,10,1.25,0.5325301204819277,7,15.21993564068357,4.4,0.01633372385303414,0,109.34,0.0,80.95703125,32.24,34.5,0.3675576361238941,2.947973515450158,2.371433152436235,20.74,3.83
2004-09-01,3194.117647058823,0.09,201.2,0.5616863905325443,97.1,676,178.6,2.56,0.05711829829733134,0.3207795628127469,854,379.7,265,0.5145592341443956,0.5693641618497107,43.56,0,0.4666425818882467,25.57,0.4824427480916029,33.03,-196,108.6,-6.276033057851239,-86.5,-268,42.32,56.8,0.01462270265227275,129.41,201.2,29.34662236987818,108.6,-0.9081632653061225,1.869220584487593,1168,28.61,810,492,289,0.5265189421015011,10,1.24,0.5442477876106194,29,8.554877186408953,68.5,0.01621150412144144,0,121.79,0.2996910401647786,77.31164383561644,32.07,38.19,-0.1699612403100774,1.803654937970414,1.89156602691378,23.09,4.26
2004-12-01,3567.64705882353,0.1,221.1,0.5234042553191489,110.9,799,197.1,2.97,0.05600374502613716,0.3295074127211861,1062,418.2,270,0.5113841705818576,0.5773732119635888,43.2,0,0.5156713955790166,26.52,0.5338865836791149,32.69,-224,121.3,-4.891228070175439,-130.0,-318,41.0,59.3,0.01439494421471483,143.56,221.1,24.2152466367713,121.3,-0.9065420560747663,1.852776310024451,1385,29.01,999,586,340,0.5048318042813456,10,1.22,0.525560538116592,31,7.92059515919128,110.2,0.01609971132090193,0,137.82,0.0,80.50541516245488,32.95,57.08,-0.2492167245150448,2.053828744767042,1.876017848844975,27.6,4.24
2005-03-01,3826.470588235294,0.11,238.9,0.5072302558398221,128.2,899,217.1,2.74,0.05675941550842074,0.3355263157894737,961,456.0,328,0.526615333110144,0.526995305164319,42.58,0,0.5384151246983104,25.84,0.7277628032345012,32.21,-236,130.1,-3.048128342245989,-216.3,-340,46.16,64.1,0.01498878647035002,159.29,238.9,26.88524590163934,130.1,-0.8990825688073395,1.736772598452649,1548,28.52,1095,649,361,0.5526570048309178,10,1.2,0.5324036095159967,31,13.10516384822219,120.6,0.01631613667859279,0,152.98,0.3429541595925297,78.81136950904393,33.55,55.87,-0.1084821713962209,3.693300969006946,3.187519173174876,25.47,4.14
2005-06-01,2096.875,0.11,253.6,0.509090909090909,122.0,935,222.4,3.27,0.05648717291394985,0.3205882352941177,1098,476.0,296,0.4041297935103245,0.375,42.83,0,0.3950978598865922,25.69,0.4055299539170507,33.45,-255,134.2,24.04040404040404,-16.5,-385,42.29,69.8,0.01492238656248955,172.99,253.6,21.78072111846946,134.2,-0.9140625,1.694306410163146,1655,28.2,1219,720,395,0.4937062937062937,10,1.29,0.5298013245033113,31,9.420933758351756,74.9,0.01616039411941729,0,152.54,0.0,82.11480362537765,32.06,57.89,-0.3810135613734673,2.947973515450158,2.371433152436235,24.6,3.85
2005-09-01,1523.958333333333,0.12,277.9,0.6116279069767442,139.0,860,248.1,2.36,0.05598773949776525,0.3199619771863118,1178,526.0,377,0.3853041875164605,0.3471454880294662,42.98,0,0.3989654323015024,26.68,0.431513903192585,31.12,-274,146.3,-187.8571428571429,-39.0,-306,40.51,79.8,0.01491676159267639,187.62,277.9,25.64625850340136,146.3,0.3333333333333333,1.594404933183595,1847,28.2,1426,987,318,0.4757602862254025,10,1.22,0.6714285714285714,31,8.948082244685304,149.6,0.01590478568270563,0,170.38,0.2893799002138275,79.58852192744992,32.39,69.39,0.04596267716163505,3.014824868138299,2.79472098255276,24.78,3.43
2005-12-01,0.0,0.13,293.0,0.5486751717369971,143.3,1019,266.1,2.92,0.05488707482993198,0.3400107315328206,1295,559.1,362,0.3369201339072214,0.3544929925803793,42.97,0,0.373313016978668,25.91,0.2921550946798919,30.22,-291,164.3,-34.30061349693251,-48.0,-363,37.9,76.0,0.01448979591836735,207.9222222222222,293.0,22.26322263222632,164.3,0.3,1.538838262616924,1988,29.23,1540,969,377,0.4528554549035053,9,1.19,0.5959409594095941,30,8.872545011426718,263.5,0.01564353741496598,0,189.27,0.0,81.7907444668008,33.85,57.42,0.1201866568234797,3.284781008328744,2.81890764928899,27.11,3.39
2006-03-01,0.0,0.13,107.1,0.4163623595505618,152.1,1424,271.6,2.7,0.05372618463680644,0.3174228369033564,1188,592.9,543,0.300219298245614,0.1967717140661029,40.32,0,0.237678127859851,25.91,0.186427457098284,30.75,-299,155.7,-9.163833075734157,-135.8,-756,40.36,83.4,0.0138866873013077,228.2,321.3,34.67432950191571,155.7,0.1818181818181819,1.664356030766983,2109,26.45,1094,685,771,0.5486523526724532,9,1.18,0.4374201787994891,31,10.39831671286822,298.8,0.01505701987519849,0,189.34,1.266276041666667,74.25320056899004,31.94,61.91,-0.206548133751199,3.693300969006946,3.187519173174876,25.4,3.41
2006-06-01,610.6007067137809,0.16,183.9,0.6681726907630522,177.9,996,297.8,3.96,0.05339829386748535,0.2949661908339594,1312,665.5,253,0.3981092436974789,0.2876304023845009,41.23,0,0.3011013504654518,26.8,0.4581967213114755,34.02,-312,172.8,-11.51384083044983,-111.5,-276,39.74,101.5,0.01394171042978512,254.5444444444444,367.8,14.7953216374269,172.8,0.4545454545454546,1.655247385651794,1963,26.3,1745,967,277,0.4312415654520918,9,1.29,0.5654970760233918,30,10.3602104261882,59.8,0.01468332355801089,0,198.47,0.0,87.11156393275598,29.82,42.61,0.09970101604883519,3.999990929957512,3.53261805736984,25.16,3.08
2006-09-01,1513.475177304965,0.04,99.075,0.7475951903807615,200.8,998,349.8,2.54,0.05323883545261034,0.3214046374480632,1414,746.1,395,0.4184410646387833,0.4586466165413534,43.35,0,0.4199436553586102,26.95,0.4446043165467626,33.25,-339,213.4,-7.160268714011516,-131.3,-212,40.58,110.0,0.01396855998208825,284.8444444444444,396.3,21.08916177255739,213.4,-0.6666666666666666,1.659806853956003,2268,28.89,1998,1270,214,0.4125,9,1.26,0.6780565936999466,61,9.730623681647254,197.5,0.01475055480600663,0,241.93,0.2988562904027847,82.58377425044092,32.43,71.35,0.0874535364744482,4.099293332371864,3.995725204099385,27.3,14.08
2006-12-01,4201.785714285715,0.05,108.075,0.6149321266968326,217.9,1326,383.0,3.65,0.0534933130987385,0.3272013735589895,1695,815.4,363,0.4584153103201574,0.432136335970785,43.12,0,0.415702435673905,26.92,0.520586182833217,33.65,-384,235.3,-6.098728496634256,-178.2,-419,39.81,116.2,0.01420278858010054,313.3222222222222,432.3,16.4850136239782,235.3,-0.6153846153846154,1.673035478123714,2565,29.0,2167,1239,419,0.4193148098192609,9,1.26,0.5626702997275205,63,9.218832199543407,339.2,0.0147434316608176,0,267.95,0.0,85.84795321637428,32.86,76.52,0.03902907087771479,4.548480507146444,4.377053780324751,30.24,13.75
2007-03-01,906.060606060606,0.06,76.58333333333333,0.3882299683114532,260.1,2209,398.1,4.43,0.05411741500752439,0.3172807835820896,1903,857.6,500,0.4464496542418621,0.5362877328195248,42.58,0,0.4374669905989226,30.36,0.7100591715976334,33.88,-426,239.2,-4.671023965141613,-204.7,-1353,42.32,126.0,0.01491791032178546,342.7333333333333,459.5,19.14975105323631,239.2,-0.5384615384615385,1.640645604551992,3111,27.89,1683,902,1354,0.6198775657184011,9,1.22,0.345461509000383,66,9.6930743632961,445.9,0.01510095224999634,0,272.17,0.3242412600845179,83.92799742847959,31.73,146.43,-0.06782274180006054,5.537990626382083,6.022014743920215,24.24,10.93
2007-06-01,374.5098039215686,0.06,176.2666666666667,0.370438985098671,263.0,2483,391.0,5.66,0.05422530671286586,0.2872363557295064,2291,919.8,439,0.3821187077385424,0.3263888888888888,38.7,0,0.3504811810349169,28.6,0.4783586284429455,35.74,-489,229.2,-63.0,-50.2,-1266,40.92,126.8,0.01518375120979406,370.9888888888889,528.8,14.40761404660322,229.2,-0.625,1.664647064367293,3486,25.31,2269,1003,1267,0.4569506726457399,9,1.27,0.3291762389235313,71,9.124922965721266,146.5,0.01499566144292572,0,268.03,0.0,87.40676993689041,29.13,81.95,-0.1192338195510405,6.083947544103435,5.63975357232334,20.58,9.4
2007-09-01,739.5287958115182,0.06,61.43333333333333,0.3623575498575499,272.6,2808,464.6,4.59,0.05415663944826683,0.3126289926289926,2517,1017.5,613,0.3637582093553142,0.3238050609184628,42.16,0,0.3214566196833795,26.79,0.357569721115538,33.24,-535,282.5,-31.40432098765432,-93.4,-1533,39.73,146.5,0.01514806916586967,401.1444444444444,552.9,18.6322188449848,282.5,0.5,1.735352842166043,3903,27.91,2291,1095,1534,0.4598740965259967,9,1.18,0.3328267477203647,72,8.30433565119766,332.1,0.01485799953986734,0,319.7,0.3118121790168745,84.29413271842172,31.42,99.63,-0.1465772469589682,5.978394812350174,6.243490638109255,19.38,8.36
2007-12-01,793.1989924433248,0.07,73.875,0.3690006798096533,312.9,2942,494.7,5.75,0.05371603383120388,0.3259948415622697,2847,1085.6,513,0.3313711062055431,0.3382915427114321,41.98,0,0.33666728867326,28.82,0.4359798072510324,32.92,-577,314.9,-31.01714285714285,-126.8,-1695,37.87,140.8,0.01534585623122603,431.1666666666666,591.0,14.12444933920705,314.9,0.4000000000000001,1.791065903054224,4145,29.41,2513,1203,1696,0.4554700854700854,9,1.15,0.3312224669603524,73,7.323943155484206,569.4,0.01475339488656026,0,358.16,0.0,87.62364294330519,32.99,82.61,-0.2055454533767359,5.818145568836097,6.06556519366053,17.21,7.1
2008-03-01,978.8235294117648,0.07,48.0923076923077,0.3517368582846603,314.6,3253,518.9,3.11,0.05439250009953828,0.3253801782905086,2658,1144.2,1047,0.3341884328358209,0.3913043478260871,41.9,0,0.3727817173090346,27.5,0.2095347943098809,29.68,-496,332.8,-5.527536231884058,-289.0,-1737,37.2,146.6,0.0151954609198572,463.0111111111111,625.2,30.37423846823324,332.8,0.1666666666666667,1.800175989573515,4494,29.19,2206,1241,1737,0.5962458215479557,9,1.06,0.3600232085871772,71,7.351855267282974,645.6,0.01509189882395024,0,373.63,1.248251748251748,76.70226969292389,32.65,108.59,-0.2415352455025427,5.537990626382083,6.022014743920215,14.17,5.9
