Date_x,EBITDA2증가율(YoY)(비율),이자보상율,ROGI(%),ROE(지배)(비율),이익잉여금(천원),유동비율(비율),SG&A,부채총계(천원),부채비율(비율),매출원가(천원),자본금(천원),유동자산(천원),CAPEX(천원),현금배당성향(%),"EPS(지배, Adj.)(원/주)",유형자산감상비 누계,인당매출s,인당영업이익s,EPS증가율(YoY)(비율),ROA(비율),순부채(천원),무형자산감상비 누계,매출액증가율(YoY)(연도),Gross Investment (GI),영업이익(천원),투자비 대비 매출 (Rev/GI)s,매출채권회전율,"BPS(지배, Adj.)(원/주)",매입채무회전율,매출액이익률(비율),영업이익증가율(YoY)(연도),비유동자산(천원),단기투자자산,순이익증가율(YoY)(비율),매출총이익(천원),자기자본비율,매출액(천원),무형자산회전율s,비유동비율(천원),재고자산회전율(비율),영업이익률(비율),EBITDA2마진율(비율),총자산회전율(비율),Free Cash Flow2(천원),당기순이익(천원),BPS증가율(YoY)(비율),Opex Margin,채무총계,EBIT(천원),무형자산,운전자본증감(천원),EBITDA2(천원),인당순이익s,순이익률(비율),자산총계(천원),close,close_weighted,EV_EBITDA,PBR
2006-12-01,0.4392124082845732,95000.0,0.6580332409972299,59.28,1350,2.17,731.5,840,45.65217391304348,45.8,22,1639,49.45,0.2165807219357398,0.06,-205,0.06296473134708429,0.0151180926916221,0.5,41.56,-155,-8,0.5079056865464633,1840,285.0,2.458150397619169,-13.69269521410579,10.56254629380412,0.147741935483871,100.0,0.4278557114228458,1041,226,0.497294046903187,1041.4,68.65671641791045,1087.2,56.51714285714286,0.566068515497553,0.6690461538461538,26.22,28.5,1.88,351.6,249.0,-0.1694503979293157,0.7137601177336278,13,285.0,70,538.6,309.92,0.01376527883880825,23.2,2680,4.96502278269967,5.25436393593285,24.91,7.11
2007-03-01,0.4490968443960828,3725.925925925926,0.5925631564007947,56.74,1559,2.22,554.8,1006,49.0014612761812,286.0,23,1828,90.29,0.3239898070622497,0.07,-234,0.06108032430437189,0.01533571163843197,-0.2999999999999999,39.02,-157,-11,0.1975308641975309,2092,301.8,2.33428680225137,-14.78211586901763,11.39251035458606,0.89375,80.33,0.4516594516594516,1231,324,0.3524141363862616,887.7,67.11343576332135,1173.7,59.28285714285714,0.5996103263516804,0.6455995599559956,25.71,28.36,1.71,493.0,271.7,0.5752004975340488,0.7083581835221948,118,301.8,70,769.9,332.93,0.01374259651364375,23.41,3059,5.975072490794295,5.02980825265946,23.31,6.59
2007-06-01,0.3853013530135303,4878.787878787879,0.5449902723735408,55.1,1930,1.99,808.3,1192,49.13437757625722,133.7,24,2021,60.73,0.2419736397431565,0.15,-274,0.06117543198294442,0.0157877699806184,2.0,37.46,-84,-13,0.3709519136408244,2582,322.0,2.221823139791808,-15.83501259445844,11.21850424991573,0.3734636871508379,90.64,0.5480769230769231,1597,239,0.5056468172484598,1123.6,67.05362078496407,1257.3,64.14285714285714,0.658285243198681,0.6252113376429637,22.64,25.07,1.61,181.3,293.3,-0.1224182604033517,0.6265012328004453,108,284.7,70,242.5,315.35,0.014069387997901,23.54,3618,6.952813026337513,5.88417082237982,20.76,5.53
2007-09-01,0.2688691419932894,4144.000000000001,0.5201495820501539,51.425,2213,2.42,890.9,1151,42.3629002576371,140.3,25,2336,62.88,0.2343850611719253,0.08,-310,0.06177759029492558,0.01545642594143378,0.3333333333333335,35.175,-116,-15,0.4151059888866022,2879,310.8,2.116525588673342,-17.31989924433249,10.37808527567715,0.3579081632653062,91.12,0.2481927710843375,1532,272,0.4087193460490464,1235.0,70.24301964839711,1375.2,69.90571428571428,0.5638571954361428,0.5912295786758384,22.6,25.02,1.54,261.6,310.2,-0.1275189516866977,0.5990401396160558,109,310.8,70,385.8,344.13,0.01418939830293166,22.59,3868,7.20346865267086,7.08559270620308,18.6,4.65
2008-03-01,0.1512630282641998,790.6493506493506,0.3480437604301873,47.75,2520,2.24,978.9,1316,42.8246013667426,161.9,24,2506,116.44,0.3893274392169245,0.08,-405,0.04444044180278511,0.01012640201567567,0.1428571428571428,32.89,-114,-15,0.2985430689273236,3301,304.4,1.426322531606039,-19.19521410579345,3.321046178528781,0.3430084745762712,90.55,0.008614976805831454,1883,306,0.1542142068457859,1362.2,70.01594896331738,1524.1,59.38,0.6125569290826285,0.6106169871794871,22.51,25.15,1.47,654.3,313.6,-0.7084886407681086,0.568860311003215,114,343.0,70,971.3,383.29,0.009866620393323209,20.78,4389,2.60718754001097,4.6694040950926,13.82,3.14
2008-06-01,0.1911843982876169,904.6753246753248,0.3468674281758394,44.92,2575,1.91,1015.1,1601,52.66447368421052,152.8,23,2671,102.6,0.2260230179028133,0.08,-365,0.04360118078259798,0.009490303063168531,-0.4666666666666667,29.77,-154,-21,0.2273920305416368,3196,348.3,1.422227996318417,-19.43576826196474,6.965670011909781,0.2840148698884759,91.97,0.08167701863354049,1970,340,0.059324923286737,1390.4,65.50312432665373,1543.2,63.46428571428572,0.6480263157894737,0.5797145003756574,22.57,24.32,1.38,167.0,310.7,-0.379091021696399,0.5994686365992743,110,348.3,70,270.0,375.64,0.00922837109814539,20.27,4641,5.409676281474998,6.06861775726467,13.95,3.13
2008-09-01,0.2116641966698631,998.7012987012987,0.35961892027411,41.83,2415,2.23,1030.7,1372,46.30442119473507,144.0,21,2607,31.09,0.2284937096225773,0.07,-359,0.04181514626549498,0.009310007450160224,-0.1249999999999999,29.06,-166,-21,0.1570680628272252,3104,384.5,1.457191006097728,-20.04030226700252,7.117678791119359,0.3272727272727273,93.62,0.237129987129987,1728,344,-0.06221792392005165,1447.2,68.35063437139561,1591.2,66.55000000000001,0.5831927100911238,0.6122354751827627,24.17,26.18,1.42,315.2,290.9,-0.3141626222901753,0.6132478632478633,105,384.5,70,451.0,416.97,0.008214923658297952,18.47,4335,5.387717723811225,5.37247839959477,10.0,2.28
2008-12-01,0.1634266120361492,960.7792207792206,0.4025191774242479,39.795,2520,2.245,952.6,1477,48.37864395676384,145.6,20,2824,56.63,0.2135030045952634,0.07,-415,0.05526403188309532,0.01263026560270001,-0.1249999999999999,27.735,-351,-22,0.08951425247236755,3066,369.9,1.945873328341694,-18.87027707808564,5.608132888984084,0.3046025104602511,92.59,0.1901544401544399,1706,529,-0.09606705351386202,1352.8,67.39514348785872,1498.3,87.95428571428572,0.5587946282345234,0.5324449182658137,24.69,26.71,1.4,666.8,280.4,-0.4596177676312103,0.6148968831342188,105,369.9,70,858.6,400.37,0.01073182116025025,18.88,4530,4.374011268666567,5.49641230914876,6.59,1.53
2009-03-01,-0.02864671658535323,880.2597402597402,0.4454194345743859,37.76,2718,2.26,953.4,1350,43.47826086956522,119.3,19,2650,52.69,0.3618348623853211,0.07,-467,0.05163357653598552,0.0122553266072417,-0.1249999999999999,26.41,-348,-22,-0.05203070664654552,3172,338.9,1.939650253290495,-18.19647355163728,3.117160179157488,0.2854066985645933,92.74,0.1133377135348226,1805,534,-0.1438137755102041,1325.5,69.6969696969697,1444.8,86.82142857142857,0.5813204508856683,0.5466515323496027,23.45,25.75,1.38,929.3,268.5,-0.0613921000826354,0.6260382059800664,112,338.9,70,1179.6,372.31,0.009784600417957257,18.86,4455,2.466560233507645,2.582258366692975,7.2,3.26
2009-06-01,0.07587051432222336,964.6753246753245,0.4371586330398448,36.8,3104,2.19,942.6,1549,43.48680516563729,135.1,41,2948,36.21,0.2524302289118846,0.08,-483,0.04808696255576091,0.01171240662592447,0.0,25.1,-485,-29,-0.0399818558838777,3505,371.4,1.879478569356047,-18.65869017632242,2.713147010361118,0.2549056603773585,92.58,0.06632213608957782,2163,681,0.01480527840360479,1346.5,69.69281940911759,1481.5,85.94,0.607243121841662,0.5037402244134648,25.07,27.26,1.29,225.3,315.3,-0.6104973382715192,0.6467094161322984,112,371.4,70,261.8,404.14,0.009188950662443521,21.52,5111,2.466560233507645,2.582258366692975,9.83,4.36
