Date_x,이자발생부채(천원),유동비율(비율),이자보상율,"EPS(지배, Adj.)(원/주)",비유동자산(천원),SG&A,ROE(지배)(비율),EBITDA2(천원),총자산회전율(비율),자산총계(천원),EBIT(천원),순부채(천원),부채비율(비율),자기자본비율,"BPS(지배, Adj.)(원/주)",영업이익률(비율),EBITDA2마진율(비율),EPS증가율(YoY)(비율),Free Cash Flow2(천원),당기순이익(천원),단기투자자산,운전자본증감(천원),매출액(천원),매출채권회전율,이익잉여금(천원),비유동비율(천원),유동자산(천원),ROIC(비율),투자비 대비 매출 (Rev/GI),영업이익(천원),부채총계(천원),인당영업이익,매출총이익(천원),Gross Investment (GI),매출액증가율(YoY)(연도),채무총계,순이익증가율(YoY)(비율),ROGI(%),매입채무회전율,무형자산,매출원가(천원),무형자산회전율,인당순이익,무형자산감상비 누계,ROA(비율),영업이익증가율(YoY)(연도),매출액이익률(비율),Opex Margin,EBITDA2증가율(YoY)(비율),CAPEX(천원),BPS증가율(YoY)(비율),재고자산회전율(비율),인당매출,순이익률(비율),close,close_weighted,EV_EBITDA,PBR
2016-03-01,0.1428571428571428,1.73,-1400.0,-0.36,787,174,-25.2,72,0.9,2464,38,-247,210.3274559193954,32.22402597402597,4.861668967462832,6.97,13.21,-0.02702702702702708,225,-46,917,173,545,8.257575757575758,-297,0.9911838790931989,1677,9.77,1.661585365853659,-42,1670,-0.004161299910829287,269,328,-0.02758077226162325,670,0.2375366568914954,0.1158536585365854,3.325301204819277,190,276,2.868421052631579,-0.004557614188051125,-60,-10.13,-0.4886280264123258,49.36,0.3192660550458716,-0.3166063114330055,26,0.07315825222318817,0.3357979051139864,0.05399782027147528,-8.44,29.83126089772403,27.27,6.92,4.28
2016-06-01,0.0,1.95,4350.0,0.49,787,172,4.59,118,0.97,2382,87,-327,175.6944444444444,36.272040302267,4.218975442592583,14.52,19.7,-2.361111111111111,297,64,909,171,599,4.909836065573771,-246,0.9108796296296297,1595,9.77,1.871875,87,1518,0.008619835529574953,310,320,0.04841977309562395,582,-2.265402843601896,0.271875,2.778846153846154,192,289,3.119791666666667,0.00634102843554939,-62,1.84,1.083213773314204,51.75,0.2871452420701169,0.4912944738834215,19,-0.1321960687104645,0.3844672657252888,0.05934806301397008,10.68,28.08316473343599,29.69,6.5,3.76
2016-09-01,0.0,2.2,8900.0,0.37,797,159,1.87,121,0.98,2314,89,-413,148.2832618025751,40.27657735522904,4.240893924236267,16.12,21.92,-0.2448979591836735,309,49,988,114,552,3.407407407407407,-206,0.8551502145922747,1517,9.77,1.815789473684211,89,1382,0.008817992668185871,294,304,0.02917874396135267,575,-0.1685393258426965,0.2927631578947368,2.774193548387097,193,258,2.860103626943005,0.004854849895967502,-64,0.73,0.1101928374655647,53.26,0.2880434782608696,0.1126903553299494,33,0.005195214322038177,0.374745417515275,0.0546913702566135,8.88,30.47427245480494,27.41,8.07,4.32
2017-03-01,0.0,2.04,-100.0,-0.02,779,155,19.34,35,0.92,2483,-1,-603,160.272536687631,38.42126459927507,4.256684364014355,-0.2,7.13,-1.054054054054054,230,-2,1164,206,491,4.632075471698113,-207,0.8165618448637316,1704,9.77,5.455555555555556,-1,1529,-9.420631182289213e-05,224,90,-0.143447239954938,561,-1.046171171171171,-0.01111111111111111,3.0,167,267,2.940119760479042,-0.0001884126236457843,-18,6.83,-1.012406947890819,45.62,0.3156822810590632,-0.6747262773722629,18,0.00372337532137923,0.2950721153846154,0.04625529910504004,-0.41,31.14169389010502,28.43,8.55,4.23
2017-06-01,0.0,1.95,-100.0,-0.03,790,165,11.64,33,0.92,2338,-1,-532,168.1192660550459,37.29683490162532,5.269203120788485,-0.19,6.43,0.5,275,-4,1085,230,513,2.671875,-318,0.9059633027522935,1548,9.77,6.333333333333333,-1,1466,-9.420631182289213e-05,242,81,0.03397632617273127,553,0.902439024390244,-0.01234567901234568,2.793814432989691,150,271,3.42,-0.0003768252472915685,-20,4.28,-0.05000000000000004,47.17,0.3216374269005848,-0.09817671809256667,16,0.2378655944833206,0.3406374501992032,0.04832783796514366,-0.78,35.92451228559467,32.74,10.22,4.27
2017-09-01,0.3651115618661258,1.61,900.0,0.1,799,161,7.87,42,0.93,2307,9,-299,220.8623087621697,31.16601647160815,6.698853360170403,1.71,7.98,-4.333333333333334,235,13,1025,162,526,2.89010989010989,-505,1.111265646731572,1508,9.77,3.207317073170732,9,1588,0.0008478568064060292,250,164,0.00763196947212208,726,-4.166666666666667,0.05487804878048781,2.60377358490566,136,276,3.867647058823529,0.001224682053697598,-23,2.81,-10.0,47.53,0.3060836501901141,0.2410575427682737,32,0.2713219070529937,0.3595352016404648,0.04955252001884126,2.47,38.99980215354267,38.82,16.29,5.67
2017-12-01,0.502092050209205,1.65,6000.0,0.43,806,170,7.2,95,0.87,2556,60,-311,282.6347305389222,26.13458528951487,7.307528892174035,9.58,15.18,3.3,237,-74,1089,219,626,-104.3333333333333,-579,1.206586826347305,1750,-3.47,6.387755102040816,60,1888,0.005652378709373528,307,98,0.03176940879444556,778,2.364372469635628,0.6122448979591837,4.310810810810811,121,319,5.173553719008265,-0.006971267074894018,-20,2.37,4.60233918128655,49.04,0.2715654952076677,0.9022556390977443,21,0.09086264458670712,0.363953488372093,0.05897315120113047,8.31,40.24261582829559,40.25,21.08,7.02
2018-03-01,0.0,1.68,-200.0,-0.06,825,152,6.76,30,0.9,2355,-4,-415,265.6832298136646,27.34607218683652,7.566918987076342,-0.79,5.93,-1.13953488372093,156,-7,939,143,506,6.096385542168675,-637,1.281055900621118,1530,-8.37,-14.05555555555556,-4,1711,-0.0003940110323089047,223,-36,-0.1013458401305057,524,-1.166064981949458,0.1111111111111111,2.572727272727273,107,283,4.728971962616822,-0.0006895193065405832,-14,2.23,-1.082463465553236,44.07,0.300395256916996,-0.6093544137022397,28,0.03549628044305098,0.3402824478816409,0.04984239558707644,-1.38,40.14082230376577,41.84,22.06,7.43
2018-06-01,0.0,1.79,1000.0,0.03,820,163,8.59,40,0.97,2203,10,-385,285.1398601398601,25.9645937358148,7.63334933629523,1.84,7.35,-1.5,228,4,882,200,544,2.940540540540541,-714,1.433566433566434,1383,-8.37,-7.157894736842105,10,1631,0.0009850275807722615,250,-76,0.04288631722260039,497,-1.536231884057971,-0.131578947368421,3.542168674698795,95,294,5.726315789473684,0.0003940110323089047,-16,2.73,-3.329113924050633,45.96,0.2996323529411765,0.239460370994941,34,0.008779048557589375,0.4014760147601476,0.05358550039401103,0.74,36.53787297373114,35.49,21.56,8.35
2018-09-01,0.0,1.77,700.0,0.09,852,166,9.38,45,0.99,2136,14,-271,281.4285714285714,26.21722846441947,9.498154042334024,2.66,8.56,2.0,160,18,768,108,526,2.89010989010989,-745,1.521428571428571,1284,-8.37,18.78571428571428,14,1576,0.001379038613081166,264,28,0.092036553524804,497,1.824324324324324,0.5,2.757894736842105,84,262,6.261904761904762,0.001773049645390071,-18,2.7,0.4456521739130435,50.19,0.3155893536121673,0.1646258503401361,35,0.2442970475846005,0.4245359160613398,0.05181245074862096,2.09,44.8101622890232,42.86,20.1,7.95
