Date_x,순부채(천원),SG&A,ROGI(%),총자산회전율(비율),무형자산회전율,Free Cash Flow2(천원),비유동자산(천원),운전자본증감(천원),투자비 대비 매출 (Rev/GI),EPS증가율(YoY)(비율),Opex Margin,매출액증가율(YoY)(연도),"BPS(지배, Adj.)(원/주)",EBITDA2마진율(비율),매출총이익(천원),영업이익(천원),무형자산감상비 누계,자기자본비율,ROA(비율),매출원가(천원),ROE(지배)(비율),Gross Investment (GI),ROIC(비율),비유동비율(천원),매출액(천원),무형자산,CAPEX(천원),"EPS(지배, Adj.)(원/주)",유동비율(비율),부채총계(천원),이익잉여금(천원),단기투자자산,재고자산회전율(비율),유동자산(천원),영업이익률(비율),채무총계,순이익률(비율),이자보상율,자본금(천원),당기순이익(천원),유형자산감상비 누계,EBITDA2(천원),매출액이익률(비율),순이익증가율(YoY)(비율),인당영업이익,매입채무회전율,영업이익증가율(YoY)(연도),EBIT(천원),매출채권회전율,자산총계(천원),인당매출,부채비율(비율),인당순이익,EBITDA2증가율(YoY)(비율),BPS증가율(YoY)(비율),close,close_weighted,EV_EBITDA,PBR
2001-12-01,-53.4,8.7,-0.2851851851851853,0.78,3.438356164383562,20.8,34.39999999999999,2.2,-0.9296296296296301,-0.1249999999999999,0.346613545816733,0.03174603174603186,5.440490997707906,43.65,22.0,7.7,-15.3,63.15789473684211,12.51,3.0,19.05,-26.99999999999999,19.05,0.4623655913978493,25.1,7.3,0.59,0.08,1.92,43.4,60.4,53.4,0.3009592326139089,83.4,30.56,0.0,20.33,0.0,0.2,5.1,-63.3,10.95,82.53,0.02115100836202677,0.01711111111111111,5.0,-0.06904450261780104,7.7,-4.921568627450981,117.8,0.05577777777777778,58.33333333333333,0.01133333333333333,-0.1738831615120274,-0.3793177622164904,7.015121841065307,5.7,9.61,4.81
2002-06-01,-50.6,8.0,-0.3333333333333333,0.88,3.546875,8.3,34.90000000000001,-1.8,-1.164102564102564,-0.1249999999999999,0.3524229074889868,0.03174603174603186,3.376816127098382,36.06,19.9,6.5,-15.3,69.87632508833921,15.99,2.8,22.4,-19.5,22.4,0.4406565656565657,22.7,6.4,0.72,0.07,2.3,34.1,69.0,50.6,0.2899106002554279,78.3,28.45,0.0,20.76,0.0,0.2,4.7,-63.3,8.2,85.15,0.02115100836202677,0.01444444444444444,4.0,-0.06904450261780104,6.5,9.458333333333334,113.2,0.05044444444444444,43.10998735777498,0.01044444444444445,-0.1738831615120274,-0.3793177622164904,4.5503604029554,4.625,8.9,3.71
2002-09-01,-55.3,7.2,-0.2989690721649486,0.87,3.677966101694915,14.3,34.39999999999999,-0.4,-1.118556701030928,0.0,0.3317972350230415,-0.01879036993540817,3.851440683880948,34.3,18.7,5.8,-15.3,72.14101461736888,17.07,3.0,23.61,-19.39999999999999,23.61,0.4100119189511321,21.7,5.9,0.31,0.07,2.53,32.4,73.1,55.3,0.2649572649572649,81.9,26.67,0.0,18.77,0.0,0.2,4.1,-63.3,7.46,83.55,-0.09585741811175341,0.01288888888888889,5.0,-0.06256590509666071,5.8,3.875,116.3,0.04822222222222222,38.61740166865316,0.00911111111111111,-0.04880754298391587,0.1405538646222941,5.542639337523354,4.3075,6.85,2.99
2003-03-01,-51.8,8.2,-2.500000000000024,0.72,1.43859649122807,10.7,58.30000000000001,5.7,-10.2500000000001,0.0,0.3333333333333333,-0.03770197486534999,5.281720585009243,32.9,20.0,6.0,-15.3,66.1235573659199,14.82,4.6,21.91,-2.399999999999977,21.91,0.5985626283367558,24.6,17.1,0.74,0.07,1.78,49.9,83.7,51.8,0.2764044943820225,89.0,24.26,0.0,17.39,0.0,0.2,4.3,-63.3,8.09,80.4,-0.07352157698454975,0.01,4.181818181818181,-0.09036370453693288,6.0,30.75,147.3,0.041,51.23203285420944,0.007166666666666667,-0.04081632653061218,0.3713623079057933,8.793839059485475,6.425,9.23,3.61
2003-06-01,-62.8,9.2,-2.6086956521739,0.74,1.623529411764706,20.1,58.29999999999998,9.3,-11.99999999999994,0.0,0.3333333333333333,-0.04141791044776133,5.278151775722543,33.07,21.6,6.0,-15.3,69.68529222864483,14.21,6.1,20.36,-2.300000000000011,20.36,0.537327188940092,27.6,17.0,0.77,0.07,2.06,47.2,88.1,62.8,0.2833675564681725,97.4,21.72,0.0,16.18,0.0,0.2,4.5,-63.3,9.14,77.07,-0.06958021851638874,0.01,6.777777777777777,-0.104699093157461,6.0,4.246153846153846,155.7,0.046,43.50230414746544,0.0075,0.005167173252279778,-0.0006756906635365656,9.641068479223836,8.32625,12.03,4.34
2003-09-01,-72.3,8.7,-2.548387096774198,0.76,1.75,26.7,55.7,8.2,-9.032258064516146,0.1428571428571428,0.3107142857142857,0.03970416504476448,5.167949934684094,39.12,22.7,7.9,-15.3,72.16748768472905,14.62,5.3,20.27,-3.099999999999994,20.27,0.4752559726962458,28.0,16.0,0.51,0.08,2.36,45.2,93.5,72.3,0.2624179943767573,106.7,28.24,0.0,19.12,0.0,0.2,5.4,-63.3,10.97,80.13,0.1817058096415329,0.01316666666666667,4.076923076923077,0.3001841620626151,7.9,3.68421052631579,162.4,0.04666666666666667,38.56655290102389,0.009000000000000001,0.1829452676141516,-0.02087886929385685,10.02787636332742,9.7675,12.53,4.61
2003-12-01,-83.0,10.8,-2.666666666666663,0.74,2.10759493670886,35.5,58.0,9.3,-8.538461538461526,0.375,0.3243243243243244,0.02920254586297277,8.012944047830016,39.98,27.7,10.4,-15.3,70.3765227021041,13.86,5.5,19.51,-3.900000000000006,19.51,0.4563335955940205,33.3,15.8,1.29,0.11,2.29,53.5,100.7,83.0,0.2716150081566068,122.6,31.36,0.0,21.65,0.0,0.3,7.2,-63.3,13.29,82.47,0.1323221757322175,0.01733333333333333,5.5,0.1104815864022664,10.4,15.13636363636363,180.6,0.05549999999999999,42.09284028324154,0.012,0.02198364008179965,0.5505072899511034,16.69582276195402,17.27,12.56,4.77
2004-03-01,-96.3,9.6,-1.388888888888891,0.71,2.072847682119205,12.0,56.19999999999999,4.3,-4.347222222222229,0.0,0.3067092651757188,0.001212562143809714,5.124181237129628,41.1,26.2,10.0,-15.3,70.85271317829456,14.19,5.2,20.62,-7.199999999999989,20.62,0.4099197665937271,31.3,15.1,1.2,0.11,2.46,56.4,107.8,96.3,0.2279679533867443,137.3,31.82,0.0,22.79,0.0,0.2,7.1,-63.3,12.88,82.57,0.05265588914549646,0.01818181818181818,3.25,0.01466836734693877,10.0,-28.45454545454545,193.5,0.05690909090909091,41.13785557986871,0.01290909090909091,0.02801400700350176,-0.3605120407002834,11.46044449609253,9.7775,12.14,4.45
2004-06-01,-109.4,9.6,-1.019047619047618,0.7,2.302158273381295,23.9,55.89999999999998,7.4,-3.047619047619043,0.0,0.3,0.01186871745185902,6.313207293599189,42.49,27.0,10.7,-15.3,72.47163295510606,15.22,5.0,21.37,-10.50000000000001,21.37,0.3807901907356946,32.0,13.9,1.21,0.11,2.63,55.8,115.4,109.4,0.217983651226158,146.8,33.37,0.0,23.68,0.0,0.2,7.6,-63.3,13.6,83.55,0.03905221588415975,0.01945454545454545,7.142857142857143,0.0487115021998743,10.7,15.23809523809524,202.7,0.05818181818181818,37.98502382573179,0.01381818181818182,0.03381995133819959,0.2320421549210481,15.05535960113183,11.21,13.13,4.95
2004-09-01,-124.3,9.5,-0.7720588235294121,0.69,2.446969696969697,36.6,55.09999999999999,11.2,-2.375000000000001,0.0,0.2941176470588235,-0.01520047875523634,6.58169273056228,41.39,26.9,10.5,-15.3,74.54203851573507,15.73,5.4,21.4,-13.59999999999999,21.4,0.3474148802017654,32.3,13.2,0.71,0.11,2.91,54.2,123.0,124.3,0.2046894803548795,157.8,32.37,0.0,23.51,0.0,0.3,7.6,-63.3,13.38,82.28,-0.007179054054053946,0.01909090909090909,6.75,-0.02996703626011388,10.5,5.295081967213115,212.9,0.05872727272727273,34.15248897290486,0.01381818181818182,-0.02588844433984472,0.04252758138249368,16.79283981254395,15.595,13.16,4.89
