Date_x,순부채(천원),SG&A,ROGI(%),총자산회전율(비율),무형자산회전율,Free Cash Flow2(천원),비유동자산(천원),운전자본증감(천원),투자비 대비 매출 (Rev/GI),EPS증가율(YoY)(비율),Opex Margin,매출액증가율(YoY)(연도),"BPS(지배, Adj.)(원/주)",EBITDA2마진율(비율),매출총이익(천원),영업이익(천원),무형자산감상비 누계,자기자본비율,ROA(비율),매출원가(천원),ROE(지배)(비율),Gross Investment (GI),ROIC(비율),비유동비율(천원),매출액(천원),무형자산,CAPEX(천원),"EPS(지배, Adj.)(원/주)",유동비율(비율),부채총계(천원),이익잉여금(천원),단기투자자산,재고자산회전율(비율),유동자산(천원),영업이익률(비율),채무총계,순이익률(비율),이자보상율,자본금(천원),당기순이익(천원),유형자산감상비 누계,EBITDA2(천원),매출액이익률(비율),순이익증가율(YoY)(비율),인당영업이익,매입채무회전율,영업이익증가율(YoY)(연도),EBIT(천원),매출채권회전율,현금배당성향(%),자산총계(천원),인당매출,부채비율(비율),인당순이익,EBITDA2증가율(YoY)(비율),BPS증가율(YoY)(비율),close,close_weighted,EV_EBITDA,PBR
2002-07-01,-1241,87.1,-0.03398898505114083,0.45,1.3856,513.4,973,-49.2,0.1362706530291109,-0.1176470588235295,0.5028868360277137,-0.1017530487804877,4.141625475182138,-15.47,79.1,-86.2,-296,75.68306010928961,1.85,94.0,2.45,1271,6.33,0.4390794223826715,173.2,125,21.81,-0.17,2.88,712,511,1241,0.08859335038363171,1955,-20.28,0,-40.5,-1368.253968253968,2,-31.8,0,-28.91,52.48,-0.2987654320987655,-0.01326153846153846,1.323943661971831,0.8116370808678501,-43.2,-13.64233576642336,0.0,2928,0.02664615384615384,32.12996389891697,-0.004892307692307692,0.707175177763413,0.1996050763360011,21.64585389859344,20.455,22.01,4.19
2002-10-01,-826,114.4,-0.05597709377236936,0.49,1.567460317460317,15.5,1103,-56.3,0.1413743736578382,-0.1176470588235295,0.579240506329114,-0.1017530487804877,4.968314944310996,-26.41,85.0,-95.5,-296,71.94029850746269,3.45,112.5,4.79,1397,14.58,0.5720954356846473,197.5,126,27.79,-0.15,2.14,752,424,859,0.1252377932783767,1577,-36.74,32,-28.4,-31833.33333333334,1864,-54.7,0,-56.22,47.14,-0.2987654320987655,-0.01469230769230769,1.388888888888889,0.8116370808678501,-78.2,-3.584175084175084,0.0,2680,0.03038461538461538,39.00414937759336,-0.008415384615384616,0.707175177763413,0.1996050763360011,23.03176535857562,21.59,27.78,5.53
2003-01-01,-1101,136.2,0.151761744966443,0.48,4.358870967741935,374.7,1113,-1.4,0.4534395973154363,-3.0,0.2519888991674376,0.4565125159100551,5.121603209639145,36.34,365.6,170.7,-296,70.3273495248152,4.07,174.9,5.79,1192,14.58,0.5570570570570571,540.5,124,27.18,0.3,2.08,843,519,1117,0.3127893518518519,1728,32.42,15,22.46,6096.428571428572,1877,128.4,0,202.79,68.66,-1.790845070422535,0.02547761194029851,1.634579439252337,-1.882416984213391,180.9,-3.003767491926803,0.0,2841,0.08067164179104477,42.19219219219219,0.01916417910447761,-2.375993941688754,0.03085316994722165,24.8735129140958,26.4775,20.63,4.54
2003-04-01,-1511,117.4,0.3032535885167464,0.5,4.574814814814815,849.2,1115,153.8,0.5910047846889952,0.7666666666666668,0.1900906735751295,0.1387998834838333,3.766865617197407,53.79,479.2,308.5,-296,70.99308610936518,6.63,138.4,9.29,1045,14.58,0.4933628318584071,617.6,135,15.62,0.53,2.27,923,782,1522,0.2987905176584422,2067,49.93,12,35.13,4407.142857142857,1888,294.0,0,341.4,78.19,0.5641139804096171,0.04604477611940298,1.895890410958904,0.5400987045033929,316.9,-10.43914473684211,0.0,3182,0.09217910447761195,40.85878707392651,0.04388059701492537,0.4801871216290587,-0.2645143594669821,20.68388291018216,21.945,13.45,3.53
2003-10-01,-919,175.0,-0.06761827079934747,0.62,1.696969696969697,-96.9,1234,-61.5,0.1827079934747145,-1.245283018867924,0.78125,-0.1303235707891034,5.073341666820467,-25.79,147.4,-88.7,-296,71.11538461538461,10.12,76.6,14.15,1226,18.58,0.6677489177489178,224.0,132,20.71,-0.13,1.9,751,670,919,0.1639824304538799,1366,-34.64,0,-22.36,-88700.0,1929,-54.0,0,-61.72,68.0,-1.636493025903786,-0.01323880597014925,0.9011764705882352,-1.693771279791708,-82.9,18.55038759689922,0.0,2600,0.03343283582089552,40.61654948620876,-0.008059701492537314,-1.479457148168805,0.3468337292571362,23.5990157030215,22.415,19.91,5.38
2004-01-01,-979,217.6,0.1841075794621027,0.59,4.9352,86.7,1232,-50.8,0.5027709861450692,-3.846153846153846,0.3527313989301346,0.1983823529411763,5.166312970963529,38.87,499.7,219.4,-296,66.48103028193526,10.19,117.2,14.91,1227,18.58,0.6450261780104712,616.9,125,26.49,0.37,1.74,963,786,979,0.3759293113954905,1641,35.67,0,23.61,219400.0,1944,149.1,0,246.2,81.49,-2.055903398926655,0.03274626865671642,1.126923076923077,-2.02973441108545,225.9,-3.270005162622613,0.0,2873,0.09207462686567164,50.41884816753927,0.02225373134328358,-2.507173322993408,0.0183254569174971,24.96245326218148,24.645,18.12,5.19
2004-04-01,-1178,187.3,0.3327375352775164,0.58,6.071052631578947,521.2,1237,119.8,0.6510818438381938,0.783783783783784,0.2706256321340847,0.05730764510982955,4.456300211901416,52.67,593.9,347.6,-296,65.62078272604587,10.82,98.3,15.82,1063,15.86,0.6359897172236504,692.1,114,38.51,0.66,1.73,1019,1039,1178,0.4007527504342791,1727,49.83,0,37.23,347600.0,1947,264.0,0,373.88,86.16,0.576874205844981,0.05188059701492537,1.26025641025641,0.3969722455845246,353.7,-14.48571428571428,0.0,2964,0.1032985074626866,52.39074550128535,0.03940298507462687,0.3550295857988166,-0.1374312324964885,22.28150105950708,24.25,13.56,4.19
2004-07-01,-1018,157.1,-0.03505903723887376,0.65,2.528723404255319,461.2,1202,1.2,0.2158946412352407,-1.106060606060606,0.6609171224232225,-0.1790854224698235,4.714270339464247,-6.51,162.2,-43.6,-296,66.75210545587696,11.71,75.5,17.07,1101,16.74,0.6597145993413831,237.7,94,31.92,-0.07,1.71,908,984,1018,0.155461085676913,1529,-14.95,0,-10.57,-3114.285714285715,2,-42.1,0,-16.81,70.73,-1.283910824603814,-0.006507462686567165,1.110294117647059,-1.300020068231989,-38.6,-129.0,0.0,2731,0.0354776119402985,49.80800877674164,-0.006283582089552239,-1.123599772166319,0.05788885741446936,22.50946785972583,21.515,11.7,3.91
2004-10-01,-760,178.2,-0.06573604060913706,0.72,2.507368421052631,-111.8,1184,-77.0,0.2015228426395939,0.714285714285714,0.7481108312342569,-0.02205570479287433,4.873399790155808,-21.53,162.8,-82.2,-296,67.01954397394137,13.11,75.4,18.97,1182,17.82,0.7193195625759417,238.2,95,24.4,-0.12,1.6,810,914,760,0.1872641509433962,1272,-30.74,0,-18.0,-41100.0,2,-46.1,0,-54.42,69.17,0.7029328287606433,-0.01226865671641791,0.8976190476190476,1.0561872909699,-77.7,11.75813953488372,0.0,2456,0.03555223880597014,49.21020656136088,-0.006880597014925373,2.307219662058372,0.03375484205041279,21.29444134482735,19.425,14.39,5.16
2005-01-01,-885,229.9,0.1975133214920071,0.65,7.028888888888889,95.3,1151,-59.4,0.5618117229129663,-4.166666666666667,0.3634208030350933,0.1801358970652016,4.587596754181768,38.19,516.2,218.2,-296,61.77953890489913,11.57,116.4,18.03,1126,17.82,0.671137026239067,632.6,90,13.16,0.38,1.56,1061,1044,885,0.3892923076923077,1625,34.3,0,22.36,218199.9999999999,2,147.3,0,247.56,81.63,-2.242222222222222,0.03117142857142857,1.141176470588235,-2.115810019518543,222.4,-2.982972848596411,0.0,2776,0.09037142857142857,61.86588921282799,0.02104285714285714,-2.773803994426382,-0.05864551407240548,21.1100843397417,21.725,11.79,4.22
