Date_x,"BPS(지배, Adj.)(원/주)",BPS증가율(YoY)(비율),BS_Additional Paid-In Capital,BS_Contract Assets - Long Term,BS_Deferred Income Tax - Current Liability,BS_Deferred Income Tax - LT Liability,BS_Deferred Revenue - Long Term,BS_Earnings Quality Score,BS_LT Investments - Other,BS_Long Term Investments,BS_Minimum Pension Liability Adjustment,BS_Minority Interest - Non Redeemable,BS_Note Receivable - Long Term,BS_Oper. Lse. Pymts. Due in Year 6 & Beyond,BS_Operating Lease Payments Due in Year 1,BS_Other Comprehensive Income,"BS_Other Current Assets, Total",BS_Other Current Liabilities,BS_Other Equity,"BS_Other Equity, Total",BS_Other Long Term Assets,BS_Other Long Term Liabilities,BS_Other Property/Plant/Equipment - Gross,"BS_Property/Plant/Equipment, Total - Gross",BS_Shares Outs - Common Stock Primary Issue,BS_Short Term Investments,BS_Total Common Shares Outstanding,BS_Total Long Term Debt,"BS_Total Operating Leases, Supplemental",BS_Translation Adjustment,BS_Treas Shares - Common Stock Prmry Issue,BS_Treasury Stock - Common,CAPEX(천원),CF_Accounts Payable,CF_Accounts Receivable,CF_Accrued Expenses,CF_Cash Interest Paid,CF_Cash Taxes Paid,"CF_Issuance (Retirement) of Debt, Net","CF_Issuance (Retirement) of Stock, Net","CF_Long Term Debt, Net",CF_Net Cash - Beginning Balance,CF_Net Change in Cash,CF_Non-Cash Items,CF_Other Assets,CF_Other Financing Cash Flow,"CF_Other Investing Cash Flow Items, Total",CF_Other Liabilities,CF_Other Non-Cash Items,CF_Purchase of Fixed Assets,CF_Purchase of Investments,CF_Repurchase/Retirement of Common,CF_Sale of Business,CF_Sale/Maturity of Investment,"CF_Short Term Debt, Net",CF_Total Cash Dividends Paid,EBITDA2마진율(비율),"FS_Average Net Trade Cycle Days, TTM","FS_Average Payables Payment Days, TTM",FS_Earnings Retention Rate,"FS_Free Cash Flow Yield - %, TTM",FS_Income Tax Rate - %,FS_Income before Tax Margin - %,"FS_Income before Tax Margin - %, TTM",FS_Interest Coverage Ratio,FS_Net Cash Flow from Operating Activities,"FS_Payables Turnover, TTM","FS_Pretax ROA - %, TTM",FS_ROIC,"FS_Reinvestment Rate - %, TTM","FS_Tax Complement, TTM",FS_Total Debt Percentage of Total Equity,FS_Working Capital to Total Assets,Free Cash Flow2(천원),Gross Investment (GI),IS_DPS - Common Stock Primary Issue,"IS_Depreciation, Supplemental",IS_Dilution Adjustment,IS_Dividends per Share - Com Stock Issue 3,IS_Gross Dividends - Common Stock,"IS_Interest Expense, Net Non-Operating","IS_Interest Expense, Supplemental",IS_Interest Income - Non-Operating,IS_Interest/Invest Income - Non-Operating,IS_Investment Income - Non-Operating,"IS_Minority Interest, Supplemental","IS_Other, Net",IS_Provision for Income Taxes,Opex Margin,ROA(비율),ROE(지배)(비율),ROGI(%),단기투자자산,매출액(천원),매출액이익률(비율),매출액증가율(YoY)(연도),매출채권회전율,매출총이익(천원),무형자산,무형자산감상비 누계,무형자산회전율s,부채비율(비율),비유동비율(천원),순부채(천원),순이익률(비율),운전자본증감(천원),유동비율(비율),유형자산감상비 누계,이익잉여금(천원),이자보상율,인당매출s,인당순이익s,인당영업이익s,재고자산회전율(비율),채무총계,총자산회전율(비율),현금배당성향(%),EV_EBITDA
2003-07-01,14.20291791475782,-0.4188092155324604,1501,10,22,4,303,94,33,33,-425,924,133,421,217,-300,460,260,670,369,91,802,1863,1863,435,0,944,14,1231,-414,23,-397,76.28,106.7,-3.2,-330.6,20.1,255.2,-22.4,-304.3,-3.9,1317.0,1015.2,575.2,53.0,-196.1,102.7,103.5,601.8,-211.6,-19.8,-560.4,0.0,103.8,-18.5,0.0,13.36,43.03,24.94,1.0,6.33,30.98,12.06,13.65,36.37,465.47,14.67,27.02,37.0,78.45,0.65,3.42,0.27,1332.8,-44,0.0,58,130,0.68,0,-5,5,11,13,2,-131,6,113,0.0996533795493934,17.54,78.45,5.653136531365313,2332,3462,34.44,0.1222042139384116,-1081.875,1039,326,-177,41.0920245398773,677.2563176895308,1.709134615384615,-1348,8.33,180.0,1.52,-1220,-642,4375.0,0.1656732530120482,0.0061752610441767,0.0192380722891566,0.6873138773079214,60,1.98,0.0,4.37
2003-10-01,11.97410502209439,-0.1180070840968893,1606,10,23,4,303,94,31,31,-425,845,156,421,217,-162,432,260,495,333,103,760,1863,1863,510,0,939,14,1231,-414,24,-431,44.5,-82.0,-222.5,69.2,20.1,255.2,-9.7,-171.5,-0.6,2332.2,-2.5,90.4,-60.3,77.2,1.6,-18.3,175.5,-46.7,-6.1,-1721.4,0.0,5.5,-9.1,0.0,14.82,51.69,20.32,1.0,4.96,34.8,15.73,13.93,36.58,127.6,18.01,27.41,35.19,67.27,0.66,2.65,0.27,80.9,157,0.0,63,160,0.68,0,-6,6,10,10,0,-160,2,179,0.1177951874650252,18.02,67.27,4.204137931034483,2330,3574,34.05,0.0742410580102195,-16.06292134831461,1111,326,-177,41.84969325153374,544.5192307692307,1.395192307692308,-1435,10.26,-195.4,1.52,-1220,-468,12675.0,0.1643734939759036,0.006578313253012,0.0196265060240963,0.6805026656511804,50,1.97,0.0,6.31
2004-01-01,11.20423008476208,-0.0761958206310876,1596,10,23,4,303,94,212,212,-425,940,150,421,217,-121,398,260,495,373,113,753,1863,1863,510,126,939,14,1231,-414,25,-460,53.63,-81.7,-130.7,211.7,20.1,255.2,-8.7,-211.5,-1.5,2332.2,521.5,206.2,-21.9,76.3,-300.0,192.1,291.8,-101.2,-406.4,-1793.5,0.0,103.3,-7.2,0.0,14.99,50.65,19.37,1.0,7.32,34.8,10.22,12.89,35.67,865.9,18.89,24.34,33.09,62.47,0.67,2.45,0.24,892.3,-366,0.0,80,97,0.68,0,-6,6,15,18,3,-97,18,117,0.1127104834329169,16.2,62.47,3170.0,2980,3682,33.0,0.1545939165882722,-28.17138485080337,1090,326,-177,43.36196319018404,545.4077253218884,1.404291845493562,-1988,6.66,359.6,1.45,-1220,-344,2558.333333333333,0.1627718072289157,0.006374578313253,0.0182627710843373,0.625871154173041,52,1.89,0.0,5.33
2004-04-01,7.771762728689115,-0.3673537073857023,2151,10,23,4,303,94,309,309,-425,1328,172,421,217,-158,435,260,462,305,149,680,1863,1863,558,326,973,3,1231,-414,24,-470,77.15,-54.3,-357.0,411.3,20.1,255.2,1.3,520.4,-2.1,2332.2,1182.5,389.0,-82.2,70.1,-618.0,73.7,469.9,-179.9,-833.2,-2141.3,0.0,210.6,3.4,0.0,17.09,49.41,20.23,1.0,6.36,34.8,15.35,13.42,53.22,376.15,18.09,23.67,27.1,48.72,0.66,1.9,0.3,1182.7,-531,0.0,55,157,0.68,0,-5,5,16,17,0,-158,-19,197,0.1419753086419753,15.62,48.72,-11.70666666666667,3840,4050,35.45,0.1849034523112931,-11.34453781512605,1307,326,-177,45.30061349693251,368.2505399568034,0.949244060475162,-2452,10.01,257.8,1.62,-1220,-134,5209.090909090909,0.1620910843373494,0.0068842168674698,0.0191253012048192,0.5857680069424357,60,1.76,0.0,5.03
2004-07-01,10.49142826787632,-0.2613188127367124,1644,10,43,19,303,94,340,340,-425,941,212,421,217,-265,589,260,475,211,137,579,1863,1863,572,285,938,32,1231,-414,19,-429,95.69,-65.5,-405.4,661.0,22.0,387.5,-21.9,-718.5,-3.3,2332.2,220.8,519.4,-293.5,52.7,-614.6,156.0,592.6,-282.0,-1015.0,-3459.9,0.0,421.0,-18.6,0.0,12.74,44.18,22.17,1.0,5.64,21.63,11.17,13.15,37.13,393.32,16.51,24.85,33.55,59.98,0.68,2.85,0.22,1474.0,99,0.0,59,115,0.68,0,-5,5,18,17,-1,-117,0,83,0.0990281061203047,16.9,59.98,65.01818181818182,2838,3807,32.4,0.0996533795493934,-9.390725209669462,1109,326,-177,46.35889570552147,444.7314751869476,1.273097826086957,-1828,8.75,195.8,1.4,-1220,47,3091.666666666667,0.1584502409638554,0.0072563855421686,0.0186184337349397,0.6201335722430363,69,1.89,0.0,6.23
2004-10-01,8.753828525123183,-0.2689367172769248,1668,10,47,22,303,94,393,393,-425,1110,260,421,217,-325,734,260,589,264,142,697,1933,1933,577,592,942,2,1231,-414,18,-420,53.94,174.9,-482.5,-159.6,22.0,387.5,5.1,66.1,-0.7,2553.0,-279.4,140.5,-48.6,-2.3,-337.1,-32.1,146.3,-54.9,-507.6,-39.1,0.0,169.6,5.8,0.0,13.89,51.22,23.89,1.0,4.97,34.0,12.98,12.51,36.82,-60.88,15.32,22.66,30.73,51.01,0.68,1.4,0.24,-115.8,382,0.0,53,122,0.68,0,-6,6,20,35,15,-123,-2,165,0.1142225497420781,15.47,51.01,6.797773654916512,2865,4071,32.57,0.1390598768886402,-8.437305699481865,1215,326,-177,47.88343558282209,408.0957810718358,1.139031339031339,-1715,8.57,-448.6,1.45,-1276,243,1635.714285714286,0.1561,0.00712,0.01709,0.5888904961666426,40,1.81,0.0,6.32
2005-01-01,7.245882378445293,-0.3532904694361997,1662,10,48,23,303,94,322,322,-425,1200,288,421,217,-302,604,260,599,297,129,679,2019,2019,574,406,936,37,1231,-414,22,-521,59.95,231.8,-530.3,-153.8,22.0,387.5,6.5,-124.9,-4.7,2553.0,507.2,249.3,-1.8,-6.3,-83.3,369.6,289.3,-116.2,-691.6,-260.4,0.0,606.0,11.2,0.0,13.25,48.96,23.24,1.0,4.73,30.62,12.87,13.12,34.62,786.89,15.75,22.81,31.22,52.39,0.69,2.67,0.26,609.8,41,0.0,69,129,0.68,0,-6,6,28,28,0,-131,-3,150,0.1036527514231499,15.76,52.39,-11.40307692307692,3467,4216,30.8,0.1450298750678978,-7.950216858382048,1175,326,-177,49.52147239263803,395.1245363010069,1.058293587705352,-2184,8.93,-34.6,1.48,-1362,448,2145.454545454545,0.1535564227642277,0.0075973170731707,0.0178573983739837,0.5739177783827933,82,1.74,0.0,5.69
2005-04-01,8.008344291416675,0.0304411715831505,1520,10,45,21,303,94,310,310,-425,1084,402,421,217,-370,546,260,624,254,137,590,2016,2016,568,422,910,46,1231,-414,32,-747,69.36,235.9,-777.0,-54.2,22.0,387.5,-15.0,-819.1,-3.1,2553.0,220.1,385.7,12.2,-10.9,-84.1,448.4,495.6,-186.5,-859.7,-1070.8,0.0,772.3,-11.9,0.0,19.03,48.45,24.1,1.0,6.28,29.4,16.88,13.6,47.53,593.92,15.19,23.05,30.1,49.36,0.71,2.5,0.23,1133.4,172,0.0,85,179,0.68,0,-6,6,29,34,5,-181,-11,202,0.1347265451311694,16.29,49.36,-10.4958217270195,3195,4498,34.56,0.1106172839506172,-5.788931788931789,1410,326,-177,50.89570552147239,412.70468661773,1.136645962732919,-2040,11.92,-81.7,1.41,-1347,744,2488.888888888889,0.1496255284552845,0.0079769918699186,0.01759081300813,0.6364794113485213,72,1.7,0.0,2.52
2005-07-01,10.24611171625122,-0.0233825695950507,1365,10,43,6,303,94,263,263,-425,981,472,421,217,-232,631,260,366,133,174,545,1962,1962,570,463,892,44,1231,-414,32,-764,128.21,270.5,-653.3,-95.3,23.6,573.0,-12.6,-1326.4,-3.4,2553.0,-69.0,551.2,-12.5,-38.5,-257.0,424.7,655.7,-317.8,-1019.3,-1625.1,0.0,944.5,-9.2,0.0,16.94,45.15,23.34,1.0,6.69,33.13,13.82,14.19,51.65,567.16,15.68,26.0,37.19,59.36,0.68,2.81,0.2,1569.3,271,0.0,75,127,0.68,0,-5,5,31,33,2,-134,5,180,0.119517289394291,17.78,59.36,10.92972972972973,2947,4309,32.95,0.1318623588127135,-6.595744680851064,1293,326,-177,52.43558282208589,427.8137890394814,1.338833235120801,-1891,9.24,50.2,1.36,-1269,962,1817.857142857143,0.1465880487804878,0.0080087804878048,0.0180190243902439,0.6445774121166792,75,1.83,0.0,4.63
2005-10-01,15.4033306019289,0.7596107300619239,1063,10,50,7,303,94,209,209,-425,613,485,421,217,-256,595,260,388,132,171,630,1999,1999,568,281,850,31,1231,-414,39,-911,76.56,-6.1,-289.4,-78.2,23.6,573.0,-19.7,-1004.2,-9.4,2484.0,-798.0,175.1,19.5,13.7,234.9,99.1,171.2,-78.0,-19.4,-1153.3,0.0,252.9,-10.3,-268.0,16.22,49.99,25.57,-0.25,7.36,37.4,12.56,14.05,55.28,368.38,14.31,26.36,41.78,54.01,0.68,3.02,0.11,290.4,733,0.3,79,110,0.68,268,-5,5,30,32,1,-113,-16,196,0.1140215716486903,17.81,65.69,3.721973094170404,1967,4543,31.67,0.1159420289855073,-15.69799585348998,1320,326,-177,53.88343558282209,597.2532188841202,1.952789699570815,-1300,7.86,-61.6,1.19,-1304,882,1900.0,0.1428130081300813,0.0077967479674796,0.0176097560975609,0.7768467852257182,54,1.88,0.8170731707317073,5.46
