Date_x,"BPS(지배, Adj.)(원/주)",BPS증가율(YoY)(비율),"BS_Accounts Receivable - Trade, Gross",BS_Additional Paid-In Capital,BS_Cash & Equivalents,BS_Compensation Rate - Domestic,BS_Construction in Progress - Gross,BS_Earnings Quality Score,BS_Expected Rate of Return - Domestic,BS_Income Taxes Payable,BS_Land/Improvements - Gross,BS_Long Term Investments,BS_Notes Receivable - Short Term,BS_Number of Common Shareholders,BS_Other Current Assets,BS_Other Current Liabilities,"BS_Other Equity, Total",BS_Other Long Term Assets,"BS_Other Long Term Assets, Total",BS_Other Long Term Liabilities,BS_Pension Benefits - Overfunded,BS_Pension Benefits - Underfunded,BS_Prepaid Benefits - Domestic,BS_Provision for Doubtful Accounts,BS_Receivables - Other,BS_Restricted Cash - Current,BS_Total Common Shares Outstanding,BS_Total Funded Status,CAPEX(천원),CF_Accounts Payable,CF_Cash from Financing Activities,"CF_Investment, Net",CF_Net Changes in Working Capital,CF_Options Exercised,CF_Other Financing Cash Flow,CF_Other Investing Cash Flow,CF_Other Non-Cash Items,CF_Purchase of Fixed Assets,CF_Purchase of Investments,CF_Sale/Maturity of Investment,CF_Total Cash Dividends Paid,CF_Unusual Items,EBITDA2증가율(YoY)(비율),"EPS(지배, Adj.)(원/주)",EPS증가율(YoY)(비율),"FS_Accounts Receivable Turnover, TTM","FS_Average Receivables Collection Days, TTM",FS_Dividend Coverage - %,"FS_Dividend Yield - Common Stock - Net - Issue Specific - %, TTM.2","FS_Dividend Yield - Common Stock - Net - Issue Specific - %, TTM.3",FS_Free Cash Flow Net of Dividends,FS_Income Tax Rate - %,FS_Income before Tax Margin - %,"FS_Income before Tax Margin - %, TTM",FS_Market Capitalization,FS_Net Cash Flow from Operating Activities,FS_Operating Profit before Non-Recurring Income/Expense,"FS_Reinvestment Rate - %, TTM",FS_Shares used to calculate Diluted EPS - Total,"FS_Tax Complement, TTM",Free Cash Flow2(천원),Gross Investment (GI),"IS_Amort of Intangibles, Supplemental",IS_Compensation Rate - Domestic,IS_Current Tax - Domestic,IS_Deferred Tax - Domestic,IS_Deferred Tax - Total,IS_Expected Rate of Return - Domestic,IS_Income Tax - Total,IS_Interest/Invest Income - Non-Operating,"IS_Other, Net",IS_Provision for Income Taxes,"IS_Rental Expense, Supplemental","IS_Research & Development Exp, Supplemental",IS_Selling/General/Administrative Expense,IS_Total Plan Expected Return,IS_Total Plan Interest Cost,IS_Total Plan Other Expense,IS_Total Plan Service Cost,IS_Unusual Expense (Income),ROE(지배)(비율),ROGI(%),단기투자자산,매입채무회전율,매출액(천원),매출액이익률(비율),매출액증가율(YoY)(연도),매출총이익(천원),무형자산회전율s,부채비율(비율),비유동비율(천원),순부채(천원),순이익률(비율),순이익증가율(YoY)(비율),영업이익증가율(YoY)(연도),운전자본증감(천원),유동비율(비율),유형자산감상비 누계,인당매출s,인당영업이익s,자기자본비율,자본금(천원),재고자산회전율(비율),투자비 대비 매출 (Rev/GI)s,EV_EBITDA
2003-07-01,10.30659964554522,0.2678926037443052,307,206,304,0.051,14,92,0.082,139,28,102,46,378455,255,158,0,77,7,14,11,38,0,-4,180,50,4240,0,15.82,-3.3,-22.2,-97.0,-4.8,1.1,-62.2,10.2,-8.1,-28.8,-388.7,0.0,-23.3,0.0,0.2536231884057973,0.98,0.4202898550724639,3.04,120.27,313.23,0.65,0.44,65.0,16.62,31.34,31.12,6573.09,80.81,69.24,31.25,66.82,0.83,117.6,589,7.7,0.051,64.8,-0.8,-1.0,0.082,28.6,3.4,9.3,13.1,2.0,3.1,38.1,-1.2,1.0,-0.3,2.7,0.0,37.91,0.5088353413654618,304,129.6,250.7,42.81,0.381267217630854,121.1,90.0,21.29380053908356,0.3840970350404312,-293,26.13,0.4146868250539957,0.2226148409893993,-17.9,3.89,-151,0.0627261948286968,0.0177303617376256,82.44444444444444,7,0.4076422764227642,1.798146972037844,17.93
2003-10-01,10.54977570468004,0.1298050095616876,307,206,355,0.051,18,92,0.082,139,28,135,46,378455,255,185,0,77,7,14,11,38,0,-4,181,50,4248,0,19.91,-3.3,-32.6,-129.2,14.8,14.4,-62.2,16.0,-14.3,-48.6,-388.7,0.0,-47.0,0.0,0.3166811468288446,1.07,0.3544303797468356,3.02,121.27,178.485,0.53,0.34,72.27,16.52,31.31,30.91,8110.14,116.05,76.89,30.37,67.61,0.83,207.4,636,7.7,0.051,64.8,-0.8,-1.0,0.082,28.6,3.4,9.7,14.3,2.0,3.1,41.2,-1.2,1.0,-0.3,2.7,0.0,36.35,0.5015697137580795,355,144.5,276.7,42.69,0.3814278582126809,132.1,97.64,22.37001209189843,0.391304347826087,-344,26.13,0.3667296786389413,0.3100511073253833,-2.4,3.73,-164,0.0615016376921138,0.0171075837742504,81.7193675889328,7,0.4021802325581395,1.78511143111513,21.11
2004-01-01,14.69983373046662,0.5715822369516186,307,206,398,0.051,48,92,0.082,139,28,218,46,378455,255,408,0,77,9,14,11,38,0,-4,167,50,4265,0,44.37,-3.3,-10.9,-203.6,24.4,26.7,-62.2,22.3,-19.1,-92.8,-388.7,0.0,-47.2,0.1,0.3876639687412784,1.09,0.345679012345679,3.46,105.76,43.74,0.61,0.41,59.77,13.1,28.59,30.31,7600.08,104.4,85.18,12.48,67.88,0.85,261.1,561,7.7,0.051,64.8,-0.8,-1.0,0.082,28.6,3.4,0.2,11.2,2.0,3.1,42.8,-1.2,1.0,-0.3,2.7,0.0,40.73,0.5855731225296443,398,156.5,298.7,42.83,0.383510884668828,142.2,105.92,52.84974093264248,0.6023316062176166,-376,24.84,0.3614678899082568,0.4082644628099175,0.7,1.75,-187,0.0595549871140883,0.016620510898293,65.42372881355932,8,0.4177622377622378,1.838839529893445,19.62
2004-04-01,15.21993564068357,0.3675576361238941,307,206,234,0.051,62,92,0.082,139,28,186,46,378455,255,195,0,77,10,14,11,38,0,-4,166,50,4280,0,34.5,-3.3,-175.0,20.4,-61.7,18.7,-62.2,6.6,-9.5,-34.5,-388.7,0.0,-193.7,0.0,0.4652908067542214,1.28,0.4382022471910112,3.51,104.23,206.16,0.54,1.49,-182.8,14.17,29.82,30.19,8037.12,45.5,97.6,26.31,67.96,0.85,4.4,783,7.7,0.051,64.8,-0.8,-1.0,0.082,28.6,3.4,0.1,14.3,2.0,3.1,49.8,-1.2,1.0,-0.3,2.7,0.0,39.47,0.5036753445635528,234,179.9,339.0,43.47,0.4543114543114544,159.1,116.51,23.52231604342581,0.5325301204819277,-214,25.59,0.4612794612794613,0.5015384615384615,-64.4,2.99,-188,0.0580970709784004,0.0163337238530341,80.95703125,7,0.5824742268041238,1.826091824714804,20.74
2004-07-01,8.554877186408953,-0.1699612403100774,307,206,289,0.051,55,92,0.082,139,28,210,46,378455,255,265,0,77,10,14,11,38,0,-4,186,50,4283,0,38.19,-3.3,-163.9,-4.5,-62.5,27.5,-62.2,11.5,-13.5,-72.8,-388.7,0.0,-191.4,0.0,0.4666425818882467,0.09,-0.9081632653061223,3.68,99.5,334.03,0.52,1.44,67.74,15.58,30.29,29.99,9890.14,106.39,108.62,29.48,1095.11,0.89,68.5,810,7.7,0.051,64.8,-0.8,-1.0,0.082,28.6,3.4,6.4,17.9,2.0,3.1,56.8,-1.2,1.0,-0.3,2.7,0.0,42.32,0.5265189421015011,289,201.2,379.7,43.56,0.5145592341443956,178.6,129.41,29.34662236987818,0.5442477876106194,-268,25.57,0.4824427480916029,0.5693641618497107,-86.5,2.56,-196,0.0571182982973313,0.0162115041214414,77.31164383561644,29,0.5616863905325443,1.869220584487593,23.09
2004-10-01,7.92059515919128,-0.2492167245150448,307,206,340,0.051,49,92,0.082,139,28,245,46,378455,255,270,0,77,10,14,11,38,0,-4,219,50,4300,0,57.08,-3.3,-159.1,-24.6,-87.4,66.5,-62.2,17.2,-19.2,-129.7,-388.7,0.0,-225.6,0.0,0.5156713955790166,0.1,-0.9065420560747663,3.7,98.82,325.83,0.42,1.12,13.72,15.81,31.5,30.18,13836.98,104.6,121.34,30.34,1108.44,0.88,110.2,999,7.7,0.051,64.8,-0.8,-1.0,0.082,28.6,3.4,10.4,20.8,2.0,3.1,59.3,-1.2,1.0,-0.3,2.7,0.0,41.0,0.5048318042813456,340,221.1,418.2,43.2,0.5113841705818576,197.1,143.56,24.2152466367713,0.525560538116592,-318,26.52,0.5338865836791149,0.5773732119635888,-130.0,2.97,-224,0.0560037450261371,0.0160997113209019,80.50541516245488,31,0.5234042553191489,1.852776310024451,27.6
2005-01-01,13.10516384822219,-0.1084821713962209,307,206,361,0.051,73,92,0.082,139,28,278,46,378455,255,48,0,77,10,14,11,38,0,-4,235,50,4329,0,55.87,-3.3,-129.3,-59.2,-150.8,98.4,-62.2,25.5,-26.5,-185.3,-388.7,0.0,-227.7,0.1,0.5384151246983104,0.11,-0.8990825688073395,3.83,95.44,317.63,0.74,1.04,18.03,14.27,30.14,30.47,13969.14,74.05,130.07,38.22,1113.59,0.88,120.6,1095,7.7,0.051,64.8,-0.8,-1.0,0.082,28.6,3.4,7.4,19.6,3.2,3.1,64.1,-1.2,1.0,-0.3,2.7,0.0,46.16,0.5526570048309178,361,238.9,456.0,42.58,0.526615333110144,217.1,159.29,26.88524590163934,0.5324036095159967,-340,25.84,0.7277628032345012,0.526995305164319,-216.3,2.74,-236,0.0567594155084207,0.0163161366785927,78.81136950904393,31,0.5072302558398221,1.736772598452649,25.47
2005-04-01,9.420933758351756,-0.3810135613734673,288,230,395,0.051,82,92,0.082,155,28,307,46,378455,255,52,0,77,11,14,11,38,0,-4,235,50,4343,0,57.89,-3.3,-23.2,-28.7,-7.8,23.0,-62.2,8.7,-9.6,-57.9,-388.7,0.0,-46.2,0.0,0.3950978598865922,0.11,-0.9140625,5.42,67.48,330.0,1.2,0.34,37.45,13.07,29.55,30.35,14724.35,141.52,134.16,36.68,1115.3,0.85,74.9,1219,7.7,0.051,64.8,-0.8,-0.9,0.082,37.2,6.4,0.0,18.6,3.0,6.0,69.8,-1.2,1.0,-0.3,2.7,0.0,42.29,0.4937062937062937,395,253.6,476.0,42.83,0.4041297935103245,222.4,172.99,21.78072111846946,0.5298013245033113,-385,25.69,0.4055299539170507,0.375,-16.5,3.27,-255,0.0564871729139498,0.0161603941194172,82.11480362537765,31,0.509090909090909,1.694306410163146,24.6
2005-07-01,8.948082244685304,0.045962677161635,307,261,318,0.051,91,92,0.082,161,28,530,46,378455,255,61,0,77,12,14,11,38,0,-4,239,50,4363,0,69.39,-3.3,11.0,-256.8,-1.4,57.2,-62.2,18.6,-21.1,-127.4,-388.7,0.0,-46.1,0.0,0.3989654323015024,0.12,0.3333333333333333,3.95,92.56,342.37,1.19,0.19,84.56,10.13,29.69,30.17,15622.22,154.0,148.36,35.86,1120.12,0.84,149.6,1426,7.7,0.051,64.8,-0.8,-0.7,0.082,31.6,9.6,0.2,15.8,3.0,5.7,79.8,-1.2,1.0,-0.3,2.7,0.0,40.51,0.4757602862254025,318,277.9,526.0,42.98,0.3853041875164605,248.1,187.62,25.64625850340136,0.6714285714285714,-306,26.68,0.431513903192585,0.3471454880294662,-39.0,2.36,-274,0.0559877394977652,0.0159047856827056,79.58852192744992,31,0.6116279069767442,1.594404933183595,24.78
2005-10-01,8.872545011426718,0.1201866568234797,312,300,377,0.051,99,92,0.082,180,29,490,46,378455,255,59,0,77,13,14,11,38,0,-2,333,50,4392,0,57.42,-3.3,11.3,-225.4,10.2,102.6,-62.2,30.1,-30.6,-184.6,-388.7,0.0,-91.3,0.0,0.373313016978668,0.13,0.3,3.65,100.4,210.265,1.0,0.35,79.73,11.23,29.19,29.61,18169.72,181.76,163.43,33.08,1126.42,0.85,263.5,1540,7.7,0.051,64.8,-0.8,0.4,0.082,36.7,-1.3,0.2,18.3,2.9,5.5,76.0,-1.2,1.0,-0.3,2.7,0.0,37.9,0.4528554549035053,377,293.0,559.1,42.97,0.3369201339072214,266.1,207.9222222222222,22.26322263222632,0.5959409594095941,-363,25.91,0.2921550946798919,0.3544929925803793,-48.0,2.92,-291,0.0548870748299319,0.0156435374149659,81.7907444668008,30,0.5486751717369971,1.538838262616924,27.11
