Date_x,"BPS(지배, Adj.)(원/주)",BPS증가율(YoY)(비율),BS_Accounts Payable,"BS_Accumulated Intangible Amort, Suppl.","BS_Curr Derivative Liab. Hedging, Suppl.","BS_Goodwill, Net",BS_Income Taxes Payable,BS_Intangibles - Gross,"BS_Intangibles, Net",BS_Inventories - Finished Goods,BS_Inventories - Raw Materials,BS_Land/Improvements - Gross,BS_Long Term Investments,BS_Minority Interest - Non Redeemable,BS_Note Receivable - Long Term,BS_Notes Receivable - Short Term,BS_Number of Common Shareholders,BS_Other Comprehensive Income,"BS_Other Current liabilities, Total",BS_Other Equity,BS_Other Long Term Assets,"BS_Other Long Term Assets, Total",BS_Other Long Term Liabilities,BS_Other Property/Plant/Equipment - Gross,BS_Pension Benefits - Underfunded,BS_Prepaid Expenses,BS_Provision for Doubtful Accounts,BS_Receivables - Other,BS_Reserves,BS_Restricted Cash - Current,BS_Total Common Shares Outstanding,BS_Total Inventory,BS_Total Preferred Shares Outstanding,BS_Translation Adjustment,BS_Unrealized Gain (Loss),CAPEX(천원),CF_Acquisition of Business,CF_Cash Interest Paid,CF_Cash Taxes Paid,CF_Cash from Financing Activities,CF_Foreign Exchange Effects,"CF_Investment, Net","CF_Issuance (Retirement) of Debt, Net","CF_Issuance (Retirement) of Stock, Net","CF_Long Term Debt, Net",CF_Net Cash - Beginning Balance,CF_Net Cash - Ending Balance,CF_Net Change in Cash,CF_Other Financing Cash Flow,CF_Other Investing Cash Flow,"CF_Other Investing Cash Flow Items, Total",CF_Purchase/Acquisition of Intangibles,CF_Sale of Business,"CF_Short Term Debt, Net",CF_Total Cash Dividends Paid,CF_Total Debt Reduction,EBITDA2마진율(비율),EPS증가율(YoY)(비율),"FS_Accounts Receivable Turnover, TTM","FS_Average Inventory Days, TTM","FS_Average Payables Payment Days, TTM","FS_Average Receivables Collection Days, TTM",FS_Dividend Coverage - %,"FS_Dividend Yield - Common Stock - Net - Issue Specific - %, TTM","FS_Earnings Retention Rate, TTM",FS_Free Cash Flow Net of Dividends,"FS_Free Cash Flow Yield - %, TTM",FS_Income Tax Rate - %,FS_Income before Tax Margin - %,"FS_Income before Tax Margin - %, TTM",FS_Interest Coverage Ratio,"FS_Inventory Turnover, TTM",FS_Net Change in Cash - Total,"FS_Payables Turnover, TTM","FS_Pretax ROA - %, TTM","FS_Pretax ROE - %, TTM",FS_Shares used to calculate Diluted EPS - Total,FS_Total Debt Percentage of Total Equity,Free Cash Flow2(천원),Gross Investment (GI),"IS_Amort of Intangibles, Supplemental",IS_DPS - Common Stock Primary Issue,IS_Excise Tax Receipts,IS_Gross Dividends - Common Stock,IS_Income Tax - Total,"IS_Interest Expense, Net Non-Operating",IS_Interest Income - Non-Operating,IS_Interest/Invest Income - Non-Operating,IS_Investment Income - Non-Operating,IS_Other Tax,"IS_Other, Net","IS_Other, Net.1",IS_Selling/General/Administrative Expense,IS_Special DPS - Common Stock Primary Issue,IS_Total Adjustments to Net Income,Opex Margin,ROA(비율),ROE(지배)(비율),ROGI(%),매입채무회전율,매출액(천원),매출액이익률(비율),매출액증가율(YoY)(연도),매출원가(천원),매출채권회전율,매출총이익(천원),무형자산,무형자산감상비 누계,무형자산회전율s,부채비율(비율),부채총계(천원),비유동자산(천원),순부채(천원),순이익증가율(YoY)(비율),영업이익증가율(YoY)(연도),운전자본증감(천원),유형자산감상비 누계,이자보상율,인당매출s,인당순이익s,인당영업이익s,자기자본비율,자본금(천원),재고자산회전율(비율),채무총계,총자산회전율(비율),투자비 대비 매출 (Rev/GI)s,현금배당성향(%),EV_EBITDA
2006-10-01,10.56254629380412,-0.1694503979293157,310,8,12,285,36,65,57,9,5,48,190,59,663,262,592021,-95,351,0,624,20,42,117,31,32,-26,0,18,0,3914,14,1000,10,8,49.45,-39.7,1.3,135.1,-176.4,2.1,-19.4,-13.2,4.7,-13.2,95.1,219.8,124.6,-1.3,5.2,-52.6,0.0,0.0,-94.9,-166.6,-23.8,28.5,0.5,3.62,18.76,369.47,101.05,456.2,0.57,0.74,88.57,2.15,13.88,26.93,25.26,493.32,19.51,85.15,0.99,47.52,66.62,3914.44,0.93,351.6,1840,2.1,0.02,0.0,54.6,30.3,-1.2,0.7,-0.6,-0.6,1.1,2.7,8.3,265.4,0.11,0.0,0.7137601177336278,41.56,59.28,0.6580332409972299,0.147741935483871,1087.2,100.0,0.5079056865464633,45.8,-13.69269521410579,1041.4,70,-8,56.51714285714286,45.65217391304348,840,1041,-155,0.497294046903187,0.4278557114228458,538.6,-205,95000.0,0.0629647313470842,0.0137652788388082,0.0151180926916221,68.65671641791045,22,0.6690461538461538,13,1.88,2.458150397619169,0.2165807219357398,24.91
2007-01-01,11.39251035458606,0.5752004975340488,320,11,12,307,40,69,58,5,5,49,292,49,663,282,722905,-95,418,0,624,17,42,130,31,33,-22,0,18,0,3914,10,1000,3,8,90.29,-40.0,1.9,142.4,-152.3,-1.6,-109.9,87.0,4.7,87.0,95.9,309.6,213.8,-1.9,7.0,-125.3,0.0,16.1,-94.9,-242.1,-23.8,28.36,-0.2999999999999999,3.45,14.18,278.8,106.11,305.33,0.82,0.72,67.66,1.92,15.43,27.67,26.32,371.8,25.81,90.37,1.31,45.1,64.61,3914.44,5.6,493.0,2092,2.1,0.02,0.0,89.0,30.3,-1.2,3.3,8.1,4.8,1.1,2.7,15.0,56.3,0.11,0.0,0.7083581835221948,39.02,56.74,0.5925631564007947,0.89375,1173.7,80.33,0.1975308641975309,286.0,-14.78211586901763,887.7,70,-11,59.28285714285714,49.0014612761812,1006,1231,-157,0.3524141363862616,0.4516594516594516,769.9,-234,3725.925925925926,0.0610803243043718,0.0137425965136437,0.0153357116384319,67.11343576332135,23,0.6455995599559956,118,1.71,2.33428680225137,0.3239898070622497,23.31
2007-04-01,11.21850424991573,-0.1224182604033517,358,13,12,347,78,70,57,5,5,52,544,47,663,384,722905,-95,564,0,624,22,42,143,31,45,-24,22,18,0,3914,10,1000,-26,8,60.73,-38.3,1.7,142.4,-13.6,-11.7,-109.9,-10.0,4.7,-10.0,340.4,235.9,-104.6,-1.7,0.8,-260.5,0.0,16.1,-94.9,-1.9,-23.8,25.07,2.0,3.22,11.5,283.37,113.81,409.75,1.04,0.73,182.43,2.79,11.28,26.53,26.79,166.83,31.84,-104.6,1.29,43.15,62.8,1957.22,4.38,181.3,2582,2.1,0.02,0.0,71.6,37.6,-1.2,3.0,6.6,3.5,-20.0,2.7,5.0,335.9,0.11,0.0,0.6265012328004453,37.46,55.1,0.5449902723735408,0.3734636871508379,1257.3,90.64,0.3709519136408244,133.7,-15.83501259445844,1123.6,70,-13,64.14285714285714,49.13437757625722,1192,1597,-84,0.5056468172484598,0.5480769230769231,242.5,-274,4878.787878787879,0.0611754319829444,0.014069387997901,0.0157877699806184,67.05362078496407,24,0.6252113376429637,108,1.61,2.221823139791808,0.2419736397431565,20.76
2007-07-01,10.37808527567715,-0.1275189516866977,392,15,12,357,74,71,56,4,6,53,417,48,663,417,722905,-95,464,0,624,29,42,155,31,54,-28,43,18,0,3914,10,1000,-30,8,62.88,-38.5,3.8,142.4,-213.0,-10.6,-109.9,-10.4,4.7,-10.4,343.2,265.5,-77.8,-3.8,6.7,-115.7,0.0,16.1,-94.9,-198.8,-23.8,25.02,0.3333333333333335,3.14,9.415,284.195,116.745,426.32,1.27,0.74,-117.72,2.78,14.03,26.27,26.84,146.5,40.89,27.9,1.285,40.575,58.495,3914.44,4.08,261.6,2879,2.1,0.02,0.0,72.8,50.7,-1.2,3.4,7.5,4.1,-19.0,2.7,43.0,411.2,0.11,0.0,0.5990401396160558,35.175,51.425,0.5201495820501539,0.3579081632653062,1375.2,91.12,0.4151059888866022,140.3,-17.31989924433249,1235.0,70,-15,69.90571428571428,42.3629002576371,1151,1532,-116,0.4087193460490464,0.2481927710843375,385.8,-310,4144.000000000001,0.0617775902949255,0.0141893983029316,0.0154564259414337,70.24301964839711,25,0.5912295786758384,109,1.54,2.116525588673342,0.2343850611719253,18.6
2008-01-01,3.321046178528781,-0.7084886407681086,472,15,12,316,80,71,56,5,6,53,651,53,663,353,722905,-95,549,0,624,22,42,1072,31,67,-27,88,18,0,3914,11,1000,0,8,116.44,-39.1,6.5,271.8,-359.5,-3.5,-7102.5,-5.3,25.4,-5.3,286.2,266.2,-20.0,-6.5,10.4,-311.3,0.0,0.5,-94.9,-373.1,-23.8,25.15,0.1428571428571428,3.06,7.33,285.02,119.68,254.39,1.66,0.73,43.55,4.63,15.32,24.54,25.84,197.9,49.94,21.07,1.28,38.0,54.19,3914.44,3.82,654.3,3301,2.1,0.03,0.0,123.3,50.7,-1.2,4.4,11.1,6.6,-19.0,2.7,58.7,495.2,0.11,0.0,0.568860311003215,32.89,47.75,0.3480437604301873,0.3430084745762712,1524.1,90.55,0.2985430689273236,161.9,-19.19521410579345,1362.2,70,-15,59.38,42.8246013667426,1316,1883,-114,0.1542142068457859,0.0086149768058314,971.3,-405,790.6493506493506,0.0444404418027851,0.0098666203933232,0.0101264020156756,70.01594896331738,24,0.6106169871794871,114,1.47,1.426322531606039,0.3893274392169245,13.82
2008-04-01,6.965670011909781,-0.379091021696399,538,21,12,358,105,70,48,3,5,64,728,52,663,379,722905,-95,758,0,624,25,42,218,31,86,-26,107,18,0,3914,9,1000,44,8,102.6,0.0,1.5,271.8,-7.2,16.8,-2023.5,-3.7,0.0,-3.7,257.0,311.9,54.9,-1.5,-14.7,-121.7,0.0,0.5,-94.9,-2.0,-23.8,24.32,-0.4666666666666667,2.88,6.63,323.14,127.19,439.61,1.69,0.73,170.29,3.69,12.43,23.14,24.97,208.47,55.19,54.96,1.13,34.49,51.21,3914.44,3.72,167.0,3196,2.1,0.02,0.0,70.7,88.8,-1.2,4.8,-5.5,-10.2,20.7,2.7,14.5,465.3,0.11,0.0,0.5994686365992743,29.77,44.92,0.3468674281758394,0.2840148698884759,1543.2,91.97,0.2273920305416368,152.8,-19.43576826196474,1390.4,70,-21,63.46428571428572,52.66447368421052,1601,1970,-154,0.059324923286737,0.0816770186335404,270.0,-365,904.6753246753248,0.0436011807825979,0.0092283710981453,0.0094903030631685,65.50312432665373,23,0.5797145003756574,110,1.38,1.422227996318417,0.2260230179028133,13.95
2008-07-01,7.117678791119359,-0.3141626222901753,440,21,12,326,96,63,42,3,5,65,586,52,663,397,722905,-95,636,0,624,24,42,205,31,90,-33,121,18,0,3914,8,1000,75,8,31.09,-8.0,3.2,271.8,-231.0,24.1,-4204.3,-10.9,0.6,-10.9,250.4,337.2,86.7,-3.2,-9.3,-21.6,0.0,0.5,-94.9,-217.5,-23.8,26.18,-0.1249999999999999,2.8,6.6,317.82,130.73,432.93,2.18,0.73,-57.79,5.37,14.64,21.65,23.77,292.23,55.41,32.45,1.15,33.74,47.94,3914.44,3.53,315.2,3104,2.0,0.02,0.0,67.2,100.9,-1.2,4.7,11.6,6.8,26.8,2.7,-54.5,471.4,0.11,0.0,0.6132478632478633,29.06,41.83,0.35961892027411,0.3272727272727273,1591.2,93.62,0.1570680628272252,144.0,-20.04030226700252,1447.2,70,-21,66.55000000000001,46.30442119473507,1372,1728,-166,-0.0622179239200516,0.237129987129987,451.0,-359,998.7012987012988,0.0418151462654949,0.0082149236582979,0.0093100074501602,68.35063437139561,21,0.6122354751827627,105,1.42,1.457191006097728,0.2284937096225773,10.0
2008-10-01,5.608132888984084,-0.4596177676312103,478,22,12,736,181,55,33,5,5,68,135,53,663,404,722905,-95,705,0,624,32,42,222,31,167,-35,134,18,0,3914,10,1000,77,8,56.63,-547.2,4.4,271.8,-301.8,21.6,-5534.6,-13.2,0.6,-13.2,239.3,535.7,296.4,-4.4,-12.9,-90.2,0.0,0.5,-94.9,-284.8,-23.8,26.71,-0.1249999999999999,2.89,6.88,349.18,126.865,463.95,3.03,0.73,272.25,7.87,14.87,22.18,22.81,174.25,53.25,196.23,1.055,32.16,45.555,3914.44,5.14,666.8,3066,1.7,0.02,0.0,60.4,98.9,-1.2,5.8,12.9,7.1,33.8,2.7,-49.8,431.5,0.11,0.0,0.6148968831342188,27.735,39.795,0.4025191774242479,0.3046025104602511,1498.3,92.59,0.0895142524723675,145.6,-18.87027707808564,1352.8,70,-22,87.95428571428572,48.37864395676384,1477,1706,-351,-0.096067053513862,0.1901544401544399,858.6,-415,960.7792207792206,0.0552640318830953,0.0107318211602502,0.0126302656027,67.39514348785872,20,0.5324449182658137,105,1.4,1.945873328341694,0.2135030045952634,6.59
2009-01-01,3.117160179157488,-0.0613921000826354,418,22,12,645,95,55,33,3,5,68,319,55,663,357,722905,-144,740,0,624,12,42,1156,31,114,-33,154,18,0,3914,7,1000,93,8,52.69,-533.3,7.1,264.3,-364.6,19.6,-6449.5,-6.3,0.9,-6.3,232.8,318.3,85.5,-7.1,31.1,-498.8,0.0,0.5,-94.9,-352.0,-23.8,25.75,-0.1249999999999999,2.98,7.16,380.54,123.0,270.7,2.69,0.74,213.02,8.72,12.55,21.56,22.11,297.19,51.09,-187.52,0.96,30.58,43.17,3924.04,6.75,929.3,3172,1.8,0.03,0.0,98.6,39.1,-1.2,6.7,22.0,15.2,-24.1,2.7,-48.9,421.0,0.11,-1.6,0.6260382059800664,26.41,37.76,0.4454194345743859,0.2854066985645933,1444.8,92.74,-0.0520307066465455,119.3,-18.19647355163728,1325.5,70,-22,86.82142857142857,43.47826086956522,1350,1805,-348,-0.1438137755102041,0.1133377135348226,1179.6,-467,880.2597402597402,0.0516335765359855,0.0097846004179572,0.0122553266072417,69.6969696969697,19,0.5466515323496027,112,1.38,1.939650253290495,0.3618348623853211,7.2
2009-04-01,2.713147010361118,-0.6104973382715192,530,29,12,727,115,63,34,3,4,69,569,62,663,413,722905,-90,815,0,624,19,42,252,31,134,-45,166,18,0,3914,7,1000,84,8,36.21,-2.6,0.8,264.3,0.7,6.1,-1903.0,0.4,1.1,0.4,292.5,299.2,6.7,-0.8,-2.2,-225.4,0.0,0.5,-94.9,0.0,-23.8,27.26,0.0,2.9,6.55,434.49,126.3,391.87,1.86,0.71,230.59,6.58,15.17,25.37,22.7,486.99,55.84,6.7,0.84,29.31,42.49,3918.11,5.91,225.3,3505,1.9,0.02,0.0,80.5,114.0,-1.2,7.7,-9.1,-16.8,56.7,2.7,13.6,388.4,0.11,-1.6,0.6467094161322984,25.1,36.8,0.4371586330398448,0.2549056603773585,1481.5,92.58,-0.0399818558838777,135.1,-18.65869017632242,1346.5,70,-29,85.94,43.48680516563729,1549,2163,-485,0.0148052784036047,0.0663221360895778,261.8,-483,964.6753246753244,0.0480869625557609,0.0091889506624435,0.0117124066259244,69.69281940911759,41,0.5037402244134648,112,1.29,1.879478569356047,0.2524302289118846,9.83
