,0,1,R2,adjR2,R2_train,adjR2_train,mean_adj_R2_train_test
0,Gross Investment (GI),매출총이익(천원),0.790357597203247,0.7558438980160641,0.8715490802004755,0.8671038094143446,0.8114738537152044
1,Gross Investment (GI),무형자산회전율s,0.7859893357803303,0.7506966968232315,0.8591088164974272,0.8542316086457102,0.8024641527344709
2,Gross Investment (GI),투자비 대비 매출 (Rev/GI)s,0.7775339027278079,0.7408772950297383,0.8454301533056967,0.8400796105665833,0.7904784527981608
3,매출액증가율(YoY)(연도),Gross Investment (GI),0.7740815614828733,0.7368640963426225,0.8440556586477758,0.838657675122699,0.7877608857326608
7,무형자산회전율s,매출총이익(천원),0.7531853300927914,0.7125530892980099,0.8543408904605716,0.8493001603030977,0.7809266248005537
8,투자비 대비 매출 (Rev/GI)s,매출총이익(천원),0.7356630295349952,0.6920020281958508,0.8400194210815591,0.8344811495348239,0.7632415888653373
4,매출액증가율(YoY)(연도),매출총이익(천원),0.7134912236974083,0.666115698205332,0.8335519103590336,0.8277889323185397,0.7469523152619358
9,투자비 대비 매출 (Rev/GI)s,무형자산회전율s,-0.2053662653242076,-0.40397430433084064,0.1399206960687773,0.11014984553182032,-0.14691222939951015
5,매출액증가율(YoY)(연도),무형자산회전율s,-0.21714200761835936,-0.4175300678725124,0.14284478969776904,0.11317576527606499,-0.1521771512982237
6,매출액증가율(YoY)(연도),투자비 대비 매출 (Rev/GI)s,-0.2693691716781292,-0.47803917988056777,0.04472113599049417,0.011660274314397468,-0.23318945278308514
