,0,1,R2,adjR2,R2_train,adjR2_train,mean_adj_R2_train_test
6,매출액증가율(YoY)(연도),투자비 대비 매출 (Rev/GI)s,0.4654926281584454,0.34991840303217886,0.5715640968233534,0.5528610941169118,0.4513897485745453
4,매출액증가율(YoY)(연도),매출총이익(천원),0.4348795889117826,0.3123358798519148,0.5481238799737849,0.5283950335678835,0.42036545670989917
5,매출액증가율(YoY)(연도),무형자산회전율s,0.37080951995632494,0.2334521407730862,0.5258120937915118,0.5051047917342621,0.36927846625367416
3,매출액증가율(YoY)(연도),Gross Investment (GI),0.2631666877774383,0.10450961005979945,0.4192254314592514,0.3938779337348116,0.24919377189730552
2,Gross Investment (GI),투자비 대비 매출 (Rev/GI)s,0.2167344443536508,0.04694000110838874,0.3531725623706534,0.3249326701731163,0.18593633564075251
9,투자비 대비 매출 (Rev/GI)s,무형자산회전율s,0.20489233727417008,0.03242787005881813,0.35279530520510666,0.3245388198303348,0.17848334494457646
8,투자비 대비 매출 (Rev/GI)s,매출총이익(천원),0.20067977314056748,0.027348431718096977,0.34787454180890676,0.31940353936672733,0.17337598554241215
0,Gross Investment (GI),매출총이익(천원),0.12581535640069158,-0.06404760554466356,0.26281900797841196,0.23062927433642746,0.08329083439588195
1,Gross Investment (GI),무형자산회전율s,0.10215678444350222,-0.09385262344050978,0.22970319721764615,0.19606277525453372,0.05110507590701197
7,무형자산회전율s,매출총이익(천원),0.09119393442326766,-0.10710163041251985,0.21996612582023803,0.1859017825576861,0.039400076072583126
