company,variable,group,importance,corr_total,corr_sub
Cognizant,EBITDA2증가율(YoY)(비율),성장성,1,0.889,0.883
Cognizant,영업이익증가율(YoY)(연도),성장성,1,0.882,0.922
Cognizant,유형자산감상비 누계,안정성,1,0.863,0.843
Cognizant,FS_ROE,FS,5,0.863,0.855
Cognizant,"BS_Accumulated Depreciation, Total",BS,5,0.863,0.843
Cognizant,ROE(지배)(비율),수익성,1,0.863,0.855
Cognizant,"BPS(지배, Adj.)(원/주)",안정성,2,0.855,0.854
Cognizant,FS_ROIC,FS,5,0.843,0.818
Cognizant,"FS_Reinvestment Rate - %, TTM",FS,5,0.84,0.845
Cognizant,FS_ROA,FS,5,0.836,0.824
Cognizant,ROA(비율),수익성,1,0.836,0.824
Cognizant,"FS_Accounts Receivable Turnover, TTM",FS,5,0.824,0.811
Cognizant,"FS_Pretax ROA - %, TTM",FS,5,0.809,0.801
Cognizant,FS_Working Capital to Total Assets,FS,5,0.767,0.768
Cognizant,매출액이익률(비율),수익성,0,0.758,0.718
Cognizant,유동비율(비율),안정성,2,0.758,0.743
Cognizant,FS_Gross Profit Margin - %,FS,5,0.758,0.718
Cognizant,FS_Current Ratio,FS,5,0.758,0.743
Cognizant,총자산회전율(비율),활동성,0,0.75,0.701
Cognizant,"FS_Asset Turnover, TTM",FS,5,0.75,0.701
Cognizant,"FS_Income before Tax Margin - %, TTM",FS,5,0.745,0.784
Cognizant,순이익률(비율),수익성,2,0.744,
Cognizant,FS_Net Margin - %,FS,5,0.744,
Cognizant,순부채(천원),안정성,2,0.721,0.811
Cognizant,BS_Net Debt Incl. Pref.Stock & Min.Interest,BS,5,0.721,0.811
Cognizant,FS_Income before Tax Margin - %,FS,5,0.72,
Cognizant,"FS_Tax Complement, TTM",FS,5,0.701,
Cognizant,BS_Operating Lease Payments Due in Year 4,BS,5,-0.707,
Cognizant,IS_Interest Income - Non-Operating,IS,5,-0.707,-0.766
Cognizant,FS_CAPEX,FS,5,-0.723,
Cognizant,CAPEX(천원),성장성,1,-0.723,
Cognizant,BS_Goodwill - Net,BS,5,-0.723,-0.726
Cognizant,"BS_Goodwill, Net",BS,5,-0.723,-0.726
Cognizant,FS_Net Cash Flow from Operating Activities,FS,5,-0.729,-0.72
Cognizant,"BS_Total Operating Leases, Supplemental",BS,5,-0.735,-0.761
Cognizant,BS_Intangibles - Net,BS,5,-0.741,
Cognizant,무형자산,안정성,2,-0.741,
Cognizant,BS_Operating Lease Payments Due in Year 3,BS,5,-0.743,-0.731
Cognizant,비유동비율(천원),안정성,2,-0.75,-0.748
Cognizant,"BS_Intangibles, Net",BS,5,-0.751,-0.712
Cognizant,BS_Operating Lease Pymts. Due in 2-3 Years,BS,5,-0.751,-0.741
