company,variable,corr,group,importance,company,variable,corr,group,importance
Cognizant,"BPS(지배, Adj.)(원/주)",0.855,안정성,2,Cognizant,"BPS(지배, Adj.)(원/주)",0.854,안정성,2
Cognizant,BPS증가율(YoY)(비율),0.115,성장성,2,Cognizant,BPS증가율(YoY)(비율),0.161,성장성,2
Cognizant,BS_Accounts Payable,-0.8,BS,5,Cognizant,BS_Accounts Payable,-0.844,BS,5
Cognizant,"BS_Accounts Receivable - Trade, Gross",-0.865,BS,5,Cognizant,"BS_Accounts Receivable - Trade, Gross",-0.858,BS,5
Cognizant,"BS_Accounts Receivable - Trade, Net",-0.871,BS,5,Cognizant,"BS_Accounts Receivable - Trade, Net",-0.865,BS,5
Cognizant,BS_Accrued Expenses,-0.841,BS,5,Cognizant,BS_Accrued Expenses,-0.847,BS,5
Cognizant,"BS_Accumulated Depreciation, Total",0.863,BS,5,Cognizant,"BS_Accumulated Depreciation, Total",0.843,BS,5
Cognizant,BS_Additional Paid-In Capital,0.245,BS,5,Cognizant,BS_Additional Paid-In Capital,0.081,BS,5
Cognizant,BS_Cash & Equivalents,-0.774,BS,5,Cognizant,BS_Cash & Equivalents,-0.796,BS,5
Cognizant,BS_Cash and Short Term Investments,-0.808,BS,5,Cognizant,BS_Cash and Short Term Investments,-0.832,BS,5
Cognizant,BS_Common Stock,-0.856,BS,5,Cognizant,BS_Common Stock,-0.861,BS,5
Cognizant,"BS_Common Stock, Total",-0.856,BS,5,Cognizant,"BS_Common Stock, Total",-0.861,BS,5
Cognizant,BS_Customer Advances,-0.816,BS,5,Cognizant,BS_Customer Advances,-0.8,BS,5
Cognizant,BS_Defered Income Tax - Long Term Asset,-0.836,BS,5,Cognizant,BS_Defered Income Tax - Long Term Asset,-0.818,BS,5
Cognizant,BS_Deferred Income Tax,-0.432,BS,5,Cognizant,BS_Deferred Income Tax,-0.33,BS,5
Cognizant,BS_Deferred Income Tax - Current Asset,-0.839,BS,5,Cognizant,BS_Deferred Income Tax - Current Asset,-0.814,BS,5
Cognizant,BS_Deferred Income Tax - LT Liability,-0.432,BS,5,Cognizant,BS_Deferred Income Tax - LT Liability,-0.33,BS,5
Cognizant,BS_Deferred Revenue - Current,-0.816,BS,5,Cognizant,BS_Deferred Revenue - Current,-0.8,BS,5
Cognizant,BS_Full-Time Employees,-0.827,BS,5,Cognizant,BS_Full-Time Employees,-0.821,BS,5
Cognizant,BS_Goodwill - Net,-0.723,BS,5,Cognizant,BS_Goodwill - Net,-0.726,BS,5
Cognizant,"BS_Goodwill, Net",-0.723,BS,5,Cognizant,"BS_Goodwill, Net",-0.726,BS,5
