company,variable,group,importance,corr_total,corr_sub
Cognizant,IS_Gross Profit,IS,5,1.0,1.0
Cognizant,FS_Gross Profit - Industrials/Property - Total,FS,5,1.0,1.0
Cognizant,IS_Revenue,IS,5,0.995,0.995
Cognizant,FS_Revenue from Business Activities - Total,FS,5,0.995,0.995
Cognizant,매출액(천원),성장성,0,0.995,0.995
Cognizant,IS_Net Sales,IS,5,0.995,0.995
Cognizant,IS_Total Revenue,IS,5,0.995,0.995
Cognizant,BS_Total Equity & Minority Interest,BS,5,0.994,0.993
Cognizant,FS_Common Equity - Total,FS,5,0.994,0.993
Cognizant,BS_Total Equity,BS,5,0.994,0.993
Cognizant,SG&A,수익성,2,0.993,0.993
Cognizant,"FS_Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",FS,5,0.993,0.994
Cognizant,"IS_Selling/General/Admin. Expenses, Total",IS,5,0.993,0.993
Cognizant,EBITDA2(천원),수익성,1,0.993,0.994
Cognizant,IS_Normalized EBITDA,IS,5,0.993,0.995
Cognizant,"BS_Total Receivables, Net",BS,5,0.992,0.991
Cognizant,"BS_Accounts Receivable - Trade, Net",BS,5,0.992,0.991
Cognizant,BS_Retained Earnings (Accumulated Deficit),BS,5,0.992,0.992
Cognizant,이익잉여금(천원),수익성,2,0.992,0.992
Cognizant,IS_Selling/General/Administrative Expense,IS,5,0.992,0.992
Cognizant,IS_Total Operating Expense,IS,5,0.992,0.994
Cognizant,Employment Number,ET,2,0.991,0.99
Cognizant,영업이익(천원),수익성,1,0.989,0.994
Cognizant,IS_Operating Income,IS,5,0.989,0.994
Cognizant,"BS_Accounts Receivable - Trade, Gross",BS,5,0.989,0.987
Cognizant,EBIT(천원),수익성,1,0.988,0.994
Cognizant,IS_Normalized EBIT,IS,5,0.988,0.994
Cognizant,FS_Operating Profit before Non-Recurring Income/Expense,FS,5,0.988,0.991
Cognizant,IS_Cost of Revenue,IS,5,0.987,0.988
Cognizant,FS_Total Assets,FS,5,0.987,0.992
Cognizant,BS_Total Liabilities & Shareholders' Equity,BS,5,0.987,0.992
Cognizant,매출원가(천원),성장성,2,0.987,0.988
Cognizant,"IS_Cost of Revenue, Total",IS,5,0.987,0.988
