company,variable,group,importance,corr_total,corr_sub
Cognizant,FS_Current Ratio,FS,5,1.0,1.0
Cognizant,FS_Working Capital to Total Assets,FS,5,0.943,0.902
Cognizant,"FS_Pretax ROA - %, TTM",FS,5,0.865,0.794
Cognizant,"FS_Reinvestment Rate - %, TTM",FS,5,0.852,0.771
Cognizant,FS_ROA,FS,5,0.851,0.782
Cognizant,ROA(비율),수익성,1,0.851,0.782
Cognizant,자기자본비율,안정성,2,0.845,0.803
Cognizant,"FS_Income before Tax Margin - %, TTM",FS,5,0.837,0.746
Cognizant,FS_ROE,FS,5,0.814,0.741
Cognizant,ROE(지배)(비율),수익성,1,0.814,0.741
Cognizant,"BS_Accumulated Depreciation, Total",BS,5,0.812,0.761
Cognizant,유형자산감상비 누계,안정성,1,0.812,0.761
Cognizant,FS_ROIC,FS,5,0.79,0.726
Cognizant,FS_Income before Tax Margin - %,FS,5,0.788,0.705
Cognizant,"FS_Asset Turnover, TTM",FS,5,0.785,0.725
Cognizant,총자산회전율(비율),활동성,0,0.785,0.725
Cognizant,FS_Gross Profit Margin - %,FS,5,0.762,0.643
Cognizant,매출액이익률(비율),수익성,0,0.762,0.643
Cognizant,매출액증가율(YoY)(연도),성장성,0,0.758,0.743
Cognizant,순이익률(비율),수익성,2,0.729,0.633
Cognizant,FS_Net Margin - %,FS,5,0.729,0.633
Cognizant,EBITDA2증가율(YoY)(비율),성장성,1,0.723,0.73
Cognizant,CF_Capital Expenditures,CF,5,0.693,0.739
Cognizant,CF_Purchase of Fixed Assets,CF,5,0.693,0.739
Cognizant,영업이익증가율(YoY)(연도),성장성,1,0.649,0.764
Cognizant,"CF_Common Stock, Net",CF,5,0.649,0.702
Cognizant,CF_Repurchase/Retirement of Common,CF,5,0.649,0.702
Cognizant,"FS_Tax Complement, TTM",FS,5,0.646,0.546
Cognizant,"CF_Issuance (Retirement) of Stock, Net",CF,5,0.634,0.682
Cognizant,"BPS(지배, Adj.)(원/주)",안정성,2,0.62,0.616
Cognizant,"FS_Accounts Receivable Turnover, TTM",FS,5,0.579,0.567
Cognizant,CF_Acquisition of Business,CF,5,0.566,
Cognizant,ROGI(%),수익성,0,0.504,
Cognizant,IS_Interest Income - Non-Operating,IS,5,-0.542,-0.758
Cognizant,FS_Cash & Short-Term Investments,FS,5,-0.593,-0.71
Cognizant,단기투자자산,안정성,1,-0.593,-0.71
Cognizant,BS_Cash and Short Term Investments,BS,5,-0.593,-0.71
Cognizant,"FS_Average Net Trade Cycle Days, TTM",FS,5,-0.601,-0.65
Cognizant,"FS_Average Receivables Collection Days, TTM",FS,5,-0.611,-0.597
Cognizant,BS_Deferred Income Tax - LT Liability,BS,5,-0.613,
Cognizant,BS_Deferred Income Tax,BS,5,-0.613,
Cognizant,CF_Options Exercised,CF,5,-0.625,-0.724
Cognizant,BS_Long Term Investments,BS,5,-0.637,
Cognizant,FS_Free Cash Flow Net of Dividends,FS,5,-0.641,-0.674
Cognizant,CF_Non-Cash Items,CF,5,-0.651,-0.607
Cognizant,CF_Other Non-Cash Items,CF,5,-0.652,-0.608
Cognizant,CF_Free Cash Flow,CF,5,-0.663,-0.685
Cognizant,Free Cash Flow2(천원),수익성,0,-0.663,-0.685
Cognizant,"BS_Tangible Book Value, Common Equity",BS,5,-0.667,-0.727
Cognizant,CF_Cash from Operating Activities,CF,5,-0.676,-0.704
Cognizant,FS_Cash & Cash Equivalents,FS,5,-0.676,-0.681
Cognizant,BS_Cash & Equivalents,BS,5,-0.676,-0.681
Cognizant,CF_Net Cash - Ending Balance,CF,5,-0.677,-0.683
Cognizant,재고자산회전율(비율),활동성,2,-0.69,
Cognizant,자본금(천원),안정성,2,-0.703,-0.744
Cognizant,"BS_Common Stock, Total",BS,5,-0.703,-0.744
Cognizant,BS_Common Stock,BS,5,-0.703,-0.744
Cognizant,CF_Net Income/Starting Line,CF,5,-0.724,-0.772
Cognizant,IS_Provision for Income Taxes,IS,5,-0.735,-0.694
Cognizant,"IS_Interest Exp.(Inc.),Net-Operating, Total",IS,5,-0.745,-0.618
Cognizant,IS_Investment Income - Operating,IS,5,-0.745,-0.618
Cognizant,IS_Interest/Investment Income - Operating,IS,5,-0.745,-0.618
Cognizant,CF_Net Cash - Beginning Balance,CF,5,-0.745,-0.636
Cognizant,FS_Net Cash Flow from Operating Activities,FS,5,-0.746,-0.744
Cognizant,인당매출s,성장성,0,-0.748,-0.763
Cognizant,"FS_Free Cash Flow Yield - %, TTM",FS,5,-0.749,-0.709
Cognizant,FS_CAPEX,FS,5,-0.75,-0.783
Cognizant,CAPEX(천원),성장성,1,-0.75,-0.783
Cognizant,BS_Total Current Assets,BS,5,-0.754,-0.765
Cognizant,유동자산(천원),안정성,2,-0.754,-0.765
Cognizant,BS_Total Current Assets less Inventory,BS,5,-0.754,-0.765
Cognizant,CF_Depreciation/Depletion,CF,5,-0.767,-0.745
Cognizant,CF_Depreciation,CF,5,-0.767,-0.745
Cognizant,"BS_Other Current Assets, Total",BS,5,-0.77,-0.693
Cognizant,당기순이익(천원),수익성,1,-0.771,-0.741
Cognizant,IS_Net Income,IS,5,-0.771,-0.741
Cognizant,IS_Income Available to Com Incl ExtraOrd,IS,5,-0.771,-0.741
Cognizant,IS_Diluted Net Income,IS,5,-0.771,-0.741
Cognizant,BS_Other Property/Plant/Equipment - Gross,BS,5,-0.781,-0.727
Cognizant,FS_Market Capitalization,FS,5,-0.783,-0.744
Cognizant,BS_Defered Income Tax - Long Term Asset,BS,5,-0.787,-0.799
Cognizant,무형자산,안정성,2,-0.794,-0.704
Cognizant,BS_Intangibles - Net,BS,5,-0.794,-0.704
Cognizant,FS_Income before Discontinued Operations & Extraordinary Items,FS,5,-0.794,-0.783
Cognizant,IS_Net Income Before Extra. Items,IS,5,-0.794,-0.783
Cognizant,IS_Income Available to Com Excl ExtraOrd,IS,5,-0.794,-0.783
Cognizant,"IS_Stock-Based Compensation, Supplemental",IS,5,-0.796,-0.704
Cognizant,IS_Net Income After Taxes,IS,5,-0.797,-0.789
