company,variable,corr,group,importance,company,variable,corr,group,importance
Infosys,"BPS(지배, Adj.)(원/주)",0.843,안정성,2.0,Infosys,"BPS(지배, Adj.)(원/주)",0.868,안정성,2.0
Infosys,BPS증가율(YoY)(비율),0.125,성장성,2.0,Infosys,BPS증가율(YoY)(비율),0.123,성장성,2.0
Infosys,BS_Accounts Payable,-0.261,BS,5.0,Infosys,BS_Accounts Payable,-0.331,BS,5.0
Infosys,"BS_Accounts Receivable - Trade, Gross",-0.568,BS,5.0,Infosys,"BS_Accounts Receivable - Trade, Gross",-0.572,BS,5.0
Infosys,"BS_Accounts Receivable - Trade, Net",-0.541,BS,5.0,Infosys,"BS_Accounts Receivable - Trade, Net",-0.621,BS,5.0
Infosys,BS_Accrued Expenses,-0.499,BS,5.0,Infosys,BS_Accrued Expenses,-0.593,BS,5.0
Infosys,"BS_Accumulated Depreciation, Total",0.571,BS,5.0,Infosys,"BS_Accumulated Depreciation, Total",0.685,BS,5.0
Infosys,"BS_Accumulated Intangible Amort, Suppl.",-0.498,BS,5.0,Infosys,"BS_Accumulated Intangible Amort, Suppl.",-0.512,BS,5.0
Infosys,BS_Accumulated Intangible Amortization,0.555,BS,5.0,Infosys,BS_Accumulated Intangible Amortization,0.58,BS,5.0
Infosys,BS_Additional Paid-In Capital,0.036,BS,5.0,Infosys,BS_Additional Paid-In Capital,-0.036,BS,5.0
Infosys,BS_Buildings - Gross,-0.691,BS,5.0,Infosys,BS_Buildings - Gross,-0.787,BS,5.0
Infosys,BS_Cash & Equivalents,-0.486,BS,5.0,Infosys,BS_Cash & Equivalents,-0.502,BS,5.0
Infosys,BS_Cash and Short Term Investments,-0.753,BS,5.0,Infosys,BS_Cash and Short Term Investments,-0.768,BS,5.0
Infosys,BS_Common Stock,-0.446,BS,5.0,Infosys,BS_Common Stock,-0.465,BS,5.0
Infosys,"BS_Common Stock, Total",-0.446,BS,5.0,Infosys,"BS_Common Stock, Total",-0.465,BS,5.0
Infosys,BS_Compensation Rate - Domestic,-0.696,BS,5.0,Infosys,BS_Compensation Rate - Domestic,-0.761,BS,5.0
Infosys,BS_Construction in Progress - Gross,-0.466,BS,5.0,Infosys,BS_Construction in Progress - Gross,-0.512,BS,5.0
Infosys,BS_Customer Advances,-0.413,BS,5.0,Infosys,BS_Customer Advances,-0.601,BS,5.0
Infosys,BS_Defered Income Tax - Long Term Asset,-0.622,BS,5.0,Infosys,BS_Defered Income Tax - Long Term Asset,-0.627,BS,5.0
Infosys,BS_Deferred Income Tax,-0.411,BS,5.0,Infosys,BS_Deferred Income Tax,-0.477,BS,5.0
Infosys,BS_Deferred Income Tax - LT Liability,-0.411,BS,5.0,Infosys,BS_Deferred Income Tax - LT Liability,-0.477,BS,5.0
Infosys,BS_Deferred Revenue - Current,-0.411,BS,5.0,Infosys,BS_Deferred Revenue - Current,-0.597,BS,5.0
Infosys,BS_Discount Rate - Domestic,0.144,BS,5.0,Infosys,BS_Discount Rate - Domestic,0.056,BS,5.0
Infosys,BS_Earnings Quality Score,0.238,BS,5.0,Infosys,BS_Earnings Quality Score,0.146,BS,5.0
Infosys,BS_Expected Rate of Return - Domestic,-0.364,BS,5.0,Infosys,BS_Expected Rate of Return - Domestic,-0.419,BS,5.0
Infosys,BS_Full-Time Employees,-0.602,BS,5.0,Infosys,BS_Full-Time Employees,-0.722,BS,5.0
Infosys,BS_Goodwill - Net,-0.581,BS,5.0,Infosys,BS_Goodwill - Net,-0.689,BS,5.0
Infosys,"BS_Goodwill, Net",-0.581,BS,5.0,Infosys,"BS_Goodwill, Net",-0.689,BS,5.0
Infosys,BS_Income Taxes Payable,-0.635,BS,5.0,Infosys,BS_Income Taxes Payable,-0.673,BS,5.0
Infosys,BS_Intangibles - Gross,-0.589,BS,5.0,Infosys,BS_Intangibles - Gross,-0.606,BS,5.0
Infosys,"BS_Intangibles, Net",-0.417,BS,5.0,Infosys,"BS_Intangibles, Net",-0.507,BS,5.0
Infosys,BS_LT Investments - Other,-0.23,BS,5.0,Infosys,BS_LT Investments - Other,-0.281,BS,5.0
Infosys,BS_Land/Improvements - Gross,-0.674,BS,5.0,Infosys,BS_Land/Improvements - Gross,-0.681,BS,5.0
Infosys,BS_Long Term Investments,-0.233,BS,5.0,Infosys,BS_Long Term Investments,-0.285,BS,5.0
Infosys,BS_Machinery/Equipment - Gross,-0.526,BS,5.0,Infosys,BS_Machinery/Equipment - Gross,-0.614,BS,5.0
Infosys,BS_Net Debt Incl. Pref.Stock & Min.Interest,0.722,BS,5.0,Infosys,BS_Net Debt Incl. Pref.Stock & Min.Interest,0.756,BS,5.0
Infosys,BS_Note Receivable - Long Term,-0.47,BS,5.0,Infosys,BS_Note Receivable - Long Term,-0.489,BS,5.0
Infosys,BS_Notes Receivable - Short Term,-0.359,BS,5.0,Infosys,BS_Notes Receivable - Short Term,-0.361,BS,5.0
Infosys,BS_Number of Common Shareholders,-0.545,BS,5.0,Infosys,BS_Number of Common Shareholders,-0.542,BS,5.0
Infosys,BS_Operating Lease Payments Due in Year 2,-0.594,BS,5.0,Infosys,BS_Operating Lease Payments Due in Year 2,-0.629,BS,5.0
Infosys,BS_Operating Lease Payments Due in Year 3,-0.594,BS,5.0,Infosys,BS_Operating Lease Payments Due in Year 3,-0.629,BS,5.0
Infosys,BS_Operating Lease Payments Due in Year 4,-0.594,BS,5.0,Infosys,BS_Operating Lease Payments Due in Year 4,-0.629,BS,5.0
Infosys,BS_Operating Lease Payments Due in Year 5,-0.594,BS,5.0,Infosys,BS_Operating Lease Payments Due in Year 5,-0.629,BS,5.0
Infosys,BS_Operating Lease Pymts. Due in 2-3 Years,-0.592,BS,5.0,Infosys,BS_Operating Lease Pymts. Due in 2-3 Years,-0.625,BS,5.0
Infosys,BS_Operating Lease Pymts. Due in 4-5 Years,-0.592,BS,5.0,Infosys,BS_Operating Lease Pymts. Due in 4-5 Years,-0.625,BS,5.0
Infosys,BS_Other Current Assets,0.497,BS,5.0,Infosys,BS_Other Current Assets,0.491,BS,5.0
Infosys,"BS_Other Current Assets, Total",0.055,BS,5.0,Infosys,"BS_Other Current Assets, Total",0.107,BS,5.0
Infosys,BS_Other Current Liabilities,-0.302,BS,5.0,Infosys,BS_Other Current Liabilities,-0.316,BS,5.0
Infosys,"BS_Other Current liabilities, Total",-0.626,BS,5.0,Infosys,"BS_Other Current liabilities, Total",-0.752,BS,5.0
Infosys,BS_Other Equity,-0.484,BS,5.0,Infosys,BS_Other Equity,-0.605,BS,5.0
Infosys,"BS_Other Equity, Total",-0.532,BS,5.0,Infosys,"BS_Other Equity, Total",-0.651,BS,5.0
Infosys,"BS_Other Liabilities, Total",-0.014,BS,5.0,Infosys,"BS_Other Liabilities, Total",0.185,BS,5.0
Infosys,BS_Other Long Term Assets,0.41,BS,5.0,Infosys,BS_Other Long Term Assets,0.495,BS,5.0
Infosys,"BS_Other Long Term Assets, Total",-0.539,BS,5.0,Infosys,"BS_Other Long Term Assets, Total",-0.575,BS,5.0
Infosys,BS_Other Long Term Liabilities,-0.164,BS,5.0,Infosys,BS_Other Long Term Liabilities,-0.339,BS,5.0
Infosys,BS_Other Payables,-0.177,BS,5.0,Infosys,BS_Other Payables,-0.323,BS,5.0
Infosys,BS_Other Property/Plant/Equipment - Gross,-0.309,BS,5.0,Infosys,BS_Other Property/Plant/Equipment - Gross,-0.39,BS,5.0
Infosys,BS_Pension Benefits - Underfunded,0.508,BS,5.0,Infosys,BS_Pension Benefits - Underfunded,0.595,BS,5.0
