company,variable,group,importance,corr_total,corr_sub
Infosys,IS_Gross Profit,IS,5.0,1.0,1.0
Infosys,EBIT(천원),수익성,1.0,0.996,0.996
Infosys,IS_Normalized EBIT,IS,5.0,0.996,0.996
Infosys,IS_Normalized EBITDA,IS,5.0,0.996,0.997
Infosys,IS_Operating Income,IS,5.0,0.995,0.994
Infosys,영업이익(천원),수익성,1.0,0.995,0.994
Infosys,IS_Revenue,IS,5.0,0.991,0.989
Infosys,IS_Total Revenue,IS,5.0,0.991,0.989
Infosys,IS_Normalized Income Before Taxes,IS,5.0,0.991,0.99
Infosys,매출액(천원),성장성,0.0,0.991,0.989
Infosys,IS_Net Sales,IS,5.0,0.991,0.989
Infosys,IS_Net Income Before Taxes,IS,5.0,0.99,0.988
Infosys,Employment Number,ET,2.0,0.986,0.986
Infosys,IS_Diluted Normalized EPS,IS,5.0,0.985,0.979
Infosys,IS_Diluted EPS Including ExtraOrd Items,IS,5.0,0.985,0.977
Infosys,IS_Diluted EPS Excluding ExtraOrd Items,IS,5.0,0.985,0.977
Infosys,IS_Basic Normalized EPS,IS,5.0,0.985,0.979
Infosys,IS_Normalized Income After Taxes,IS,5.0,0.985,0.98
Infosys,IS_Total Operating Expense,IS,5.0,0.984,0.979
Infosys,IS_Basic EPS Including Extraordinary Items,IS,5.0,0.984,0.977
Infosys,IS_Basic EPS Excluding Extraordinary Items,IS,5.0,0.984,0.977
Infosys,IS_Normalized Inc. Avail to Com.,IS,5.0,0.984,0.98
Infosys,"IS_Selling/General/Admin. Expenses, Total",IS,5.0,0.983,0.989
Infosys,SG&A,수익성,2.0,0.983,0.989
Infosys,IS_Net Income Before Extra. Items,IS,5.0,0.982,0.976
Infosys,IS_Net Income After Taxes,IS,5.0,0.982,0.976
Infosys,당기순이익(천원),수익성,1.0,0.982,0.976
Infosys,IS_Income Available to Com Incl ExtraOrd,IS,5.0,0.982,0.976
Infosys,IS_Income Available to Com Excl ExtraOrd,IS,5.0,0.982,0.976
Infosys,IS_Diluted Net Income,IS,5.0,0.982,0.976
Infosys,IS_Net Income,IS,5.0,0.982,0.976
Infosys,FS_Income before Discontinued Operations & Extraordinary Items,FS,5.0,0.981,0.973
Infosys,"IS_Cost of Revenue, Total",IS,5.0,0.981,0.977
Infosys,FS_Total Assets,FS,5.0,0.981,0.979
Infosys,BS_Total Liabilities & Shareholders' Equity,BS,5.0,0.981,0.979
Infosys,IS_Cost of Revenue,IS,5.0,0.981,0.977
Infosys,BS_Total Assets,BS,5.0,0.981,0.979
Infosys,자산총계(천원),안정성,2.0,0.981,0.979
Infosys,매출원가(천원),성장성,2.0,0.981,0.977
Infosys,FS_Revenue from Business Activities - Total,FS,5.0,0.98,0.971
Infosys,BS_Buildings - Gross,BS,5.0,0.979,0.972
Infosys,"BS_Total Receivables, Net",BS,5.0,0.973,0.964
Infosys,"BS_Property/Plant/Equipment, Total - Gross",BS,5.0,0.968,0.959
Infosys,BS_Full-Time Employees,BS,5.0,0.965,0.953
Infosys,"BS_Property/Plant/Equipment, Total - Net",BS,5.0,0.965,0.956
Infosys,Gross Investment (GI),성장성,2.0,0.956,0.936
Infosys,BS_Total Equity & Minority Interest,BS,5.0,0.949,0.97
Infosys,FS_Common Equity - Total,FS,5.0,0.948,0.97
Infosys,BS_Total Equity,BS,5.0,0.948,0.97
Infosys,BS_Retained Earnings (Accumulated Deficit),BS,5.0,0.946,0.965
Infosys,이익잉여금(천원),수익성,2.0,0.946,0.965
Infosys,유동자산(천원),안정성,2.0,0.942,0.962
