company,variable,corr,group,importance,company,variable,corr,group,importance
Infosys,"BPS(지배, Adj.)(원/주)",-0.56,안정성,2.0,Infosys,"BPS(지배, Adj.)(원/주)",-0.822,안정성,2.0
Infosys,BPS증가율(YoY)(비율),0.336,성장성,2.0,Infosys,BPS증가율(YoY)(비율),0.109,성장성,2.0
Infosys,BS_Accounts Payable,0.753,BS,5.0,Infosys,BS_Accounts Payable,0.621,BS,5.0
Infosys,"BS_Accounts Receivable - Trade, Gross",0.802,BS,5.0,Infosys,"BS_Accounts Receivable - Trade, Gross",0.776,BS,5.0
Infosys,"BS_Accounts Receivable - Trade, Net",0.94,BS,5.0,Infosys,"BS_Accounts Receivable - Trade, Net",0.909,BS,5.0
Infosys,BS_Accrued Expenses,0.917,BS,5.0,Infosys,BS_Accrued Expenses,0.873,BS,5.0
Infosys,"BS_Accumulated Depreciation, Total",-0.963,BS,5.0,Infosys,"BS_Accumulated Depreciation, Total",-0.951,BS,5.0
Infosys,"BS_Accumulated Intangible Amort, Suppl.",0.877,BS,5.0,Infosys,"BS_Accumulated Intangible Amort, Suppl.",0.833,BS,5.0
Infosys,BS_Accumulated Intangible Amortization,-0.904,BS,5.0,Infosys,BS_Accumulated Intangible Amortization,-0.873,BS,5.0
Infosys,BS_Additional Paid-In Capital,-0.416,BS,5.0,Infosys,BS_Additional Paid-In Capital,-0.205,BS,5.0
Infosys,BS_Buildings - Gross,0.979,BS,5.0,Infosys,BS_Buildings - Gross,0.972,BS,5.0
Infosys,BS_Cash & Equivalents,0.529,BS,5.0,Infosys,BS_Cash & Equivalents,0.652,BS,5.0
Infosys,BS_Cash and Short Term Investments,0.727,BS,5.0,Infosys,BS_Cash and Short Term Investments,0.858,BS,5.0
Infosys,BS_Common Stock,0.852,BS,5.0,Infosys,BS_Common Stock,0.78,BS,5.0
Infosys,"BS_Common Stock, Total",0.852,BS,5.0,Infosys,"BS_Common Stock, Total",0.78,BS,5.0
Infosys,BS_Compensation Rate - Domestic,0.595,BS,5.0,Infosys,BS_Compensation Rate - Domestic,0.899,BS,5.0
Infosys,BS_Construction in Progress - Gross,0.4,BS,5.0,Infosys,BS_Construction in Progress - Gross,0.73,BS,5.0
Infosys,BS_Customer Advances,0.883,BS,5.0,Infosys,BS_Customer Advances,0.874,BS,5.0
Infosys,BS_Defered Income Tax - Long Term Asset,0.866,BS,5.0,Infosys,BS_Defered Income Tax - Long Term Asset,0.879,BS,5.0
Infosys,BS_Deferred Income Tax,0.824,BS,5.0,Infosys,BS_Deferred Income Tax,0.738,BS,5.0
Infosys,BS_Deferred Income Tax - LT Liability,0.824,BS,5.0,Infosys,BS_Deferred Income Tax - LT Liability,0.738,BS,5.0
Infosys,BS_Deferred Revenue - Current,0.882,BS,5.0,Infosys,BS_Deferred Revenue - Current,0.872,BS,5.0
Infosys,BS_Discount Rate - Domestic,-0.376,BS,5.0,Infosys,BS_Discount Rate - Domestic,0.109,BS,5.0
Infosys,BS_Earnings Quality Score,-0.156,BS,5.0,Infosys,BS_Earnings Quality Score,-0.13,BS,5.0
