company,variable,corr,group,importance,company,variable,corr,group,importance
Infosys,"BPS(지배, Adj.)(원/주)",-0.318,안정성,2.0,Infosys,"BPS(지배, Adj.)(원/주)",-0.307,안정성,2.0
Infosys,BPS증가율(YoY)(비율),-0.32,성장성,2.0,Infosys,BPS증가율(YoY)(비율),-0.168,성장성,2.0
Infosys,BS_Accounts Payable,-0.587,BS,5.0,Infosys,BS_Accounts Payable,-0.431,BS,5.0
Infosys,"BS_Accounts Receivable - Trade, Gross",-0.489,BS,5.0,Infosys,"BS_Accounts Receivable - Trade, Gross",-0.381,BS,5.0
Infosys,"BS_Accounts Receivable - Trade, Net",-0.407,BS,5.0,Infosys,"BS_Accounts Receivable - Trade, Net",-0.168,BS,5.0
Infosys,BS_Accrued Expenses,-0.556,BS,5.0,Infosys,BS_Accrued Expenses,-0.38,BS,5.0
Infosys,"BS_Accumulated Depreciation, Total",0.413,BS,5.0,Infosys,"BS_Accumulated Depreciation, Total",0.155,BS,5.0
Infosys,"BS_Accumulated Intangible Amort, Suppl.",-0.544,BS,5.0,Infosys,"BS_Accumulated Intangible Amort, Suppl.",-0.402,BS,5.0
Infosys,BS_Accumulated Intangible Amortization,0.495,BS,5.0,Infosys,BS_Accumulated Intangible Amortization,0.338,BS,5.0
Infosys,BS_Additional Paid-In Capital,0.85,BS,5.0,Infosys,BS_Additional Paid-In Capital,0.812,BS,5.0
Infosys,BS_Buildings - Gross,-0.249,BS,5.0,Infosys,BS_Buildings - Gross,0.03,BS,5.0
Infosys,BS_Cash & Equivalents,0.355,BS,5.0,Infosys,BS_Cash & Equivalents,0.402,BS,5.0
Infosys,BS_Cash and Short Term Investments,0.253,BS,5.0,Infosys,BS_Cash and Short Term Investments,0.316,BS,5.0
Infosys,BS_Common Stock,-0.536,BS,5.0,Infosys,BS_Common Stock,-0.367,BS,5.0
Infosys,"BS_Common Stock, Total",-0.536,BS,5.0,Infosys,"BS_Common Stock, Total",-0.367,BS,5.0
Infosys,BS_Compensation Rate - Domestic,0.225,BS,5.0,Infosys,BS_Compensation Rate - Domestic,0.155,BS,5.0
Infosys,BS_Construction in Progress - Gross,0.088,BS,5.0,Infosys,BS_Construction in Progress - Gross,-0.044,BS,5.0
Infosys,BS_Customer Advances,-0.487,BS,5.0,Infosys,BS_Customer Advances,-0.244,BS,5.0
Infosys,BS_Defered Income Tax - Long Term Asset,-0.307,BS,5.0,Infosys,BS_Defered Income Tax - Long Term Asset,-0.13,BS,5.0
Infosys,BS_Deferred Income Tax,-0.583,BS,5.0,Infosys,BS_Deferred Income Tax,-0.412,BS,5.0
Infosys,BS_Deferred Income Tax - LT Liability,-0.583,BS,5.0,Infosys,BS_Deferred Income Tax - LT Liability,-0.412,BS,5.0
Infosys,BS_Deferred Revenue - Current,-0.493,BS,5.0,Infosys,BS_Deferred Revenue - Current,-0.255,BS,5.0
Infosys,BS_Discount Rate - Domestic,0.381,BS,5.0,Infosys,BS_Discount Rate - Domestic,0.067,BS,5.0
Infosys,BS_Earnings Quality Score,0.035,BS,5.0,Infosys,BS_Earnings Quality Score,-0.052,BS,5.0
