company,variable,corr,group,importance,company,variable,corr,group,importance
Infosys,"BPS(지배, Adj.)(원/주)",-0.206,안정성,2.0,Infosys,"BPS(지배, Adj.)(원/주)",-0.219,안정성,2.0
Infosys,BPS증가율(YoY)(비율),-0.302,성장성,2.0,Infosys,BPS증가율(YoY)(비율),-0.26,성장성,2.0
Infosys,BS_Accounts Payable,-0.473,BS,5.0,Infosys,BS_Accounts Payable,-0.398,BS,5.0
Infosys,"BS_Accounts Receivable - Trade, Gross",-0.259,BS,5.0,Infosys,"BS_Accounts Receivable - Trade, Gross",-0.139,BS,5.0
Infosys,"BS_Accounts Receivable - Trade, Net",-0.277,BS,5.0,Infosys,"BS_Accounts Receivable - Trade, Net",-0.08,BS,5.0
Infosys,BS_Accrued Expenses,-0.436,BS,5.0,Infosys,BS_Accrued Expenses,-0.304,BS,5.0
Infosys,"BS_Accumulated Depreciation, Total",0.403,BS,5.0,Infosys,"BS_Accumulated Depreciation, Total",0.237,BS,5.0
Infosys,"BS_Accumulated Intangible Amort, Suppl.",-0.531,BS,5.0,Infosys,"BS_Accumulated Intangible Amort, Suppl.",-0.431,BS,5.0
Infosys,BS_Accumulated Intangible Amortization,0.484,BS,5.0,Infosys,BS_Accumulated Intangible Amortization,0.372,BS,5.0
Infosys,BS_Additional Paid-In Capital,0.622,BS,5.0,Infosys,BS_Additional Paid-In Capital,0.56,BS,5.0
Infosys,BS_Buildings - Gross,-0.272,BS,5.0,Infosys,BS_Buildings - Gross,-0.087,BS,5.0
Infosys,BS_Cash & Equivalents,0.432,BS,5.0,Infosys,BS_Cash & Equivalents,0.478,BS,5.0
Infosys,BS_Cash and Short Term Investments,0.261,BS,5.0,Infosys,BS_Cash and Short Term Investments,0.312,BS,5.0
Infosys,BS_Common Stock,-0.553,BS,5.0,Infosys,BS_Common Stock,-0.45,BS,5.0
Infosys,"BS_Common Stock, Total",-0.553,BS,5.0,Infosys,"BS_Common Stock, Total",-0.45,BS,5.0
Infosys,BS_Compensation Rate - Domestic,0.161,BS,5.0,Infosys,BS_Compensation Rate - Domestic,0.098,BS,5.0
Infosys,BS_Construction in Progress - Gross,0.052,BS,5.0,Infosys,BS_Construction in Progress - Gross,-0.028,BS,5.0
Infosys,BS_Customer Advances,-0.456,BS,5.0,Infosys,BS_Customer Advances,-0.372,BS,5.0
Infosys,BS_Defered Income Tax - Long Term Asset,-0.327,BS,5.0,Infosys,BS_Defered Income Tax - Long Term Asset,-0.192,BS,5.0
Infosys,BS_Deferred Income Tax,-0.53,BS,5.0,Infosys,BS_Deferred Income Tax,-0.436,BS,5.0
Infosys,BS_Deferred Income Tax - LT Liability,-0.53,BS,5.0,Infosys,BS_Deferred Income Tax - LT Liability,-0.436,BS,5.0
Infosys,BS_Deferred Revenue - Current,-0.461,BS,5.0,Infosys,BS_Deferred Revenue - Current,-0.382,BS,5.0
Infosys,BS_Discount Rate - Domestic,0.451,BS,5.0,Infosys,BS_Discount Rate - Domestic,0.293,BS,5.0
Infosys,BS_Earnings Quality Score,0.141,BS,5.0,Infosys,BS_Earnings Quality Score,0.041,BS,5.0
Infosys,BS_Expected Rate of Return - Domestic,0.185,BS,5.0,Infosys,BS_Expected Rate of Return - Domestic,0.115,BS,5.0
Infosys,BS_Full-Time Employees,-0.289,BS,5.0,Infosys,BS_Full-Time Employees,-0.096,BS,5.0
Infosys,BS_Goodwill - Net,-0.332,BS,5.0,Infosys,BS_Goodwill - Net,-0.132,BS,5.0
Infosys,"BS_Goodwill, Net",-0.332,BS,5.0,Infosys,"BS_Goodwill, Net",-0.132,BS,5.0
