company,variable,group,importance,corr_total,corr_sub
TCS,IS_Gross Profit,IS,5.0,1.0,1.0
TCS,FS_Gross Profit - Industrials/Property - Total,FS,5.0,1.0,0.999
TCS,IS_Revenue,IS,5.0,0.999,0.999
TCS,IS_Total Revenue,IS,5.0,0.999,0.999
TCS,매출액(천원),성장성,0.0,0.999,0.999
TCS,FS_Revenue from Business Activities - Total,FS,5.0,0.999,0.999
TCS,IS_Net Sales,IS,5.0,0.998,0.996
TCS,IS_Total Operating Expense,IS,5.0,0.998,0.997
TCS,"IS_Selling/General/Admin. Expenses, Total",IS,5.0,0.997,0.996
TCS,SG&A,수익성,2.0,0.997,0.996
TCS,"BS_Accounts Receivable - Trade, Net",BS,5.0,0.995,0.996
TCS,BS_Full-Time Employees,BS,5.0,0.991,0.988
TCS,Employment Number,ET,2.0,0.989,0.987
TCS,IS_Labor & Related Expense Suppl.,IS,5.0,0.988,0.982
TCS,IS_Labor & Related Expense,IS,5.0,0.988,0.982
TCS,IS_Basic Normalized EPS,IS,5.0,0.988,0.984
TCS,IS_Diluted Normalized EPS,IS,5.0,0.988,0.984
TCS,IS_Normalized Income Before Taxes,IS,5.0,0.986,0.985
TCS,BS_Total Assets,BS,5.0,0.986,0.985
TCS,IS_Normalized EBITDA,IS,5.0,0.986,0.98
TCS,BS_Total Liabilities & Shareholders' Equity,BS,5.0,0.986,0.985
TCS,"FS_Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",FS,5.0,0.986,0.98
TCS,IS_Diluted EPS Including ExtraOrd Items,IS,5.0,0.986,0.983
TCS,IS_Diluted EPS Excluding ExtraOrd Items,IS,5.0,0.986,0.983
TCS,IS_Basic EPS Including Extraordinary Items,IS,5.0,0.986,0.983
TCS,IS_Basic EPS Excluding Extraordinary Items,IS,5.0,0.986,0.983
TCS,자산총계(천원),안정성,2.0,0.986,0.985
TCS,FS_Total Assets,FS,5.0,0.986,0.985
TCS,EBITDA2(천원),수익성,1.0,0.986,0.98
TCS,IS_Normalized Inc. Avail to Com.,IS,5.0,0.985,0.984
TCS,IS_Net Income Before Taxes,IS,5.0,0.984,0.984
TCS,FS_Operating Profit before Non-Recurring Income/Expense,FS,5.0,0.984,0.976
TCS,IS_Normalized EBIT,IS,5.0,0.984,0.976
TCS,IS_Normalized Income After Taxes,IS,5.0,0.984,0.983
TCS,EBIT(천원),수익성,1.0,0.984,0.976
TCS,"BS_Total Receivables, Net",BS,5.0,0.984,0.984
TCS,IS_Net Income,IS,5.0,0.982,0.983
TCS,IS_Income Available to Com Incl ExtraOrd,IS,5.0,0.982,0.983
TCS,IS_Income Available to Com Excl ExtraOrd,IS,5.0,0.982,0.983
TCS,IS_Net Income After Taxes,IS,5.0,0.982,0.982
TCS,IS_Diluted Net Income,IS,5.0,0.982,0.983
TCS,"BS_Accounts Receivable - Trade, Gross",BS,5.0,0.982,0.986
TCS,IS_Net Income Before Extra. Items,IS,5.0,0.982,0.983
TCS,FS_Income before Discontinued Operations & Extraordinary Items,FS,5.0,0.982,0.982
TCS,IS_Operating Income,IS,5.0,0.982,0.975
TCS,당기순이익(천원),수익성,1.0,0.982,0.983
TCS,영업이익(천원),수익성,1.0,0.982,0.975
TCS,IS_Provision for Income Taxes,IS,5.0,0.982,0.977
TCS,"EPS(지배, Adj.)(원/주)",수익성,2.0,0.98,0.974
TCS,FS_EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,FS,5.0,0.98,0.974
TCS,유동자산(천원),안정성,2.0,0.98,0.977
TCS,BS_Total Current Assets less Inventory,BS,5.0,0.98,0.977
TCS,BS_Total Current Assets,BS,5.0,0.98,0.977
TCS,"IS_Other Operating Expenses, Total",IS,5.0,0.975,0.962
TCS,IS_Other Operating Expense,IS,5.0,0.974,0.962
TCS,BS_Machinery/Equipment - Gross,BS,5.0,0.968,0.969
TCS,BS_Buildings - Gross,BS,5.0,0.967,0.982
TCS,"BS_Tangible Book Value, Common Equity",BS,5.0,0.96,0.977
TCS,BS_Total Equity & Minority Interest,BS,5.0,0.96,0.975
TCS,IS_Current Tax - Total.1,,,0.96,0.939
TCS,FS_Common Equity - Total,FS,5.0,0.959,0.975
TCS,BS_Total Equity,BS,5.0,0.959,0.974
