company,variable,corr,group,importance,company,variable,corr,group,importance
TCS,"BPS(지배, Adj.)(원/주)",-0.139,안정성,2.0,TCS,"BPS(지배, Adj.)(원/주)",-0.119,안정성,2.0
TCS,BPS증가율(YoY)(비율),-0.134,성장성,2.0,TCS,BPS증가율(YoY)(비율),-0.13,성장성,2.0
TCS,BS_Accounts Payable,0.511,BS,5.0,TCS,BS_Accounts Payable,0.589,BS,5.0
TCS,"BS_Accounts Receivable - Trade, Gross",0.659,BS,5.0,TCS,"BS_Accounts Receivable - Trade, Gross",0.804,BS,5.0
TCS,"BS_Accounts Receivable - Trade, Net",0.625,BS,5.0,TCS,"BS_Accounts Receivable - Trade, Net",0.791,BS,5.0
TCS,BS_Accrued Expenses,0.382,BS,5.0,TCS,BS_Accrued Expenses,0.675,BS,5.0
TCS,"BS_Accumulated Depreciation, Total",-0.579,BS,5.0,TCS,"BS_Accumulated Depreciation, Total",-0.825,BS,5.0
TCS,BS_Accumulated Goodwill Amortization,-0.696,BS,5.0,TCS,BS_Accumulated Goodwill Amortization,-0.768,BS,5.0
TCS,BS_Accumulated Goodwill Amortization Suppl.,0.696,BS,5.0,TCS,BS_Accumulated Goodwill Amortization Suppl.,0.768,BS,5.0
TCS,"BS_Accumulated Intangible Amort, Suppl.",0.715,BS,5.0,TCS,"BS_Accumulated Intangible Amort, Suppl.",0.815,BS,5.0
TCS,BS_Accumulated Intangible Amortization,-0.715,BS,5.0,TCS,BS_Accumulated Intangible Amortization,-0.815,BS,5.0
TCS,BS_Additional Paid-In Capital,-0.551,BS,5.0,TCS,BS_Additional Paid-In Capital,-0.704,BS,5.0
TCS,BS_Buildings - Gross,0.732,BS,5.0,TCS,BS_Buildings - Gross,0.855,BS,5.0
TCS,BS_Capital Lease Obligations,0.068,BS,5.0,TCS,BS_Capital Lease Obligations,0.186,BS,5.0
TCS,BS_Cash,0.611,BS,5.0,TCS,BS_Cash,0.756,BS,5.0
TCS,BS_Cash & Equivalents,0.581,BS,5.0,TCS,BS_Cash & Equivalents,0.594,BS,5.0
TCS,BS_Cash and Short Term Investments,0.673,BS,5.0,TCS,BS_Cash and Short Term Investments,0.876,BS,5.0
TCS,BS_Common Stock,0.135,BS,5.0,TCS,BS_Common Stock,0.177,BS,5.0
TCS,"BS_Common Stock, Total",0.135,BS,5.0,TCS,"BS_Common Stock, Total",0.177,BS,5.0
TCS,BS_Construction in Progress - Gross,-0.109,BS,5.0,TCS,BS_Construction in Progress - Gross,-0.129,BS,5.0
TCS,BS_Current Port. of LT Debt/Capital Leases,0.072,BS,5.0,TCS,BS_Current Port. of LT Debt/Capital Leases,0.205,BS,5.0
TCS,BS_Customer Advances,0.308,BS,5.0,TCS,BS_Customer Advances,0.508,BS,5.0
TCS,BS_Defered Income Tax - Long Term Asset,0.705,BS,5.0,TCS,BS_Defered Income Tax - Long Term Asset,0.858,BS,5.0
TCS,BS_Deferred Charges,-0.422,BS,5.0,TCS,BS_Deferred Charges,-0.472,BS,5.0
TCS,BS_Deferred Income Tax,0.816,BS,5.0,TCS,BS_Deferred Income Tax,0.853,BS,5.0
TCS,BS_Deferred Income Tax - LT Liability,0.816,BS,5.0,TCS,BS_Deferred Income Tax - LT Liability,0.853,BS,5.0
TCS,BS_Deferred Revenue - Current,0.308,BS,5.0,TCS,BS_Deferred Revenue - Current,0.508,BS,5.0
TCS,BS_Dividends Payable,-0.388,BS,5.0,TCS,BS_Dividends Payable,-0.414,BS,5.0
TCS,BS_Full-Time Employees,0.596,BS,5.0,TCS,BS_Full-Time Employees,0.814,BS,5.0
TCS,BS_Goodwill - Gross,-0.366,BS,5.0,TCS,BS_Goodwill - Gross,-0.382,BS,5.0
TCS,BS_Goodwill - Net,-0.502,BS,5.0,TCS,BS_Goodwill - Net,-0.554,BS,5.0
