company,variable,corr,group,importance,company,variable,corr,group,importance
TCS,"BPS(지배, Adj.)(원/주)",0.649,안정성,2.0,TCS,"BPS(지배, Adj.)(원/주)",0.474,안정성,2.0
TCS,BPS증가율(YoY)(비율),0.161,성장성,2.0,TCS,BPS증가율(YoY)(비율),0.047,성장성,2.0
TCS,BS_Accounts Payable,0.582,BS,5.0,TCS,BS_Accounts Payable,0.489,BS,5.0
TCS,"BS_Accounts Receivable - Trade, Gross",0.74,BS,5.0,TCS,"BS_Accounts Receivable - Trade, Gross",0.668,BS,5.0
TCS,"BS_Accounts Receivable - Trade, Net",0.752,BS,5.0,TCS,"BS_Accounts Receivable - Trade, Net",0.672,BS,5.0
TCS,BS_Accrued Expenses,0.714,BS,5.0,TCS,BS_Accrued Expenses,0.595,BS,5.0
TCS,"BS_Accumulated Depreciation, Total",-0.743,BS,5.0,TCS,"BS_Accumulated Depreciation, Total",-0.641,BS,5.0
TCS,BS_Accumulated Goodwill Amortization,-0.632,BS,5.0,TCS,BS_Accumulated Goodwill Amortization,-0.589,BS,5.0
TCS,BS_Accumulated Goodwill Amortization Suppl.,0.632,BS,5.0,TCS,BS_Accumulated Goodwill Amortization Suppl.,0.589,BS,5.0
TCS,"BS_Accumulated Intangible Amort, Suppl.",0.522,BS,5.0,TCS,"BS_Accumulated Intangible Amort, Suppl.",0.484,BS,5.0
TCS,BS_Accumulated Intangible Amortization,-0.522,BS,5.0,TCS,BS_Accumulated Intangible Amortization,-0.484,BS,5.0
TCS,BS_Additional Paid-In Capital,-0.711,BS,5.0,TCS,BS_Additional Paid-In Capital,-0.628,BS,5.0
TCS,BS_Buildings - Gross,0.727,BS,5.0,TCS,BS_Buildings - Gross,0.674,BS,5.0
TCS,BS_Capital Lease Obligations,0.53,BS,5.0,TCS,BS_Capital Lease Obligations,0.249,BS,5.0
TCS,BS_Cash,0.48,BS,5.0,TCS,BS_Cash,0.567,BS,5.0
TCS,BS_Cash & Equivalents,0.297,BS,5.0,TCS,BS_Cash & Equivalents,0.336,BS,5.0
TCS,BS_Cash and Short Term Investments,0.726,BS,5.0,TCS,BS_Cash and Short Term Investments,0.649,BS,5.0
TCS,BS_Common Stock,0.348,BS,5.0,TCS,BS_Common Stock,0.139,BS,5.0
TCS,"BS_Common Stock, Total",0.348,BS,5.0,TCS,"BS_Common Stock, Total",0.139,BS,5.0
TCS,BS_Construction in Progress - Gross,-0.158,BS,5.0,TCS,BS_Construction in Progress - Gross,0.046,BS,5.0
TCS,BS_Current Port. of LT Debt/Capital Leases,0.555,BS,5.0,TCS,BS_Current Port. of LT Debt/Capital Leases,0.276,BS,5.0
TCS,BS_Customer Advances,0.664,BS,5.0,TCS,BS_Customer Advances,0.503,BS,5.0
TCS,BS_Defered Income Tax - Long Term Asset,0.689,BS,5.0,TCS,BS_Defered Income Tax - Long Term Asset,0.601,BS,5.0
TCS,BS_Deferred Charges,-0.247,BS,5.0,TCS,BS_Deferred Charges,-0.103,BS,5.0
TCS,BS_Deferred Income Tax,0.583,BS,5.0,TCS,BS_Deferred Income Tax,0.6,BS,5.0
TCS,BS_Deferred Income Tax - LT Liability,0.583,BS,5.0,TCS,BS_Deferred Income Tax - LT Liability,0.6,BS,5.0
TCS,BS_Deferred Revenue - Current,0.664,BS,5.0,TCS,BS_Deferred Revenue - Current,0.503,BS,5.0
TCS,BS_Dividends Payable,-0.16,BS,5.0,TCS,BS_Dividends Payable,-0.055,BS,5.0
TCS,BS_Full-Time Employees,0.737,BS,5.0,TCS,BS_Full-Time Employees,0.632,BS,5.0
TCS,BS_Goodwill - Gross,-0.229,BS,5.0,TCS,BS_Goodwill - Gross,-0.187,BS,5.0
TCS,BS_Goodwill - Net,-0.651,BS,5.0,TCS,BS_Goodwill - Net,-0.618,BS,5.0
TCS,"BS_Goodwill, Net",-0.67,BS,5.0,TCS,"BS_Goodwill, Net",-0.635,BS,5.0
