월(Monthly),구분1,구분2,LEVEL1,LEVEL2,값,증감,증감율,구성비,누계,누계구성비
2013-01,합계,합계,순계,합계,3697,3697,3697,0,0,0
2013-01,합계,합계,순계,분양,2770,2770,2770,0,0,0
2013-01,합계,합계,순계,임대,927,927,927,0,0,0
2013-01,합계,합계,순계,조합,0,0,0,0,0,0
2013-01,합계,합계,누계,합계,3697,3697,3697,0,0,0
2013-01,합계,합계,누계,분양,2770,2770,2770,0,0,0
2013-01,합계,합계,누계,임대,927,927,927,0,0,0
2013-01,합계,합계,누계,조합,0,0,0,0,0,0
2013-01,수도권,소계,순계,합계,278,278,278,0,0,0
2013-01,수도권,소계,순계,분양,242,242,242,0,0,0
2013-01,수도권,소계,순계,임대,36,36,36,0,0,0
2013-01,수도권,소계,순계,조합,0,0,0,0,0,0
2013-01,수도권,소계,누계,합계,278,278,278,0,0,0
2013-01,수도권,소계,누계,분양,242,242,242,0,0,0
2013-01,수도권,소계,누계,임대,36,36,36,0,0,0
2013-01,수도권,소계,누계,조합,0,0,0,0,0,0
2013-01,수도권,서울,순계,합계,202,202,202,0,0,0
2013-01,수도권,서울,순계,분양,202,202,202,0,0,0
2013-01,수도권,서울,순계,임대,0,0,0,0,0,0
2013-01,수도권,서울,순계,조합,0,0,0,0,0,0
2013-01,수도권,서울,누계,합계,202,202,202,0,0,0
2013-01,수도권,서울,누계,분양,202,202,202,0,0,0
2013-01,수도권,서울,누계,임대,0,0,0,0,0,0
2013-01,수도권,서울,누계,조합,0,0,0,0,0,0
2013-01,수도권,인천,순계,합계,40,40,40,0,0,0
2013-01,수도권,인천,순계,분양,40,40,40,0,0,0
2013-01,수도권,인천,순계,임대,0,0,0,0,0,0
2013-01,수도권,인천,순계,조합,0,0,0,0,0,0
2013-01,수도권,인천,누계,합계,40,40,40,0,0,0
2013-01,수도권,인천,누계,분양,40,40,40,0,0,0
2013-01,수도권,인천,누계,임대,0,0,0,0,0,0
2013-01,수도권,인천,누계,조합,0,0,0,0,0,0
2013-01,수도권,경기,순계,합계,36,36,36,0,0,0
2013-01,수도권,경기,순계,분양,0,0,0,0,0,0
2013-01,수도권,경기,순계,임대,36,36,36,0,0,0
2013-01,수도권,경기,순계,조합,0,0,0,0,0,0
2013-01,수도권,경기,누계,합계,36,36,36,0,0,0
2013-01,수도권,경기,누계,분양,0,0,0,0,0,0
2013-01,수도권,경기,누계,임대,36,36,36,0,0,0
2013-01,수도권,경기,누계,조합,0,0,0,0,0,0
