model,input,date,mape,rmse,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12
Prophet_0,단변량,3m,7.29804121,113.342669,686.266667,808,792.185584,809,925.580645,1197.39239,1431.12903,1168.811,1134.30584,1139.79397,1015.56667,1030.48387
Prophet_0,단변량,1y,12.747156,166.441638,683.590012,711.785346,731.201512,802.543333,865.429707,920.69693,1074.78738,1154.04699,1244.47788,1273.63819,1274.75214,1251.60483
Prophet_0,단변량,3y,18.179275,206.990558,617.272983,587.527217,608.877847,677.131668,729.770203,839.885717,958.361179,1005.66214,1055.73079,859.314607,1154.41442,1132.72702
Prophet_0,단변량,5y,18.2594604,241.342977,655.428157,634.201636,640.60275,678.514139,701.491066,727.080083,808.127908,880.377612,969.010691,1041.50935,1091.73238,1092.98652
Prophet_0,단변량,10y,19.8466679,264.40523,809.610443,783.236974,749.33336,747.16759,740.485973,746.839625,760.281744,778.226618,823.862758,857.082177,891.398698,911.933937
ARIMA_0,단변량,1y,10.2881793,150.437445,685.909091,808,764,822.396705,897.761723,1293,1437,941,1308,1115.37815,1096.04162,1056.16744
ARIMA_0,단변량,3y,8.24714735,126.265386,663.453722,761.148215,764.436377,796.338877,889.071965,1293,1437,1122.64897,1250.50206,1064.27782,1065.20211,984.668417
ARIMA_0,단변량,5y,8.30547421,123.847375,678,778.022968,759.609051,822.788964,884.939448,1210.15271,1428.1886,1128.63834,1246.92859,1113.08475,1060,990.106688
ARIMA_0,단변량,10y,9.78929577,142.794831,678,750.162401,754.925184,783.609245,863.414839,1170.79511,1377.10556,1002.09056,1355.34083,1103,1060,1045
ARIMAX_0,공급_small,1y,9.95842821,153.222371,678.71564,781.260796,764,793.536347,906.917902,1324.74004,1439.73807,868.276788,1186.98473,1115.37815,1011.9,1016.09427
ARIMAX_0,공급_small,3y,8.14135175,121.746617,654.604131,761.148215,764.436377,796.338877,894.529311,1257.67754,1437.01974,1133.17743,1182.02462,1117.35342,986.787066,991.923725
ARIMAX_0,공급_small,5y,10.6662921,159.117936,681.254237,778.022968,759.609051,781.944595,888.721881,1210.15271,1428.1886,974.668767,1408.587,1114.25375,1056.88166,1051.48739
ARIMAX_0,공급_small,10y,8.2285552,119.235855,674.470588,754.037264,754.625729,784.061388,865.444369,1170.91167,1377.10556,1100.47899,1247.04332,1093.58234,1055.26022,1043.25391
ARIMAX_0,공급_large,1y,10.2104555,148.029348,678,808,745.964802,806,928,1293,1437,941,1308,1003,1017,1030
ARIMAX_0,공급_large,3y,9.53102292,144.744471,684.994772,789.317581,780.268671,797.178546,912.058826,1277.67865,1443.27747,915.121891,1182.02462,1119.97756,986.787066,1076.52432
ARIMAX_0,공급_large,5y,10.238138,153.928862,680.07998,778.022968,759.609051,788.406896,888.721881,1210.15271,1405.20199,1067.45257,1453.24178,1113.08475,1068.83051,1053.41718
ARIMAX_0,공급_large,10y,8.21869999,119.387829,674.470588,751.790319,754.625729,784.061388,865.444369,1170.79511,1377.10556,1098.40932,1247.04332,1093.58234,1055.26022,1043.25391
ARIMAX_0,전부 다,1y,10.1672336,147.961144,678,808,750,806,928,1293,1437,941,1308,1003,1017,1030
ARIMAX_0,전부 다,3y,9.9441862,149.633276,762.30791,808,757,806,881.021249,1161.33704,1437,923.622021,1243.08557,1003,1017,1030
ARIMAX_0,전부 다,5y,9.87852384,147.311461,678,808,757,806,928,1293,1437,941,1308,1098.50111,1060,1030
ARIMAX_1,공급_small,1y,11.6266894,170.387244,678,808,750,827.828229,872.764192,1293,1437,941,1431.99592,1003.00016,1018.47158,990.385306
ARIMAX_1,공급_small,3y,10.2395082,172.657605,693.324377,778.458568,756.813378,824.292366,894.529311,1257.67754,1437,941,1472.76956,1060.60915,1043.54131,1004.04318
ARIMAX_1,공급_small,5y,11.055338,169.987486,678,778.022968,759.609051,822.788964,888.721881,1210.15271,1428.1886,941,1453.24178,1103,1060,990.106688
ARIMAX_1,공급_small,10y,7.70914302,118.414659,678,750.162401,754.925184,808.70413,893.355454,1218.40637,1406.02984,1098,1243.96503,1103,1060,1045
ARIMAX_1,공급_large,1y,10.0464364,148.033482,687.714359,808,764,806,928,1313.8,1437,941,1308,1003,1017,1030
ARIMAX_1,공급_large,3y,9.37885081,145.526435,658.701441,761.148215,746.75017,809.70239,894.529311,1161.33704,1436.57664,941,1244.73485,1061.80573,1052.44666,1034.15717
ARIMAX_1,공급_large,5y,9.23329554,142.157971,678,762.124508,745.502672,822.788964,888.721881,1210.15271,1428.1886,942.037482,1246.86583,1103,1060,1053.28716
ARIMAX_1,공급_large,10y,9.38210723,136.341149,678,750.162401,754.925184,774.691763,863.414839,1151.06985,1406.8583,1001.92935,1242.54205,1103,1060,1045
ARIMAX_1,전부 다,1y,10.9142673,169.762177,678,797.451357,746.228148,827.828229,928,1293,1437,941,1460.82342,1118.94305,1033.65194,1030
ARIMAX_1,전부 다,3y,11.5950803,176.317325,693.324377,778.458568,756.813378,813.257519,894.529311,1293,1437.01974,943.117929,1478.07449,1155.25718,1067.3492,1077.52768
ARIMAX_1,전부 다,5y,11.2384669,172.627732,678,778.022968,759.609051,822.788964,888.721881,1217.85177,1428.1886,941,1467.78127,1111.80583,1066.91899,990.106688
ARIMAX_2,공급_small,1y,10.1672336,147.961144,678,808,750,806,928,1293,1437,941,1308,1003,1017,1030
ARIMAX_2,공급_small,3y,9.29566533,146.926709,660.070452,761.964676,769.383624,798.480686,890.84932,1263.033,1442.86506,910.126168,1179.22657,1120.4751,1076.98231,1059.269
ARIMAX_2,공급_small,5y,8.9283975,145.432578,681.140351,746.467816,763.312472,821.491287,882.376338,1205.50993,1428.68448,1130.17879,1406.16577,1116.30603,1057.00551,1045.70646
ARIMAX_2,공급_small,10y,8.74379314,131.496983,674.367521,749.161984,753.920592,786.303884,879.717161,1201.52272,1375.92142,1100.34188,1364.71252,1093.35579,1055.1142,1043.26223
ARIMAX_2,공급_large,1y,10.1672336,147.961144,678,808,750,806,928,1293,1437,941,1308,1003,1017,1030
ARIMAX_2,공급_large,3y,10.0025287,147.589239,686,808,757,806,928,1293,1437,941,1308,1003,1017,1030
ARIMAX_2,공급_large,5y,10.5843928,164.441192,680.222504,774.420564,763.000754,821.491287,888.330655,1206.88059,1398.7879,975.410739,1472.43453,1112.21053,1067.73684,1053.95729
ARIMAX_2,공급_large,10y,7.7415383,113.252287,674.367521,749.04267,753.920592,786.303884,897.523172,1201.52272,1375.92142,1098.34993,1248.51662,1090.86861,1056.84959,1043.82185
ARIMAX_2,전부 다,1y,10.1672336,147.961144,678,808,750,806,928,1293,1437,941,1308,1003,1017,1030
ARIMAX_2,전부 다,3y,10.6681134,154.364193,686,808,757,806,928,1141.88258,1437,916.921168,1308,1003,1017,1030
ARIMAX_2,전부 다,5y,9.87852384,147.311461,678,808,757,806,928,1293,1437,941,1308,1103,1060,1030
ARIMAX_3,공급_small,1y,10.4273487,155.060533,691.422627,783.957796,763.210219,849.177385,866.155567,1293,1437,941,1308,1163.73654,988.564313,1009.28588
ARIMAX_3,공급_small,3y,11.055855,174.39923,661.815942,776.804226,769.383624,825.405877,886.617168,1293,1437,941,1469.26011,1072.71074,1060.84865,985.707519
ARIMAX_3,공급_small,5y,11.1171464,172.376188,678,774.420564,763.312472,821.491287,888.330655,1205.50993,1428.68448,941,1466.14678,1103,1060,990.890387
ARIMAX_3,공급_small,10y,9.42177479,152.145832,678,768.848723,773.013539,814.336485,897.523172,1201.52272,1426.92642,1098,1444.549,1103,1060,1045
