시행업체명,시공업체명,사업구분명,지역구분코드,지역상세구분코드,지역구분코드명,지역상세구분코드명,사업규모내용,사업구분명,총세대수,일반분양세대수,조합원세대수,임대보증세대수,분양가격,모집공고승인일자,분양개시일자
현대건설(주),"현대건설(주),",강서 힐스테이트(화곡3주구주택재건축사업),01,0157,서울특별시,서울 강서구,"최저 -4 층 ~ 최고 21층, 37동",재건축,2603,879,1724,0,19818792,20110615,
코오롱글로벌(주),"코오롱글로벌(주),",쌍문제1구역주택재개발정비사업,01,0132,서울특별시,서울 도봉구,"최저 11 층 ~ 최고 18층, 5동",재개발,293,71,172,50,12522452,20110801,
금호건설(주),"금호건설(주),",옥수어울림아파트 (옥수동 빙고지역주택조합아파트 신축공사),01,0133,서울특별시,서울 성동구,"최저 -3 층 ~ 최고 20층, 6동",지역조합,350,54,243,0,18556007,20110401,
두산건설(주),"두산건설(주),",미아 제8구역 주택재개발(미아동 두산위브트레지움),01,0142,서울특별시,서울 강북구,"최저 13 층 ~ 최고 23층, 24동",재개발,1372,132,1006,234,13910815,20111013,
신원종합개발(주),"신원종합개발(주),",청담 신원아침도시 마인,01,0135,서울특별시,서울 강남구,"최저 10 층 ~ 최고 10층, 1동",재건축,164,89,0,0,20680578,20110503,
롯데건설(주),"롯데건설(주),",불광4구역주택재개발정비사업,01,0122,서울특별시,서울 은평구,"최저 10 층 ~ 최고 18층, 9동",재개발,606,46,442,100,13912221,20110412,
우리자산신탁(주),"(주)호반산업,",서울 서초지구 A1블록 울트라 참누리아파트,01,0137,서울특별시,서울 서초구,"최저 2 층 ~ 최고 25층, 6동",공공분양,555,550,0,0,19392994,20110907,
삼성물산(주),"삼성물산(주),",전농제7구역 주택재개발,01,0130,서울특별시,서울 동대문구,"최저 -3 층 ~ 최고 22층, 31동",재개발,2397,486,1498,413,14821174,20111114,
현대건설(주),"현대건설(주),",백련산 힐스테이트 2차_응암제8구역 주택재개발,01,0122,서울특별시,서울 은평구,"최저 15 층 ~ 최고 15층, 12동",재개발,1148,31,862,255,13989343,20111219,
벽산건설(주),"벽산건설(주),",서울 성내동 미주아파트 재건축정비사업(벽산블루밍),01,0134,서울특별시,서울 강동구,"최저 -2 층 ~ 최고 24층, 5동",일반분양,476,75,360,41,20006219,20111215,
현대건설(주),"현대건설(주),",백련산 힐스테이트 1차 _응암제7구역재개발,01,0122,서울특별시,서울 은평구,"최저 15 층 ~ 최고 15층, 16동",재개발,1115,117,911,78,13940083,20111219,
