algo,input,학습기간,예측시점,opt,MAPE,RMSE,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12
Prophet,단변량,3,1,,7.298041212612814,113.34266853915598,686.2666666666668,808.0,792.1855844405239,809.0,925.5806451612904,1197.3923900949023,1431.1290322580649,1168.8109980592988,1134.3058410745348,1139.7939650535202,1015.5666666666668,1030.483870967742
Prophet,단변량,3,3,,16.21451753775525,258.7391298685666,738.6000000000004,684.8387096774197,702.0000000000002,931.7096774193548,863.0303863824059,869.9999999999999,1073.161290322581,1491.6568251577617,1795.1290322580653,1195.8260298054695,1083.8680908060178,1144.9067574777905
Prophet,단변량,3,6,,32.511283384590186,505.1018865797694,723.5999999999997,601.4516129032261,629.3225806451611,810.6000000000006,699.1935483870975,726.5333333333335,1122.516129032258,969.8782843931134,961.9999999999998,1295.7419354838714,1935.46548131814,2329.387096774195
Prophet,단변량,3,12,,30.66150864292289,385.8432685395276,718.5990373341584,578.1935483870969,671.5172413793102,1221.9354838709671,684.4999999999997,520.2580645161287,795.9999999999993,560.5806451612908,617.4516129032255,957.0000000000008,728.8709677419369,775.3333333333337
Prophet,단변량,12,1,,12.747156013026204,166.44163828624448,683.5900119917342,711.7853464838678,731.2015123925044,802.5433333542657,865.4297066514569,920.6969298211128,1074.7873834183315,1154.0469942045415,1244.4778844129028,1273.6381890093855,1274.7521426571489,1251.6048260163516
Prophet,단변량,12,3,,18.748395254594552,229.8792302672395,684.9985258589678,684.1874037797658,696.6201641778171,729.9607536563525,752.1362852920306,855.3094003158707,936.4585642626172,979.0660284311584,1166.5439053494024,1256.970662299262,1360.6037594170468,1387.1232871933746
Prophet,단변량,12,6,,19.91393909159592,268.20182821436657,638.058630292828,674.6082770811684,703.8030412434324,705.1957167688618,700.3596485013375,716.9383675866242,757.9940087867948,783.7100411404967,934.891009503865,1043.584054430269,1067.098111580735,1301.2188004417806
Prophet,단변량,12,12,,41.33173514818567,424.8464158722598,401.832913627727,391.0040942559301,397.335684828853,452.30797762791497,515.2566252630354,577.1665338963153,649.5646165995485,705.9080351631233,751.5068721808179,746.2633382856465,733.7944016335755,757.3539243671861
Prophet,단변량,36,1,,18.17927501828844,206.9905576093682,617.2729833416173,587.5272173966523,608.877846632621,677.1316677880973,729.770203332526,839.8857170319926,958.3611792535412,1005.6621370448836,1055.7307878804277,859.3146074770884,1154.414423793191,1132.7270151192008
Prophet,단변량,36,3,,21.78907214599297,271.43793103098227,626.9680234956918,603.2595030506552,599.650975292894,639.7856668645204,648.2758517154972,690.9679888883273,763.8141222890877,871.9243627599068,981.6857189725488,1057.2111648461191,1124.791418586066,860.0111016256353
Prophet,단변량,36,6,,29.863052222725745,356.21632850622694,580.2744147119396,551.6279450730341,575.8813673673211,618.0368916537053,621.9559180480926,632.1336135666065,652.909496595158,659.8306151880971,683.8354644166175,772.0372093887634,912.9410993618088,1049.6862768263866
Prophet,단변량,36,12,,47.09500317649203,484.091841633009,462.3160120785327,275.52918201455543,373.31815747171913,510.5558782651698,518.6445272587681,554.9701374866761,580.0907610519764,593.9220666823352,595.1145113166037,620.146978768708,629.0119273817826,628.3538647593268
